"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","DASF","DASF_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MDSF","MDSF_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT16","WT16_ATTRIBUTES"
"USC00294112","2018-06-06","32.80954","-104.73791","1245.1","HOPE, NM US","    0",",,7,0700","    0",",,7","    0",",,7","  389",",,7","  233",",,7",,,,,,,,,,,,,,,,,,,,,,,,
"USC00294112","2018-06-07","32.80954","-104.73791","1245.1","HOPE, NM US","    0",",,7,0700","    0",",,7","    0",",,7","  378",",,7","  217",",,7",,,,,,,,,,,,,,,,,,,,,,,,
"USC00294112","2018-06-08","32.80954","-104.73791","1245.1","HOPE, NM US","    0",",,7,0700","    0",",,7","    0",",,7","  378",",,7","  167",",,7",,,,,,,,,,,,,,,,,,,,,,,,
"USC00294112","2018-06-09","32.80954","-104.73791","1245.1","HOPE, NM US","    0",",,7,0700","    0",",,7","    0",",,7","  350",",,7","  172",",,7",,,,,,,,,,,,,,,,,,,,,,,,
"USC00294112","2018-06-10","32.80954","-104.73791","1245.1","HOPE, NM US","    0",",,7,0700","    0",",,7","    0",",,7","  350",",,7","  172",",,7",,,,,,,,,,,,,,,,,,,,,,,,
"USC00294112","2018-06-11","32.80954","-104.73791","1245.1","HOPE, NM US","    0",",,7,0700","    0",",,7","    0",",,7","  372",",,7","  183",",,7",,,,,,,,,,,,,,,,,,,,,,,,
"USC00294112","2018-06-12","32.80954","-104.73791","1245.1","HOPE, NM US","    0",",,7,0700","    0",",,7","    0",",,7","  389",",,7","  172",",,7",,,,,,,,,,,,,,,,,,,,,,,,
"USC00294112","2018-06-13","32.80954","-104.73791","1245.1","HOPE, NM US","    0",",,7,0700","    0",",,7","    0",",,7","  389",",,7","  189",",,7",,,,,,,,,,,,,,,,,,,,,,,,
"USC00294112","2018-06-14","32.80954","-104.73791","1245.1","HOPE, NM US","    0",",,7,0700","    0",",,7","    0",",,7","  344",",,7","  156",",,7",,,,,,,,,,,,,,,,,,,,,,,,
"USC00294112","2018-06-15","32.80954","-104.73791","1245.1","HOPE, NM US","    0",",,7,0700","    0",",,7","    0",",,7","  350",",,7","  156",",,7",,,,,,,,,,,,,,,,,,,,,,,,
"USC00294112","2018-06-16","32.80954","-104.73791","1245.1","HOPE, NM US","    0",",,7,0700","    0",",,7","    0",",,7","  350",",,7","  211",",,7",,,,,,,,,,,,,,,,,,,,,,,,
"USC00294112","2018-06-17","32.80954","-104.73791","1245.1","HOPE, NM US","    0",",,7,0700","    0",",,7","    0",",,7","  311",",,7","  167",",,7",,,,,,,,,,,,,,,,,,,,,,,,
"USC00294112","2018-06-18","32.80954","-104.73791","1245.1","HOPE, NM US","    0",",,7,0700","    0",",,7","    0",",,7","  339",",,7","  133",",,7",,,,,,,,,,,,,,,,,,,,,,,,
"USC00294112","2018-06-19","32.80954","-104.73791","1245.1","HOPE, NM US","    0",",,7,0700","    0",",,7","    0",",,7","  350",",,7","  156",",,7",,,,,,,,,,,,,,,,,,,,,,,,
"USC00294112","2018-06-20","32.80954","-104.73791","1245.1","HOPE, NM US","    0",",,7,0700","    0",",,7","    0",",,7","  361",",,7","  156",",,7",,,,,,,,,,,,,,,,,,,,,,,,
"USC00294112","2018-06-21","32.80954","-104.73791","1245.1","HOPE, NM US","    0",",,7,0700","    0",",,7","    0",",,7","  328",",,7","  167",",,7",,,,,,,,,,,,,,,,,,,,,,,,
"USC00294112","2018-06-22","32.80954","-104.73791","1245.1","HOPE, NM US","    0",",,7,0700","    0",",,7","    0",",,7","  350",",,7","  189",",,7",,,,,,,,,,,,,,,,,,,,,,,,
"USC00294112","2018-06-23","32.80954","-104.73791","1245.1","HOPE, NM US","    0",",,7,0700","    0",",,7","    0",",,7","  400",",,7","  206",",,7",,,,,,,,,,,,,,,,,,,,,,,,
"USC00294112","2018-06-24","32.80954","-104.73791","1245.1","HOPE, NM US","    0",",,7,0700","    0",",,7","    0",",,7","  378",",,7","  178",",,7",,,,,,,,,,,,,,,,,,,,,,,,
"USC00294112","2018-06-25","32.80954","-104.73791","1245.1","HOPE, NM US","    0",",,7,0700","    0",",,7","    0",",,7","  383",",,7","  167",",,7",,,,,,,,,,,,,,,,,,,,,,,,
