"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","AWND","AWND_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","DASF","DASF_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MDSF","MDSF_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WESD","WESD_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT07","WT07_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES","WT10","WT10_ATTRIBUTES","WT11","WT11_ATTRIBUTES","WT14","WT14_ATTRIBUTES","WT16","WT16_ATTRIBUTES","WT18","WT18_ATTRIBUTES"
"USC00459012","2017-09-15","47.6497","-120.0801","812.0","WATERVILLE, WA US","    0",",,7,0700","    0",",,7,","    0",",,7,0700","  194",",,7","   39",",,7",,,,,,,,,,,"   83",",,7,0700","    7",",,7",,,"   67",",,7",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00459012","2017-09-16","47.6497","-120.0801","812.0","WATERVILLE, WA US","    0",",,7,0700","    0",",,7,","    0",",,7,0700","  194",",,7","   28",",,7",,,,,,,,,,,"   61",",,7,0700","  123",",,7",,,"   49",",,7",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00459012","2017-09-17","47.6497","-120.0801","812.0","WATERVILLE, WA US","    0",",,7,0700","    0",",,7,","    0",",,7,0700","  167",",,7","   33",",,7",,,,,,,,,,,"   78",",,7,0700","  105",",,7",,,"   45",",,7",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00459012","2017-09-18","47.6497","-120.0801","812.0","WATERVILLE, WA US","    0",",,7,0700","    0",",,7,","    0",",,7,0700","  194",",,7","   50",",,7","   13",",,7",,,,,,,,,"   83",",,7,0700","  296",",,7",,,"   85",",,7",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00459012","2017-09-19","47.6497","-120.0801","812.0","WATERVILLE, WA US","   10",",,7,0700","    0",",,7,","    0",",,7,0700","  156",",,7","   39",",,7","    9",",,7",,,,,,,,,"   61",",,7,0700","  307",",,7",,,"   76",",,7",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00459012","2017-09-20","47.6497","-120.0801","812.0","WATERVILLE, WA US","    0",",,7,0700","    0",",,7,","    0",",,7,0700","  139",",,7","   11",",,7",,,,,,,,,,,"   44",",,7,0700","  307",",,7",,,"   76",",,7",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00459012","2017-09-21","47.6497","-120.0801","812.0","WATERVILLE, WA US","    0",",,7,0700","    0",",,7,","    0",",,7,0700","  144",",,7","   44",",,7",,,,,,,,,,,"   56",",,7,0700","  232",",,7",,,"   63",",,7",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00459012","2017-09-22","47.6497","-120.0801","812.0","WATERVILLE, WA US","    0",",,7,0700","    0",",,7,","    0",",,7,0700","  128",",,7","   28",",,7",,,,,,,,,,,"   61",",,7,0700","  296",",,7",,,"   40",",,7",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00459012","2017-09-23","47.6497","-120.0801","812.0","WATERVILLE, WA US","    0",",,7,0700","    0",",,7,","    0",",,7,0700","  161",",,7","   61",",,7",,,,,,,,,,,"   78",",,7,0700","  217",",,7",,,"   45",",,7",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00459012","2017-09-24","47.6497","-120.0801","812.0","WATERVILLE, WA US","    0",",,7,0700","    0",",,7,","    0",",,7,0700","  178",",,7","   44",",,7",,,,,,,,,,,"   83",",,7,0700","  243",",,7",,,"   45",",,7",,,,,,,,,,,,,,,,,,,,,,,,,,
