"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","MNPN","MNPN_ATTRIBUTES","MXPN","MXPN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES","SN02","SN02_ATTRIBUTES","SN12","SN12_ATTRIBUTES","SN32","SN32_ATTRIBUTES","SX02","SX02_ATTRIBUTES","SX12","SX12_ATTRIBUTES","SX32","SX32_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT07","WT07_ATTRIBUTES","WT14","WT14_ATTRIBUTES"
"USC00417944","2018-07-07","31.37083","-100.49432","576.1","SAN ANGELO WEATHER FORECAST OFFICE, TX US","    5",",,7,0800","    0",",,7,0800","    0",",,7,0800","  361",",,7","  222",",,7","   71",",,7,0800","  233",",,7","  367",",,7","  228",",,7,0800","   77",",,7",,,,,"  283",",,7",,,,,"  333",",,7",,,,,,,,,,,,,,
"USC00417944","2018-07-08","31.37083","-100.49432","576.1","SAN ANGELO WEATHER FORECAST OFFICE, TX US","    0","T,,7,0800","    0",",,7,0800","    0",",,7,0800","  344",",,7","  200",",,7","   97",",,7,0800","  239",",,7","  367",",,7","  228",",,7,0800","  101",",,7",,,,,"  289",",,7",,,,,"  344",",,7",,,,,,,,,,,,,,
"USC00417944","2018-07-09","31.37083","-100.49432","576.1","SAN ANGELO WEATHER FORECAST OFFICE, TX US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  356",",,7","  200",",,7","  107",",,7,0800","  228",",,7","  367",",,7","  217",",,7,0800","   85",",,7",,,,,"  300",",,7",,,,,"  367",",,7",,,,,,,,,,,,,,
"USC00417944","2018-07-10","31.37083","-100.49432","576.1","SAN ANGELO WEATHER FORECAST OFFICE, TX US","   53",",,7,0800","    0",",,7,0800","    0",",,7,0800","  300",",,7","  211",",,7","   25",",,7,0800","  228",",,7","  317",",,7","  222",",,7,0800","   53",",,7",,,,,"  278",",,7",,,,,"  322",",,7",,,,,,,,,,,,,,
"USC00417944","2018-07-11","31.37083","-100.49432","576.1","SAN ANGELO WEATHER FORECAST OFFICE, TX US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  356",",,7","  211",",,7","  109",",,7,0800","  222",",,7","  356",",,7","  233",",,7,0800","  129",",,7",,,,,"  272",",,7",,,,,"  322",",,7",,,,,,,,,,,,,,
"USC00417944","2018-07-12","31.37083","-100.49432","576.1","SAN ANGELO WEATHER FORECAST OFFICE, TX US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  372",",,7","  217",",,7","  137",",,7,0800","  228",",,7","  367",",,7","  233",",,7,0800","  159",",,7",,,,,"  283",",,7",,,,,"  328",",,7",,,,,,,,,,,,,,
"USC00417944","2018-07-13","31.37083","-100.49432","576.1","SAN ANGELO WEATHER FORECAST OFFICE, TX US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  372",",,7","  233",",,7","  122",",,7,0800","  228",",,7","  378",",,7","  250",",,7,0800","  132",",,7",,,,,"  317",",,7",,,,,"  344",",,7",,,,,,,,,,,,,,
"USC00417944","2018-07-14","31.37083","-100.49432","576.1","SAN ANGELO WEATHER FORECAST OFFICE, TX US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  372",",,7","  239",",,7","  119",",,7,0800","  239",",,7","  344",",,7","  256",",,7,0800","  198",",,7",,,,,"  306",",,7",,,,,"  344",",,7",,,,,,,,,,,,,,
"USC00417944","2018-07-15","31.37083","-100.49432","576.1","SAN ANGELO WEATHER FORECAST OFFICE, TX US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  378",",,7","  244",",,7","  163",",,7,0800","  244",",,7","  367",",,7","  256",",,7,0800","  230",",,7",,,,,"  300",",,7",,,,,"  350",",,7",,,,,,,,,,,,,,
"USC00417944","2018-07-16","31.37083","-100.49432","576.1","SAN ANGELO WEATHER FORECAST OFFICE, TX US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  383",",,7","  239",",,7","  165",",,7,0800",,,,,"  261",",,7,0800","  227",",,7",,,,,"  300",",,7",,,,,"  356",",,7",,,,,,,,,,,,,,
