"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","ACMH","ACMH_ATTRIBUTES","ACSH","ACSH_ATTRIBUTES","AWND","AWND_ATTRIBUTES","FMTM","FMTM_ATTRIBUTES","FRGT","FRGT_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF1","WDF1_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WDFM","WDFM_ATTRIBUTES","WESD","WESD_ATTRIBUTES","WSF1","WSF1_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES","WSFM","WSFM_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT07","WT07_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES","WT10","WT10_ATTRIBUTES","WT11","WT11_ATTRIBUTES","WT13","WT13_ATTRIBUTES","WT14","WT14_ATTRIBUTES","WT15","WT15_ATTRIBUTES","WT16","WT16_ATTRIBUTES","WT17","WT17_ATTRIBUTES","WT18","WT18_ATTRIBUTES","WT19","WT19_ATTRIBUTES","WT22","WT22_ATTRIBUTES","WV03","WV03_ATTRIBUTES"
"USW00094008","2018-07-07","48.2138","-106.6214","696.5","GLASGOW INTERNATIONAL AIRPORT, MT US","    0",",,W,2400","    0",",,W","    0",",,W","  361",",,W","  178",",,W",,,,,"   42",",,W",,,,,,,"  284","H,,S",,,,,"  270",",,W","  280",",,W",,,,,,,,,"   94",",,W","  107",",,W",,,,,,,,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094008","2018-07-08","48.2138","-106.6214","696.5","GLASGOW INTERNATIONAL AIRPORT, MT US","   25",",,W,2400","    0",",,W","    0",",,W","  333",",,W","  167",",,W",,,,,"   31",",,W",,,,,,,"  261","H,,S",,,,,"   30",",,W","   30",",,W",,,,,,,,,"   81",",,W","  103",",,W",,,,,,,,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094008","2018-07-09","48.2138","-106.6214","696.5","GLASGOW INTERNATIONAL AIRPORT, MT US","    0",",,W,2400","    0",",,W","    0",",,W","  367",",,W","  189",",,W",,,,,"   60",",,W",,,,,,,"  264","H,,S",,,,,"   50",",,W","   60",",,W",,,,,,,,,"  116",",,W","  152",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094008","2018-07-10","48.2138","-106.6214","696.5","GLASGOW INTERNATIONAL AIRPORT, MT US","   91",",,W,2400","    0",",,W","    0",",,W","  378",",,W","  189",",,W",,,,,"   60",",,W",,,,,,,"  282","H,,S",,,,,"  290",",,W","  290",",,W",,,,,,,,,"  161",",,W","  210",",,W",,,,,,,,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094008","2018-07-11","48.2138","-106.6214","696.5","GLASGOW INTERNATIONAL AIRPORT, MT US","    0",",,W,2400","    0",",,W","    0",",,W","  306",",,W","  178",",,W",,,,,"   53",",,W",,,,,,,"  240","H,,S",,,,,"  300",",,W","  310",",,W",,,,,,,,,"  116",",,W","  148",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094008","2018-07-12","48.2138","-106.6214","696.5","GLASGOW INTERNATIONAL AIRPORT, MT US","    0",",,W,2400","    0",",,W","    0",",,W","  328",",,W","  144",",,W",,,,,"   27",",,W",,,,,,,"  238","H,,S",,,,,"  280",",,W","  280",",,W",,,,,,,,,"   67",",,W","   81",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094008","2018-07-13","48.2138","-106.6214","696.5","GLASGOW INTERNATIONAL AIRPORT, MT US","    0",",,W,2400","    0",",,W","    0",",,W","  367",",,W","  172",",,W",,,,,"   52",",,W",,,,,,,"  261","H,,S",,,,,"  140",",,W","  140",",,W",,,,,,,,,"   94",",,W","  116",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094008","2018-07-14","48.2138","-106.6214","696.5","GLASGOW INTERNATIONAL AIRPORT, MT US","    0",",,W,2400","    0",",,W","    0",",,W","  278",",,W","  128",",,W",,,,,"   63",",,W",,,,,,,"  253","H,,S",,,,,"  310",",,W","  300",",,W",,,,,,,,,"  139",",,W","  170",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094008","2018-07-15","48.2138","-106.6214","696.5","GLASGOW INTERNATIONAL AIRPORT, MT US","    0",",,W,2400","    0",",,W","    0",",,W","  289",",,W","  100",",,W",,,,,"   27",",,W",,,,,,,"  194","H,,S",,,,,"  100",",,W","  180",",,W",,,,,,,,,"   58",",,W","   81",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094008","2018-07-16","48.2138","-106.6214","696.5","GLASGOW INTERNATIONAL AIRPORT, MT US","    0",",,W,2400","    0",",,W","    0",",,W","  333",",,W","  144",",,W",,,,,"   49",",,W",,,,,,,"  236","H,,S",,,,,"  110",",,W","  100",",,W",,,,,,,,,"   94",",,W","  116",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094008","2018-07-17","48.2138","-106.6214","696.5","GLASGOW INTERNATIONAL AIRPORT, MT US","    0",",,W,2400","    0",",,W","    0",",,W","  367",",,W","  161",",,W",,,,,"   53",",,W",,,,,,,"  258","H,,S",,,,,"  160",",,W","  160",",,W",,,,,,,,,"   81",",,W","  125",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094008","2018-07-18","48.2138","-106.6214","696.5","GLASGOW INTERNATIONAL AIRPORT, MT US","    0",",,W,2400","    0",",,W","    0",",,W","  344",",,W","  178",",,W",,,,,"   39",",,W",,,,,,,"  268","H,,S",,,,,"  110",",,W","  110",",,W",,,,,,,,,"  107",",,W","  125",",,W",,,,,,,,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094008","2018-07-19","48.2138","-106.6214","696.5","GLASGOW INTERNATIONAL AIRPORT, MT US","    0",",,W,2400","    0",",,W","    0",",,W","  317",",,W","  172",",,W",,,,,"   53",",,W",,,,,,,"  255","H,,S",,,,,"  330",",,W","  350",",,W",,,,,,,,,"   98",",,W","  125",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094008","2018-07-20","48.2138","-106.6214","696.5","GLASGOW INTERNATIONAL AIRPORT, MT US","    0",",,W,2400","    0",",,W","    0",",,W","  333",",,W","  144",",,W",,,,,"   67",",,W",,,,,,,"  244","H,,S",,,,,"  120",",,W","  120",",,W",,,,,,,,,"  112",",,W","  143",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094008","2018-07-21","48.2138","-106.6214","696.5","GLASGOW INTERNATIONAL AIRPORT, MT US","    0","T,,W,2400","    0",",,W","    0",",,W","  350",",,W","  189",",,W",,,,,"   73",",,W",,,,,,,"  266","H,,S",,,,,"  100",",,W","  110",",,W",,,,,,,,,"  116",",,W","  143",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094008","2018-07-22","48.2138","-106.6214","696.5","GLASGOW INTERNATIONAL AIRPORT, MT US","    0","T,,W,2400","    0",",,W","    0",",,W","  294",",,W","  156",",,W",,,,,"   66",",,W",,,,,,,"  242","H,,S",,,,,"  290",",,W","  290",",,W",,,,,,,,,"  130",",,W","  157",",,W",,,,,,,,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094008","2018-07-23","48.2138","-106.6214","696.5","GLASGOW INTERNATIONAL AIRPORT, MT US","    0",",,W,2400","    0",",,W","    0",",,W","  306",",,W","  111",",,W",,,,,"   33",",,W",,,,,,,"  213","H,,S",,,,,"   90",",,W","  310",",,W",,,,,,,,,"   63",",,W","   81",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
