"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","ACMH","ACMH_ATTRIBUTES","ACSH","ACSH_ATTRIBUTES","AWND","AWND_ATTRIBUTES","FMTM","FMTM_ATTRIBUTES","FRGT","FRGT_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","PSUN","PSUN_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF1","WDF1_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WDFM","WDFM_ATTRIBUTES","WESD","WESD_ATTRIBUTES","WSF1","WSF1_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES","WSFM","WSFM_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT07","WT07_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES","WT10","WT10_ATTRIBUTES","WT11","WT11_ATTRIBUTES","WT13","WT13_ATTRIBUTES","WT14","WT14_ATTRIBUTES","WT15","WT15_ATTRIBUTES","WT16","WT16_ATTRIBUTES","WT17","WT17_ATTRIBUTES","WT18","WT18_ATTRIBUTES","WT19","WT19_ATTRIBUTES","WT21","WT21_ATTRIBUTES","WT22","WT22_ATTRIBUTES","WV20","WV20_ATTRIBUTES"
"USW00013737","2018-07-07","36.9033","-76.1922","9.1","NORFOLK INTERNATIONAL AIRPORT, VA US","    5",",,W,2400","    0",",,W","    0",",,W","  267",",,W","  211",",,W",,,,,"   98",",,W",,,,,,,,,"  244","H,,S",,,,,"   30",",,W","   30",",,W",,,,,,,,,"  148",",,W","  192",",,W",,,,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013737","2018-07-08","36.9033","-76.1922","9.1","NORFOLK INTERNATIONAL AIRPORT, VA US","    0",",,W,2400","    0",",,W","    0",",,W","  250",",,W","  206",",,W",,,,,"   72",",,W",,,,,,,,,"  227","H,,S",,,,,"   30",",,W","   30",",,W",,,,,,,,,"  107",",,W","  134",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013737","2018-07-09","36.9033","-76.1922","9.1","NORFOLK INTERNATIONAL AIRPORT, VA US","    0",",,W,2400","    0",",,W","    0",",,W","  261",",,W","  183",",,W",,,,,"   38",",,W",,,,,,,,,"  224","H,,S",,,,,"   40",",,W","   30",",,W",,,,,,,,,"   72",",,W","   85",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013737","2018-07-10","36.9033","-76.1922","9.1","NORFOLK INTERNATIONAL AIRPORT, VA US","    0",",,W,2400","    0",",,W","    0",",,W","  317",",,W","  156",",,W",,,,,"   16",",,W",,,,,,,,,"  241","H,,S",,,,,"  220",",,W","  140",",,W",,,,,,,,,"   40",",,W","   49",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013737","2018-07-11","36.9033","-76.1922","9.1","NORFOLK INTERNATIONAL AIRPORT, VA US","  193",",,W,2400","    0",",,W","    0",",,W","  328",",,W","  222",",,W",,,,,"   33",",,W",,,,,,,,,"  271","H,,S",,,,,"   20",",,W","   10",",,W",,,,,,,,,"   72",",,W","  103",",,W",,,,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013737","2018-07-12","36.9033","-76.1922","9.1","NORFOLK INTERNATIONAL AIRPORT, VA US","    0","T,,W,2400","    0",",,W","    0",",,W","  278",",,W","  233",",,W",,,,,"   40",",,W",,,,,,,,,"  252","H,,S",,,,,"   70",",,W","  100",",,W",,,,,,,,,"   76",",,W","  103",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013737","2018-07-13","36.9033","-76.1922","9.1","NORFOLK INTERNATIONAL AIRPORT, VA US","    0",",,W,2400","    0",",,W","    0",",,W","  272",",,W","  222",",,W",,,,,"   48",",,W",,,,,,,,,"  252","H,,S",,,,,"   70",",,W","   60",",,W",,,,,,,,,"   81",",,W","   98",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013737","2018-07-14","36.9033","-76.1922","9.1","NORFOLK INTERNATIONAL AIRPORT, VA US","    0",",,W,2400","    0",",,W","    0",",,W","  289",",,W","  189",",,W",,,,,"   29",",,W",,,,,,,,,"  242","H,,S",,,,,"   40",",,W","   70",",,W",,,,,,,,,"   58",",,W","   98",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013737","2018-07-15","36.9033","-76.1922","9.1","NORFOLK INTERNATIONAL AIRPORT, VA US","    0",",,W,2400","    0",",,W","    0",",,W","  322",",,W","  200",",,W",,,,,"   35",",,W",,,,,,,,,"  257","H,,S",,,,,"  210",",,W","  220",",,W",,,,,,,,,"   67",",,W","   76",",,W",,,,,,,,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013737","2018-07-16","36.9033","-76.1922","9.1","NORFOLK INTERNATIONAL AIRPORT, VA US","    0",",,W,2400","    0",",,W","    0",",,W","  328",",,W","  244",",,W",,,,,"   47",",,W",,,,,,,,,"  278","H,,S",,,,,"  200",",,W","  200",",,W",,,,,,,,,"   76",",,W","   94",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013737","2018-07-17","36.9033","-76.1922","9.1","NORFOLK INTERNATIONAL AIRPORT, VA US","   20",",,W,2400","    0",",,W","    0",",,W","  344",",,W","  239",",,W",,,,,"   55",",,W",,,,,,,,,"  290","H,,S",,,,,"  210",",,W","  210",",,W",,,,,,,,,"   98",",,W","  130",",,W",,,,,,,,,"    1",",,W",,,,,,,,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,
