"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","AWND","AWND_ATTRIBUTES","FMTM","FMTM_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WESD","WESD_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT07","WT07_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES","WT11","WT11_ATTRIBUTES","WT13","WT13_ATTRIBUTES","WT14","WT14_ATTRIBUTES","WT16","WT16_ATTRIBUTES","WT18","WT18_ATTRIBUTES","WT19","WT19_ATTRIBUTES","WV03","WV03_ATTRIBUTES"
"USW00093990","2018-07-06","39.37556","-99.82972","666.9","HILL CITY MUNICIPAL AIRPORT, KS US","    0",",,W,",,,,,"  300",",,W","  194",",,W","   33",",,W",,,,,,,,,,,"  140",",,W","  120",",,W",,,"   63",",,W","   94",",,W","    1",",,W","    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00093990","2018-07-07","39.37556","-99.82972","666.9","HILL CITY MUNICIPAL AIRPORT, KS US","    0",",,W,",,,,,"  339",",,W","  189",",,W","   33",",,W",,,,,,,,,,,"  160",",,W","  190",",,W",,,"   72",",,W","  107",",,W","    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00093990","2018-07-08","39.37556","-99.82972","666.9","HILL CITY MUNICIPAL AIRPORT, KS US","    0",",,W,",,,,,"  350",",,W","  200",",,W","   45",",,W",,,,,,,,,,,"  160",",,W","  170",",,W",,,"   76",",,W","  112",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00093990","2018-07-09","39.37556","-99.82972","666.9","HILL CITY MUNICIPAL AIRPORT, KS US","    0",",,W,",,,,,"  350",",,W","  189",",,W","   29",",,W",,,,,,,,,,,"  150",",,W","  170",",,W",,,"   54",",,W","   76",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00093990","2018-07-10","39.37556","-99.82972","666.9","HILL CITY MUNICIPAL AIRPORT, KS US","    0",",,W,",,,,,"  356",",,W","  194",",,W","   27",",,W",,,,,,,,,,,"  160",",,W","  170",",,W",,,"   72",",,W","   94",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00093990","2018-07-11","39.37556","-99.82972","666.9","HILL CITY MUNICIPAL AIRPORT, KS US","    0",",,W,",,,,,"  361",",,W","  217",",,W","   43",",,W",,,,,,,,,,,"  190",",,W","  160",",,W",,,"   81",",,W","  134",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00093990","2018-07-12","39.37556","-99.82972","666.9","HILL CITY MUNICIPAL AIRPORT, KS US","    0",",,W,",,,,,"  378",",,W","  233",",,W","   49",",,W",,,,,,,,,,,"  190",",,W","  200",",,W",,,"   89",",,W","  121",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00093990","2018-07-13","39.37556","-99.82972","666.9","HILL CITY MUNICIPAL AIRPORT, KS US","    0",",,W,",,,,,"  344",",,W","  211",",,W","   32",",,W",,,,,,,,,,,"   60",",,W","   70",",,W",,,"   98",",,W","  130",",,W","    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00093990","2018-07-14","39.37556","-99.82972","666.9","HILL CITY MUNICIPAL AIRPORT, KS US","    0",",,W,",,,,,"  311",",,W","  211",",,W","   23",",,W",,,,,,,,,,,"  120",",,W","  150",",,W",,,"   45",",,W","   76",",,W","    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00093990","2018-07-15","39.37556","-99.82972","666.9","HILL CITY MUNICIPAL AIRPORT, KS US","    0",",,W,",,,,,"  344",",,W","  206",",,W","   35",",,W",,,,,,,,,,,"   40",",,W","   30",",,W",,,"   94",",,W","  130",",,W","    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00093990","2018-07-16","39.37556","-99.82972","666.9","HILL CITY MUNICIPAL AIRPORT, KS US","    0","T,,W,",,,,,"  328",",,W","  222",",,W","   25",",,W",,,,,,,,,,,"   10",",,W","   20",",,W",,,"   54",",,W","   67",",,W","    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00093990","2018-07-17","39.37556","-99.82972","666.9","HILL CITY MUNICIPAL AIRPORT, KS US","  147",",,W,",,,,,"  306",",,W","  189",",,W","   24",",,W",,,,,,,,,,,"  340",",,W","  320",",,W",,,"  134",",,W","  192",",,W","    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00093990","2018-07-18","39.37556","-99.82972","666.9","HILL CITY MUNICIPAL AIRPORT, KS US","    0",",,W,",,,,,"  317",",,W","  189",",,W","   36",",,W",,,,,,,,,,,"   20",",,W","  360",",,W",,,"  107",",,W","  148",",,W","    1",",,W","    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00093990","2018-07-19","39.37556","-99.82972","666.9","HILL CITY MUNICIPAL AIRPORT, KS US","   43",",,W,",,,,,"  350",",,W","  206",",,W","   27",",,W",,,,,,,,,,,"  200",",,W","  220",",,W",,,"   89",",,W","  143",",,W","    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00093990","2018-07-20","39.37556","-99.82972","666.9","HILL CITY MUNICIPAL AIRPORT, KS US","    0",",,W,",,,,,"  344",",,W","  211",",,W","   34",",,W",,,,,,,,,,,"   90",",,W","   90",",,W",,,"   89",",,W","  125",",,W","    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00093990","2018-07-21","39.37556","-99.82972","666.9","HILL CITY MUNICIPAL AIRPORT, KS US","    0","T,,W,",,,,,"  328",",,W","  189",",,W","   38",",,W",,,,,,,,,,,"  110",",,W","  120",",,W",,,"   72",",,W","  107",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00093990","2018-07-22","39.37556","-99.82972","666.9","HILL CITY MUNICIPAL AIRPORT, KS US","    0","T,,W,",,,,,"  328",",,W","  211",",,W","   41",",,W",,,,,,,,,,,"  100",",,W","  110",",,W",,,"   76",",,W","  112",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00093990","2018-07-23","39.37556","-99.82972","666.9","HILL CITY MUNICIPAL AIRPORT, KS US","    0","T,,W,",,,,,"  322",",,W","  206",",,W","   30",",,W",,,,,,,,,,,"   60",",,W","   30",",,W",,,"   63",",,W","   89",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00093990","2018-07-24","39.37556","-99.82972","666.9","HILL CITY MUNICIPAL AIRPORT, KS US","    0",",,W,",,,,,"  328",",,W","  161",",,W","   28",",,W",,,,,,,,,,,"  100",",,W","   80",",,W",,,"   63",",,W","   85",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00093990","2018-07-25","39.37556","-99.82972","666.9","HILL CITY MUNICIPAL AIRPORT, KS US","   28",",,W,",,,,,"  344",",,W","  189",",,W","   34",",,W",,,,,,,,,,,"   40",",,W","   60",",,W",,,"  134",",,W","  192",",,W","    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00093990","2018-07-26","39.37556","-99.82972","666.9","HILL CITY MUNICIPAL AIRPORT, KS US","   36",",,W,","    0",",,W","    0",",,W","  294",",,W","  167",",,W","   31",",,W",,,,,,,,,,,"  180",",,W","  170",",,W",,,"   98",",,W","  134",",,W","    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00093990","2018-07-27","39.37556","-99.82972","666.9","HILL CITY MUNICIPAL AIRPORT, KS US","  119",",,W,","    0",",,W",,,"  294",",,W","  156",",,W","   25",",,W",,,,,,,,,,,"   80",",,W","   90",",,W",,,"   81",",,W","  116",",,W","    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00093990","2018-07-28","39.37556","-99.82972","666.9","HILL CITY MUNICIPAL AIRPORT, KS US","   51",",,W,",,,,,"  294",",,W","  156",",,W","   31",",,W",,,,,,,,,,,"   40",",,W","   30",",,W",,,"  134",",,W","  192",",,W","    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00093990","2018-07-29","39.37556","-99.82972","666.9","HILL CITY MUNICIPAL AIRPORT, KS US","    3",",,W,",,,,,"  256",",,W","  156",",,W","   28",",,W",,,,,,,,,,,"   50",",,W","   60",",,W",,,"   94",",,W","  125",",,W","    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00093990","2018-07-30","39.37556","-99.82972","666.9","HILL CITY MUNICIPAL AIRPORT, KS US","  244",",,W,",,,"    0",",,W","  272",",,W","  150",",,W","   40",",,W",,,,,,,,,,,"   20",",,W","   10",",,W",,,"  107",",,W","  148",",,W","    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00093990","2018-07-31","39.37556","-99.82972","666.9","HILL CITY MUNICIPAL AIRPORT, KS US","    0",",,W,",,,"    0",",,W","  283",",,W","  128",",,W","   17",",,W",,,,,,,,,,,"  120",",,W","  160",",,W",,,"   45",",,W","   67",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
