"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","AWND","AWND_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","FMTM","FMTM_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT07","WT07_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES","WT11","WT11_ATTRIBUTES","WT13","WT13_ATTRIBUTES","WT16","WT16_ATTRIBUTES","WT17","WT17_ATTRIBUTES","WT18","WT18_ATTRIBUTES","WT19","WT19_ATTRIBUTES","WT22","WT22_ATTRIBUTES"
"USW00094227","2018-07-05","47.238","-123.1408","82.6","SHELTON AIRPORT, WA US","    0",",,W,2400",,,,,"  283",",,W","  133",",,W","   43",",,W",,,,,,," 1531",",,W",,,,,,,"  230",",,W","  230",",,W","   98",",,W","  121",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094227","2018-07-06","47.238","-123.1408","82.6","SHELTON AIRPORT, WA US","   10",",,W,2400",,,,,"  250",",,W","  133",",,W","   54",",,W",,,,,,," 1555",",,W",,,,,,,"  230",",,W","  230",",,W","  116",",,W","  143",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094227","2018-07-07","47.238","-123.1408","82.6","SHELTON AIRPORT, WA US","   13",",,W,2400",,,,,"  228",",,W","  128",",,W","   30",",,W",,,,,,," 1155",",,W",,,,,,,"  240",",,W","  240",",,W","   94",",,W","  107",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094227","2018-07-08","47.238","-123.1408","82.6","SHELTON AIRPORT, WA US","    0",",,W,2400",,,,,"  294",",,W","   78",",,W","   33",",,W",,,,,,," 2251",",,W",,,,,,,"  240",",,W","  240",",,W","   89",",,W","  112",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094227","2018-07-09","47.238","-123.1408","82.6","SHELTON AIRPORT, WA US","    0","T,,W,2400",,,,,"  211",",,W","  139",",,W","   51",",,W",,,,,,," 1224",",,W",,,,,,,"  230",",,W","  220",",,W","   94",",,W","  112",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094227","2018-07-10","47.238","-123.1408","82.6","SHELTON AIRPORT, WA US","   15",",,W,2400",,,,,"  228",",,W","  122",",,W","   21",",,W",,,,,,," 0050",",,W",,,,,,,"  240",",,W","  240",",,W","   54",",,W","   63",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094227","2018-07-11","47.238","-123.1408","82.6","SHELTON AIRPORT, WA US","    0",",,W,2400",,,,,"  289",",,W","  100",",,W","   12",",,W",,,,,,," 1418",",,W",,,,,,,"  130",",,W","  140",",,W","   54",",,W","   72",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094227","2018-07-12","47.238","-123.1408","82.6","SHELTON AIRPORT, WA US","    0",",,W,2400",,,,,"  333",",,W","  100",",,W","   16",",,W",,,,,,," 1334",",,W",,,,,,,"  260",",,W","  130",",,W","   45",",,W","   63",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094227","2018-07-13","47.238","-123.1408","82.6","SHELTON AIRPORT, WA US","    0",",,W,2400",,,,,"  300",",,W","  122",",,W","   42",",,W",,,,,,," 1844",",,W",,,,,,,"  230",",,W","  220",",,W","   81",",,W","  103",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094227","2018-07-14","47.238","-123.1408","82.6","SHELTON AIRPORT, WA US","    0",",,W,2400",,,,,"  317",",,W","  111",",,W","   21",",,W",,,,,,," 1502",",,W",,,,,,,"  150",",,W","  140",",,W","   58",",,W","   81",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094227","2018-07-15","47.238","-123.1408","82.6","SHELTON AIRPORT, WA US","    0",",,W,2400",,,,,"  361",",,W","   94",",,W","   16",",,W",,,,,,," 1018",",,W",,,,,,,"  150",",,W","  130",",,W","   45",",,W","   72",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094227","2018-07-16","47.238","-123.1408","82.6","SHELTON AIRPORT, WA US","    0",",,W,2400",,,,,"  339",",,W","  144",",,W","   33",",,W",,,,,,," 1639",",,W",,,,,,,"  240",",,W","  230",",,W","   76",",,W","   98",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
