"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES","WT11","WT11_ATTRIBUTES","WT14","WT14_ATTRIBUTES","WT16","WT16_ATTRIBUTES","WT18","WT18_ATTRIBUTES"
"USC00123418","2018-07-04","41.5575","-85.8825","266.7","GOSHEN 3 SW, IN US","    0","T,,7,1900","    0",",,7,1900","    0",",,7,1900","  339",",,7","  217",",,7",,,,,"  289",",,7,1900",,,,,,,,,,,,,,,,,,,,,,
"USC00123418","2018-07-05","41.5575","-85.8825","266.7","GOSHEN 3 SW, IN US","   36",",,7,1900","    0",",,7,1900","    0",",,7,1900","  311",",,7","  222",",,7",,,,,"  267",",,7,1900",,,,,,,,,,,,,,,,,,,,,,
"USC00123418","2018-07-06","41.5575","-85.8825","266.7","GOSHEN 3 SW, IN US","    0",",,7,1900","    0",",,7,1900","    0",",,7,1900","  267",",,7","  183",",,7",,,,,"  250",",,7,1900",,,,,,,,,,,,,,,,,,,,,,
"USC00123418","2018-07-07","41.5575","-85.8825","266.7","GOSHEN 3 SW, IN US","    0",",,7,1900","    0",",,7,1900","    0",",,7,1900","  278",",,7","  100",",,7",,,,,"  244",",,7,1900",,,,,,,,,,,,,,,,,,,,,,
"USC00123418","2018-07-08","41.5575","-85.8825","266.7","GOSHEN 3 SW, IN US","    0",",,7,1900","    0",",,7,1900","    0",",,7,1900","  300",",,7","  122",",,7",,,,,"  256",",,7,1900",,,,,,,,,,,,,,,,,,,,,,
"USC00123418","2018-07-09","41.5575","-85.8825","266.7","GOSHEN 3 SW, IN US","    0",",,7,1900","    0",",,7,1900","    0",",,7,1900","  317",",,7","  150",",,7",,,,,"  283",",,7,1900",,,,,,,,,,,,,,,,,,,,,,
"USC00123418","2018-07-10","41.5575","-85.8825","266.7","GOSHEN 3 SW, IN US","    0","T,,7,1900","    0",",,7,1900","    0",",,7,1900","  317",",,7","  217",",,7",,,,,"  261",",,7,1900",,,,,,,,,,,,,,,,,,,,,,
"USC00123418","2018-07-11","41.5575","-85.8825","266.7","GOSHEN 3 SW, IN US","    0",",,7,1900","    0",",,7,1900","    0",",,7,1900","  300",",,7","  161",",,7",,,,,"  261",",,7,1900",,,,,,,,,,,,,,,,,,,,,,
"USC00123418","2018-07-12","41.5575","-85.8825","266.7","GOSHEN 3 SW, IN US","    0",",,7,1900","    0",",,7,1900","    0",",,7,1900","  300",",,7","  156",",,7",,,,,"  256",",,7,1900",,,,,,,,,,,,,,,,,,,,,,
"USC00123418","2018-07-13","41.5575","-85.8825","266.7","GOSHEN 3 SW, IN US","    0",",,7,1900","    0",",,7,1900","    0",",,7,1900","  322",",,7","  178",",,7",,,,,"  294",",,7,1900",,,,,,,,,,,,,,,,,,,,,,
"USC00123418","2018-07-14","41.5575","-85.8825","266.7","GOSHEN 3 SW, IN US","    0","T,,7,1900","    0",",,7,1900","    0",",,7,1900","  294",",,7","  194",",,7",,,,,"  256",",,7,1900",,,,,,,,,,,,,,,,,,,,,,
"USC00123418","2018-07-15","41.5575","-85.8825","266.7","GOSHEN 3 SW, IN US","    0","T,,7,1900","    0",",,7,1900","    0",",,7,1900","  328",",,7","  217",",,7",,,,,"  283",",,7,1900",,,,,,,,,,,,,,,,,,,,,,
"USC00123418","2018-07-16","41.5575","-85.8825","266.7","GOSHEN 3 SW, IN US","   10",",,7,1900","    0",",,7,1900","    0",",,7,1900","  311",",,7","  217",",,7",,,,,"  283",",,7,1900",,,,,,,,,,,,,,,,,,,,,,
"USC00123418","2018-07-17","41.5575","-85.8825","266.7","GOSHEN 3 SW, IN US","    0",",,7,1900","    0",",,7,1900","    0",",,7,1900","  289",",,7","  178",",,7",,,,,"  233",",,7,1900",,,,,,,,,,,,,,,,,,,,,,
"USC00123418","2018-07-18","41.5575","-85.8825","266.7","GOSHEN 3 SW, IN US","    0",",,7,1900","    0",",,7,1900","    0",",,7,1900","  283",",,7","  122",",,7",,,,,"  250",",,7,1900",,,,,,,,,,,,,,,,,,,,,,
"USC00123418","2018-07-19","41.5575","-85.8825","266.7","GOSHEN 3 SW, IN US","    0",",,7,1900","    0",",,7,1900","    0",",,7,1900","  294",",,7","  150",",,7",,,,,"  250",",,7,1900",,,,,,,,,,,,,,,,,,,,,,
"USC00123418","2018-07-20","41.5575","-85.8825","266.7","GOSHEN 3 SW, IN US","  183",",,7,1900","    0",",,7,1900","    0",",,7,1900","  272",",,7","  172",",,7",,,,,"  200",",,7,1900",,,,,,,,,,,,,,,,,,,,,,
"USC00123418","2018-07-21","41.5575","-85.8825","266.7","GOSHEN 3 SW, IN US","  551",",,7,1900","    0",",,7,1900","    0",",,7,1900","  256",",,7","  189",",,7",,,,,"  206",",,7,1900",,,,,,,,,,,,,,,,,,,,,,
"USC00123418","2018-07-22","41.5575","-85.8825","266.7","GOSHEN 3 SW, IN US","  114",",,7,1900","    0",",,7,1900","    0",",,7,1900","  261",",,7","  194",",,7",,,,,"  206",",,7,1900",,,,,,,,,,,,,,,,,,,,,,
"USC00123418","2018-07-23","41.5575","-85.8825","266.7","GOSHEN 3 SW, IN US","   15",",,7,1900","    0",",,7,1900","    0",",,7,1900","  239",",,7","  178",",,7",,,,,"  200",",,7,1900",,,,,,,,,,,,,,,,,,,,,,
"USC00123418","2018-07-24","41.5575","-85.8825","266.7","GOSHEN 3 SW, IN US","    5",",,7,1900","    0",",,7,1900","    0",",,7,1900","  278",",,7","  172",",,7",,,,,"  250",",,7,1900",,,,,,,,,,,,,,,,,,,,,,
"USC00123418","2018-07-25","41.5575","-85.8825","266.7","GOSHEN 3 SW, IN US","    0",",,7,1900","    0",",,7,1900","    0",",,7,1900","  283",",,7","  167",",,7",,,,,"  256",",,7,1900",,,,,,,,,,,,,,,,,,,,,,
"USC00123418","2018-07-26","41.5575","-85.8825","266.7","GOSHEN 3 SW, IN US","    0","T,,7,1900","    0",",,7,1900","    0",",,7,1900","  261",",,7","  167",",,7",,,,,"  244",",,7,1900",,,,,,,,,,,,,,,,,,,,,,
"USC00123418","2018-07-27","41.5575","-85.8825","266.7","GOSHEN 3 SW, IN US","    5",",,7,1900","    0",",,7,1900","    0",",,7,1900","  244",",,7","  156",",,7",,,,,"  200",",,7,1900",,,,,,,,,,,,,,,,,,,,,,
"USC00123418","2018-07-28","41.5575","-85.8825","266.7","GOSHEN 3 SW, IN US","    0",",,7,1900","    0",",,7,1900","    0",",,7,1900","  256",",,7","  133",",,7",,,,,"  211",",,7,1900",,,,,,,,,,,,,,,,,,,,,,
"USC00123418","2018-07-29","41.5575","-85.8825","266.7","GOSHEN 3 SW, IN US","    0",",,7,1900","    0",",,7,1900","    0",",,7,1900","  256",",,7","  133",",,7",,,,,"  211",",,7,1900",,,,,,,,,,,,,,,,,,,,,,
"USC00123418","2018-07-30","41.5575","-85.8825","266.7","GOSHEN 3 SW, IN US","    0",",,7,1900","    0",",,7,1900","    0",",,7,1900","  261",",,7","  144",",,7",,,,,"  228",",,7,1900",,,,,,,,,,,,,,,,,,,,,,
"USC00123418","2018-07-31","41.5575","-85.8825","266.7","GOSHEN 3 SW, IN US","    3",",,7,1900","    0",",,7,1900","    0",",,7,1900","  228",",,7","  156",",,7",,,,,"  206",",,7,1900",,,,,,,,,,,,,,,,,,,,,,
"USC00123418","2018-08-01","41.5575","-85.8825","266.7","GOSHEN 3 SW, IN US","   51",",,7,1900","    0",",,7,1900","    0",",,7,1900","  278",",,7","  167",",,7",,,,,"  239",",,7,1900",,,,,,,,,,,,,,,,,,,,,,
"USC00123418","2018-08-02","41.5575","-85.8825","266.7","GOSHEN 3 SW, IN US","    0",",,7,1900","    0",",,7,1900","    0",",,7,1900","  283",",,7","  161",",,7",,,,,"  189",",,7,1900",,,,,,,,,,,,,,,,,,,,,,
"USC00123418","2018-08-03","41.5575","-85.8825","266.7","GOSHEN 3 SW, IN US","   84",",,7,1900","    0",",,7,1900","    0",",,7,1900","  278",",,7","  167",",,7",,,,,"  250",",,7,1900",,,,,,,,,,,,,,,,,,,,,,
"USC00123418","2018-08-04","41.5575","-85.8825","266.7","GOSHEN 3 SW, IN US","    0",",,7,1900","    0",",,7,1900","    0",",,7,1900","  322",",,7","  167",",,7",,,,,"  283",",,7,1900",,,,,,,,,,,,,,,,,,,,,,
"USC00123418","2018-08-05","41.5575","-85.8825","266.7","GOSHEN 3 SW, IN US","    0",",,7,1900","    0",",,7,1900","    0",",,7,1900","  322",",,7","  200",",,7",,,,,"  283",",,7,1900",,,,,,,,,,,,,,,,,,,,,,
"USC00123418","2018-08-06","41.5575","-85.8825","266.7","GOSHEN 3 SW, IN US","  198",",,7,1900","    0",",,7,1900","    0",",,7,1900","  300",",,7","  217",",,7",,,,,"  261",",,7,1900",,,,,,,,,,,,,,,,,,,,,,
"USC00123418","2018-08-07","41.5575","-85.8825","266.7","GOSHEN 3 SW, IN US","  135",",,7,1900","    0",",,7,1900","    0",",,7,1900","  283",",,7","  206",",,7",,,,,"  233",",,7,1900",,,,,,,,,,,,,,,,,,,,,,
"USC00123418","2018-08-08","41.5575","-85.8825","266.7","GOSHEN 3 SW, IN US","    8",",,7,1900","    0",",,7,1900","    0",",,7,1900","  272",",,7","  200",",,7",,,,,"  239",",,7,1900",,,,,,,,,,,,,,,,,,,,,,
"USC00123418","2018-08-09","41.5575","-85.8825","266.7","GOSHEN 3 SW, IN US","    0","T,,7,1900","    0",",,7,1900","    0",",,7,1900","  300",",,7","  161",",,7",,,,,"  233",",,7,1900",,,,,,,,,,,,,,,,,,,,,,
"USC00123418","2018-08-10","41.5575","-85.8825","266.7","GOSHEN 3 SW, IN US","  447",",,7,1900","    0",",,7,1900","    0",",,7,1900","  283",",,7","  194",",,7",,,,,"  244",",,7,1900",,,,,,,,,,,,,,,,,,,,,,
"USC00123418","2018-08-11","41.5575","-85.8825","266.7","GOSHEN 3 SW, IN US","    0",",,7,1900","    0",",,7,1900","    0",",,7,1900","  289",",,7","  178",",,7",,,,,"  244",",,7,1900",,,,,,,,,,,,,,,,,,,,,,
"USC00123418","2018-08-12","41.5575","-85.8825","266.7","GOSHEN 3 SW, IN US","    0",",,7,1900","    0",",,7,1900","    0",",,7,1900","  289",",,7","  178",",,7",,,,,"  244",",,7,1900",,,,,,,,,,,,,,,,,,,,,,
"USC00123418","2018-08-13","41.5575","-85.8825","266.7","GOSHEN 3 SW, IN US","    0",",,7,1900","    0",",,7,1900","    0",",,7,1900","  289",",,7","  172",",,7",,,,,"  250",",,7,1900",,,,,,,,,,,,,,,,,,,,,,
"USC00123418","2018-08-14","41.5575","-85.8825","266.7","GOSHEN 3 SW, IN US","    0",",,7,1900","    0",",,7,1900","    0",",,7,1900","  294",",,7","  172",",,7",,,,,"  250",",,7,1900",,,,,,,,,,,,,,,,,,,,,,
"USC00123418","2018-08-15","41.5575","-85.8825","266.7","GOSHEN 3 SW, IN US","    5",",,7,1900","    0",",,7,1900","    0",",,7,1900","  283",",,7","  189",",,7",,,,,"  228",",,7,1900",,,,,,,,,,,,,,,,,,,,,,
"USC00123418","2018-08-16","41.5575","-85.8825","266.7","GOSHEN 3 SW, IN US","   30",",,7,1900","    0",",,7,1900","    0",",,7,1900","  278",",,7","  200",",,7",,,,,"  239",",,7,1900",,,,,,,,,,,,,,,,,,,,,,
"USC00123418","2018-08-17","41.5575","-85.8825","266.7","GOSHEN 3 SW, IN US","   48",",,7,1900","    0",",,7,1900","    0",",,7,1900","  267",",,7","  211",",,7",,,,,"  222",",,7,1900",,,,,,,,,,,,,,,,,,,,,,
"USC00123418","2018-08-18","41.5575","-85.8825","266.7","GOSHEN 3 SW, IN US","    0",",,7,1900","    0",",,7,1900","    0",",,7,1900","  283",",,7","  183",",,7",,,,,"  239",",,7,1900",,,,,,,,,,,,,,,,,,,,,,
"USC00123418","2018-08-19","41.5575","-85.8825","266.7","GOSHEN 3 SW, IN US","    0",",,7,1900","    0",",,7,1900","    0",",,7,1900","  278",",,7","  172",",,7",,,,,"  244",",,7,1900",,,,,,,,,,,,,,,,,,,,,,
"USC00123418","2018-08-20","41.5575","-85.8825","266.7","GOSHEN 3 SW, IN US","   41",",,7,1900","    0",",,7,1900","    0",",,7,1900","  256",",,7","  172",",,7",,,,,"  228",",,7,1900",,,,,,,,,,,,,,,,,,,,,,
"USC00123418","2018-08-21","41.5575","-85.8825","266.7","GOSHEN 3 SW, IN US","  122",",,7,1900","    0",",,7,1900","    0",",,7,1900","  267",",,7","  189",",,7",,,,,"  217",",,7,1900",,,,,,,,,,,,,,,,,,,,,,
"USC00123418","2018-08-22","41.5575","-85.8825","266.7","GOSHEN 3 SW, IN US","    0",",,7,1900","    0",",,7,1900","    0",",,7,1900","  239",",,7","  139",",,7",,,,,"  211",",,7,1900",,,,,,,,,,,,,,,,,,,,,,
"USC00123418","2018-08-23","41.5575","-85.8825","266.7","GOSHEN 3 SW, IN US","    0",",,7,1900","    0",",,7,1900","    0",",,7,1900","  261",",,7","  122",",,7",,,,,"  228",",,7,1900",,,,,,,,,,,,,,,,,,,,,,
"USC00123418","2018-08-24","41.5575","-85.8825","266.7","GOSHEN 3 SW, IN US","    0",",,7,1900","    0",",,7,1900","    0",",,7,1900","  233",",,7","  128",",,7",,,,,"  211",",,7,1900",,,,,,,,,,,,,,,,,,,,,,
