"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WESD","WESD_ATTRIBUTES","WESF","WESF_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT06","WT06_ATTRIBUTES"
"USC00202016","2018-06-17","42.3469","-83.1736","184.4","DEARBORN NUMBER 2, MI US","    0","T,,7,0500","    0",",,7,","    0",",,7,","  278",",,7","  200",",,7",,,,,"  222",",,7,0500",,,,,,,,
"USC00202016","2018-06-18","42.3469","-83.1736","184.4","DEARBORN NUMBER 2, MI US",,,"    0",",,7,","    0",",,7,",,,,,,,,,,,,,,,,,,
"USC00202016","2018-06-19","42.3469","-83.1736","184.4","DEARBORN NUMBER 2, MI US","  183",",,7,0500","    0",",,7,","    0",",,7,","  344",",,7","  183",",,7",,,,,"  200",",,7,0500",,,,,,,,
"USC00202016","2018-06-20","42.3469","-83.1736","184.4","DEARBORN NUMBER 2, MI US","   20",",,7,0500","    0",",,7,","    0",",,7,","  239",",,7","  144",",,7",,,,,"  156",",,7,0500",,,,,,,,
"USC00202016","2018-06-21","42.3469","-83.1736","184.4","DEARBORN NUMBER 2, MI US","    0",",,7,0500","    0",",,7,","    0",",,7,","  222",",,7","  150",",,7",,,,,"  189",",,7,0500",,,,,,,,
"USC00202016","2018-06-22","42.3469","-83.1736","184.4","DEARBORN NUMBER 2, MI US","    0",",,7,0500","    0",",,7,","    0",",,7,","  256",",,7","  183",",,7",,,,,"  183",",,7,0500",,,,,,,,
"USC00202016","2018-06-23","42.3469","-83.1736","184.4","DEARBORN NUMBER 2, MI US","    5",",,7,0500","    0",",,7,","    0",",,7,","  222",",,7","  178",",,7",,,,,"  194",",,7,0500",,,,,,,,
"USC00202016","2018-06-24","42.3469","-83.1736","184.4","DEARBORN NUMBER 2, MI US","  259",",,7,0500","    0",",,7,","    0",",,7,","  244",",,7","  178",",,7",,,,,"  178",",,7,0500",,,,,,,,
"USC00202016","2018-06-25","42.3469","-83.1736","184.4","DEARBORN NUMBER 2, MI US","    0","T,,7,0500","    0",",,7,","    0",",,7,","  222",",,7","  139",",,7",,,,,"  139",",,7,0500",,,,,,,,
"USC00202016","2018-06-26","42.3469","-83.1736","184.4","DEARBORN NUMBER 2, MI US","    0",",,7,0500","    0",",,7,","    0",",,7,","  233",",,7","  128",",,7",,,,,"  128",",,7,0500",,,,,,,,
