"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","AWND","AWND_ATTRIBUTES","FMTM","FMTM_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WESD","WESD_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT07","WT07_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES","WT11","WT11_ATTRIBUTES","WT14","WT14_ATTRIBUTES","WT16","WT16_ATTRIBUTES","WT18","WT18_ATTRIBUTES"
"USW00024091","2018-07-06","40.51","-101.62","996.1","IMPERIAL MUNICIPAL AIRPORT, NE US","    0",",,W,",,,,,"  300",",,W","  172",",,W","   52",",,W",,,,,,,,,,,"  130",",,W","  110",",,W",,,"   89",",,W","  139",",,W","    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,
"USW00024091","2018-07-07","40.51","-101.62","996.1","IMPERIAL MUNICIPAL AIRPORT, NE US","    0",",,W,",,,,,"  339",",,W","  183",",,W","   65",",,W",,,,,,,,,,,"  160",",,W","  160",",,W",,,"  112",",,W","  161",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00024091","2018-07-08","40.51","-101.62","996.1","IMPERIAL MUNICIPAL AIRPORT, NE US","    0",",,W,",,,,,"  350",",,W","  194",",,W","   68",",,W",,,,,,,,,,,"  200",",,W","  180",",,W",,,"  107",",,W","  157",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00024091","2018-07-09","40.51","-101.62","996.1","IMPERIAL MUNICIPAL AIRPORT, NE US","    0",",,W,",,,,,"  350",",,W","  189",",,W","   43",",,W",,,,,,,,,,,"  140",",,W","  120",",,W",,,"   81",",,W","  116",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00024091","2018-07-10","40.51","-101.62","996.1","IMPERIAL MUNICIPAL AIRPORT, NE US","    0",",,W,",,,,,"  350",",,W","  150",",,W","   55",",,W",,,,,,,,,,,"  160",",,W","  170",",,W",,,"  103",",,W","  174",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00024091","2018-07-11","40.51","-101.62","996.1","IMPERIAL MUNICIPAL AIRPORT, NE US","    0",",,W,",,,,,"  361",",,W","  189",",,W","   55",",,W",,,,,,,,,,,"  140",",,W","  180",",,W",,,"  103",",,W","  170",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00024091","2018-07-12","40.51","-101.62","996.1","IMPERIAL MUNICIPAL AIRPORT, NE US","  112",",,W,",,,,,"  356",",,W","  200",",,W","   51",",,W",,,,,,,,,,,"  310",",,W","  310",",,W",,,"  139",",,W","  206",",,W","    1",",,W",,,"    1",",,W",,,,,,,,,,,,,,,,,,,,
"USW00024091","2018-07-13","40.51","-101.62","996.1","IMPERIAL MUNICIPAL AIRPORT, NE US","    0",",,W,",,,,,"  311",",,W","  189",",,W","   34",",,W",,,,,,,,,,,"   50",",,W","   40",",,W",,,"   63",",,W","   94",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00024091","2018-07-14","40.51","-101.62","996.1","IMPERIAL MUNICIPAL AIRPORT, NE US","    0",",,W,",,,,,"  306",",,W","  189",",,W","   29",",,W",,,,,,,,,,,"  110",",,W","  130",",,W",,,"   58",",,W","   76",",,W","    1",",,W","    1",",,W",,,,,,,,,,,,,,,,,,,,,,
"USW00024091","2018-07-15","40.51","-101.62","996.1","IMPERIAL MUNICIPAL AIRPORT, NE US","    0","T,,W,",,,,,"  294",",,W","  167",",,W","   40",",,W",,,,,,,,,,,"   10",",,W","  360",",,W",,,"   98",",,W","  130",",,W","    1",",,W","    1",",,W",,,,,,,,,,,,,,,,,,,,,,
"USW00024091","2018-07-16","40.51","-101.62","996.1","IMPERIAL MUNICIPAL AIRPORT, NE US","  208",",,W,",,,,,"  317",",,W","  172",",,W","   36",",,W",,,,,,,,,,,"  320",",,W","  340",",,W",,,"  139",",,W","  201",",,W","    1",",,W",,,"    1",",,W",,,,,,,,,,,,,,,,,,,,
