"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DATX","DATX_ATTRIBUTES","MDTX","MDTX_ATTRIBUTES"
"ASN00022049","2018-06-12","-35.2795","136.9392","42.0","STENHOUSE BAY, AS","   88",",,a","  162",",,a","  113",",,a",,,,
"ASN00022049","2018-06-13","-35.2795","136.9392","42.0","STENHOUSE BAY, AS","   40",",,a","  159",",,a","  112",",,a",,,,
"ASN00022049","2018-06-14","-35.2795","136.9392","42.0","STENHOUSE BAY, AS","   52",",,a","  164",",,a","  105",",,a",,,,
"ASN00022049","2018-06-15","-35.2795","136.9392","42.0","STENHOUSE BAY, AS","   50",",,a","  154",",,a","  100",",,a",,,,
"ASN00022049","2018-06-16","-35.2795","136.9392","42.0","STENHOUSE BAY, AS","   42",",,a","  134",",,a","   87",",,a",,,,
"ASN00022049","2018-06-17","-35.2795","136.9392","42.0","STENHOUSE BAY, AS","   14",",,a","  141",",,a","   87",",,a",,,,
"ASN00022049","2018-06-18","-35.2795","136.9392","42.0","STENHOUSE BAY, AS","    0",",,a","  132",",,a","  103",",,a",,,,
"ASN00022049","2018-06-19","-35.2795","136.9392","42.0","STENHOUSE BAY, AS","    0",",,a","  146",",,a","   87",",,a",,,,
"ASN00022049","2018-06-20","-35.2795","136.9392","42.0","STENHOUSE BAY, AS","    0",",,a","  163",",,a","   90",",,a",,,,
"ASN00022049","2018-06-21","-35.2795","136.9392","42.0","STENHOUSE BAY, AS","   14",",,a","  159",",,a","  115",",,a",,,,
"ASN00022049","2018-06-22","-35.2795","136.9392","42.0","STENHOUSE BAY, AS","    2",",,a","  166",",,a","   72",",,a",,,,
"ASN00022049","2018-06-23","-35.2795","136.9392","42.0","STENHOUSE BAY, AS","    0",",,a","  162",",,a","   86",",,a",,,,
"ASN00022049","2018-06-24","-35.2795","136.9392","42.0","STENHOUSE BAY, AS","    0",",,a","  152",",,a","  114",",,a",,,,
"ASN00022049","2018-06-25","-35.2795","136.9392","42.0","STENHOUSE BAY, AS","    0",",,a","  139",",,a","   95",",,a",,,,
"ASN00022049","2018-06-26","-35.2795","136.9392","42.0","STENHOUSE BAY, AS","    0",",,a","  132",",,a","   58",",,a",,,,
"ASN00022049","2018-06-27","-35.2795","136.9392","42.0","STENHOUSE BAY, AS","    0",",,a","  139",",,a","   62",",,a",,,,
"ASN00022049","2018-06-28","-35.2795","136.9392","42.0","STENHOUSE BAY, AS","    0",",,a","  148",",,a","   44",",,a",,,,
"ASN00022049","2018-06-29","-35.2795","136.9392","42.0","STENHOUSE BAY, AS","    8",",,a","  145",",,a","   75",",,a",,,,
"ASN00022049","2018-06-30","-35.2795","136.9392","42.0","STENHOUSE BAY, AS","   70",",,a","  149",",,a","   89",",,a",,,,
"ASN00022049","2018-07-01","-35.2795","136.9392","42.0","STENHOUSE BAY, AS","   22",",,a","  159",",,a","   62",",,a",,,,
"ASN00022049","2018-07-02","-35.2795","136.9392","42.0","STENHOUSE BAY, AS","    2",",,a","  159",",,a","   48",",,a",,,,
"ASN00022049","2018-07-03","-35.2795","136.9392","42.0","STENHOUSE BAY, AS","    0",",,a","  178",",,a","   81",",,a",,,,
"ASN00022049","2018-07-04","-35.2795","136.9392","42.0","STENHOUSE BAY, AS","    0",",,a","  168",",,a","  126",",,a",,,,
"ASN00022049","2018-07-05","-35.2795","136.9392","42.0","STENHOUSE BAY, AS","   12",",,a","  174",",,a","  116",",,a",,,,
"ASN00022049","2018-07-06","-35.2795","136.9392","42.0","STENHOUSE BAY, AS","   78",",,a","  154",",,a","   87",",,a",,,,
"ASN00022049","2018-07-07","-35.2795","136.9392","42.0","STENHOUSE BAY, AS","   42",",,a","  148",",,a","   90",",,a",,,,
"ASN00022049","2018-07-08","-35.2795","136.9392","42.0","STENHOUSE BAY, AS","    0",",,a","  154",",,a","  121",",,a",,,,
"ASN00022049","2018-07-09","-35.2795","136.9392","42.0","STENHOUSE BAY, AS","    2",",,a","  133",",,a","  106",",,a",,,,
"ASN00022049","2018-07-10","-35.2795","136.9392","42.0","STENHOUSE BAY, AS","    0",",,a","  150",",,a","   60",",,a",,,,
"ASN00022049","2018-07-11","-35.2795","136.9392","42.0","STENHOUSE BAY, AS","   16",",,a","  144",",,a","   61",",,a",,,,
"ASN00022049","2018-07-12","-35.2795","136.9392","42.0","STENHOUSE BAY, AS","    0",",,a","  127",",,a","  103",",,a",,,,
"ASN00022049","2018-07-13","-35.2795","136.9392","42.0","STENHOUSE BAY, AS","   72",",,a","  142",",,a","   62",",,a",,,,
"ASN00022049","2018-07-14","-35.2795","136.9392","42.0","STENHOUSE BAY, AS","    2",",,a","  164",",,a","   48",",,a",,,,
"ASN00022049","2018-07-15","-35.2795","136.9392","42.0","STENHOUSE BAY, AS","    0",",,a","  156",",,a","   62",",,a",,,,
"ASN00022049","2018-07-16","-35.2795","136.9392","42.0","STENHOUSE BAY, AS","   24",",,a","  171",",,a","   91",",,a",,,,
"ASN00022049","2018-07-17","-35.2795","136.9392","42.0","STENHOUSE BAY, AS","   14",",,a","  154",",,a","  104",",,a",,,,
"ASN00022049","2018-07-18","-35.2795","136.9392","42.0","STENHOUSE BAY, AS","   14",",,a","  169",",,a","   93",",,a",,,,
"ASN00022049","2018-07-19","-35.2795","136.9392","42.0","STENHOUSE BAY, AS","   52",",,a","  144",",,a","   97",",,a",,,,
"ASN00022049","2018-07-20","-35.2795","136.9392","42.0","STENHOUSE BAY, AS","   74",",,a","  142",",,a","   77",",,a",,,,
"ASN00022049","2018-07-21","-35.2795","136.9392","42.0","STENHOUSE BAY, AS","    6",",,a","  162",",,a","   73",",,a",,,,
"ASN00022049","2018-07-22","-35.2795","136.9392","42.0","STENHOUSE BAY, AS","    2",",,a","  149",",,a","   80",",,a",,,,
"ASN00022049","2018-07-23","-35.2795","136.9392","42.0","STENHOUSE BAY, AS","    2",",,a","  174",",,a","  112",",,a",,,,
"ASN00022049","2018-07-24","-35.2795","136.9392","42.0","STENHOUSE BAY, AS","   30",",,a","  175",",,a","  109",",,a",,,,
"ASN00022049","2018-07-25","-35.2795","136.9392","42.0","STENHOUSE BAY, AS","  146",",,a","  173",",,a","  108",",,a",,,,
"ASN00022049","2018-07-26","-35.2795","136.9392","42.0","STENHOUSE BAY, AS","   56",",,a","  193",",,a","   76",",,a",,,,
"ASN00022049","2018-07-27","-35.2795","136.9392","42.0","STENHOUSE BAY, AS","    0",",,a","  186",",,a","   83",",,a",,,,
"ASN00022049","2018-07-28","-35.2795","136.9392","42.0","STENHOUSE BAY, AS","    2",",,a","  168",",,a","  101",",,a",,,,
"ASN00022049","2018-07-29","-35.2795","136.9392","42.0","STENHOUSE BAY, AS","   64",",,a","  139",",,a","   93",",,a",,,,
"ASN00022049","2018-07-30","-35.2795","136.9392","42.0","STENHOUSE BAY, AS","    4",",,a","  168",",,a","  103",",,a",,,,
"ASN00022049","2018-07-31","-35.2795","136.9392","42.0","STENHOUSE BAY, AS","   26",",,a","  163",",,a","  109",",,a",,,,
"ASN00022049","2018-08-01","-35.2795","136.9392","42.0","STENHOUSE BAY, AS","   48",",,a","  172",",,a","   90",",,a",,,,
"ASN00022049","2018-08-02","-35.2795","136.9392","42.0","STENHOUSE BAY, AS","    2",",,a","  173",",,a","  104",",,a",,,,
"ASN00022049","2018-08-03","-35.2795","136.9392","42.0","STENHOUSE BAY, AS","  194",",,a","  152",",,a","   91",",,a",,,,
"ASN00022049","2018-08-04","-35.2795","136.9392","42.0","STENHOUSE BAY, AS","    2",",,a","  169",",,a","  113",",,a",,,,
"ASN00022049","2018-08-05","-35.2795","136.9392","42.0","STENHOUSE BAY, AS","   86",",,a","  111",",,a","   95",",,a",,,,
"ASN00022049","2018-08-06","-35.2795","136.9392","42.0","STENHOUSE BAY, AS","  216",",,a","  144",",,a","   70",",,a",,,,
"ASN00022049","2018-08-07","-35.2795","136.9392","42.0","STENHOUSE BAY, AS","   40",",,a","  150",",,a","   86",",,a",,,,
"ASN00022049","2018-08-08","-35.2795","136.9392","42.0","STENHOUSE BAY, AS","   78",",,a","  151",",,a","  110",",,a",,,,
"ASN00022049","2018-08-09","-35.2795","136.9392","42.0","STENHOUSE BAY, AS","    0",",,a",,,"   78",",,a",,,,
"ASN00022049","2018-08-10","-35.2795","136.9392","42.0","STENHOUSE BAY, AS",,,"  114",",,a","  112",",,a",,,,
"ASN00022049","2018-08-11","-35.2795","136.9392","42.0","STENHOUSE BAY, AS","  166",",,a","  134",",,a","   77",",,a",,,,
"ASN00022049","2018-08-12","-35.2795","136.9392","42.0","STENHOUSE BAY, AS","   34",",,a","  153",",,a","   75",",,a",,,,
"ASN00022049","2018-08-13","-35.2795","136.9392","42.0","STENHOUSE BAY, AS","    6",",,a","  165",",,a","  108",",,a",,,,
"ASN00022049","2018-08-14","-35.2795","136.9392","42.0","STENHOUSE BAY, AS","    2",",,a","  178",",,a","   78",",,a",,,,
"ASN00022049","2018-08-15","-35.2795","136.9392","42.0","STENHOUSE BAY, AS","    0",",,a","  168",",,a","  130",",,a",,,,
"ASN00022049","2018-08-16","-35.2795","136.9392","42.0","STENHOUSE BAY, AS","   18",",,a","  150",",,a","   94",",,a",,,,
"ASN00022049","2018-08-17","-35.2795","136.9392","42.0","STENHOUSE BAY, AS","   32",",,a","  170",",,a","   97",",,a",,,,
"ASN00022049","2018-08-18","-35.2795","136.9392","42.0","STENHOUSE BAY, AS","   64",",,a","  134",",,a","   90",",,a",,,,
"ASN00022049","2018-08-19","-35.2795","136.9392","42.0","STENHOUSE BAY, AS","    4",",,a","  142",",,a","  101",",,a",,,,
"ASN00022049","2018-08-20","-35.2795","136.9392","42.0","STENHOUSE BAY, AS","    0",",,a","  153",",,a","   70",",,a",,,,
"ASN00022049","2018-08-21","-35.2795","136.9392","42.0","STENHOUSE BAY, AS","    6",",,a","  165",",,a","   92",",,a",,,,
