"ASN00061260","2018-07-19","-32.7886","151.3377","61.0","CESSNOCK AIRPORT AWS, AS","    0",",,a","  234",",,a","   -8",",,a",,,,,,
"ASN00061260","2018-07-20","-32.7886","151.3377","61.0","CESSNOCK AIRPORT AWS, AS","    0",",,a","  212",",,a","  -14",",,a",,,,,,
"ASN00061260","2018-07-21","-32.7886","151.3377","61.0","CESSNOCK AIRPORT AWS, AS","    0",",,a","  169",",,a","   50",",,a",,,,,,
"ASN00061260","2018-07-22","-32.7886","151.3377","61.0","CESSNOCK AIRPORT AWS, AS","    0",",,a","  175",",,a","  -46",",,a",,,,,,
"ASN00061260","2018-07-23","-32.7886","151.3377","61.0","CESSNOCK AIRPORT AWS, AS","    0",",,a","  189",",,a","  -41",",,a",,,,,,
"ASN00061260","2018-07-24","-32.7886","151.3377","61.0","CESSNOCK AIRPORT AWS, AS","    0",",,a","  238",",,a","   24",",,a",,,,,,
"ASN00061260","2018-07-25","-32.7886","151.3377","61.0","CESSNOCK AIRPORT AWS, AS","    0",",,a","  227",",,a","  -11",",,a",,,,,,
"ASN00061260","2018-07-26","-32.7886","151.3377","61.0","CESSNOCK AIRPORT AWS, AS","    0",",,a","  217",",,a","   -5",",,a",,,,,,
"ASN00061260","2018-07-27","-32.7886","151.3377","61.0","CESSNOCK AIRPORT AWS, AS","    0",",,a","  214",",,a","   -3",",,a",,,,,,
"ASN00061260","2018-07-28","-32.7886","151.3377","61.0","CESSNOCK AIRPORT AWS, AS","    0",",,a","  227",",,a","   25",",,a",,,,,,
"ASN00061260","2018-07-29","-32.7886","151.3377","61.0","CESSNOCK AIRPORT AWS, AS","    0",",,a","  229",",,a","   63",",,a",,,,,,
"ASN00061260","2018-07-30","-32.7886","151.3377","61.0","CESSNOCK AIRPORT AWS, AS","    0",",,a","  189",",,a","   85",",,a",,,,,,
"ASN00061260","2018-07-31","-32.7886","151.3377","61.0","CESSNOCK AIRPORT AWS, AS","    0",",,a","  200",",,a","   17",",,a",,,,,,
"ASN00061260","2018-08-01","-32.7886","151.3377","61.0","CESSNOCK AIRPORT AWS, AS","    0",",,a","  221",",,a","  113",",,a",,,,,,
"ASN00061260","2018-08-02","-32.7886","151.3377","61.0","CESSNOCK AIRPORT AWS, AS","    0",",,a","  199",",,a","   36",",,a",,,,,,
"ASN00061260","2018-08-03","-32.7886","151.3377","61.0","CESSNOCK AIRPORT AWS, AS","    0",",,a","  234",",,a","   11",",,a",,,,,,
"ASN00061260","2018-08-04","-32.7886","151.3377","61.0","CESSNOCK AIRPORT AWS, AS","    0",",,a","  198",",,a","   79",",,a",,,,,,
"ASN00061260","2018-08-05","-32.7886","151.3377","61.0","CESSNOCK AIRPORT AWS, AS","    0",",,a","  217",",,a","  -11",",,a",,,,,,
"ASN00061260","2018-08-06","-32.7886","151.3377","61.0","CESSNOCK AIRPORT AWS, AS","    4",",,a","  155",",,a","   12",",,a",,,,,,
"ASN00061260","2018-08-07","-32.7886","151.3377","61.0","CESSNOCK AIRPORT AWS, AS","   48",",,a","  178",",,a","   84",",,a",,,,,,
"ASN00061260","2018-08-08","-32.7886","151.3377","61.0","CESSNOCK AIRPORT AWS, AS","    0",",,a","  194",",,a","   61",",,a",,,,,,
"ASN00061260","2018-08-09","-32.7886","151.3377","61.0","CESSNOCK AIRPORT AWS, AS","    0",",,a","  203",",,a","   14",",,a",,,,,,
"ASN00061260","2018-08-10","-32.7886","151.3377","61.0","CESSNOCK AIRPORT AWS, AS","    0",",,a","  226",",,a","  -14",",,a",,,,,,
"ASN00061260","2018-08-11","-32.7886","151.3377","61.0","CESSNOCK AIRPORT AWS, AS","    0",",,a","  244",",,a","   -9",",,a",,,,,,
"ASN00061260","2018-08-12","-32.7886","151.3377","61.0","CESSNOCK AIRPORT AWS, AS","    0",",,a","  174",",,a","   76",",,a",,,,,,
"ASN00061260","2018-08-13","-32.7886","151.3377","61.0","CESSNOCK AIRPORT AWS, AS","    0",",,a","  196",",,a","   48",",,a",,,,,,
