"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DATN","DATN_ATTRIBUTES","MDTN","MDTN_ATTRIBUTES"
"ASN00079103","2018-05-15","-37.295","142.6039","1150.0","GRAMPIANS MOUNT WILLIAM, AS","    0",",,a","   60",",,a","   20",",,a",,,,
"ASN00079103","2018-05-16","-37.295","142.6039","1150.0","GRAMPIANS MOUNT WILLIAM, AS","   26",",,a","   33",",,a","   12",",,a",,,,
"ASN00079103","2018-05-17","-37.295","142.6039","1150.0","GRAMPIANS MOUNT WILLIAM, AS","    6",",,a","   70",",,a","   15",",,a",,,,
"ASN00079103","2018-05-18","-37.295","142.6039","1150.0","GRAMPIANS MOUNT WILLIAM, AS","  140",",,a","   66",",,a","   31",",,a",,,,
"ASN00079103","2018-05-19","-37.295","142.6039","1150.0","GRAMPIANS MOUNT WILLIAM, AS","   12",",,a","   64",",,a","   17",",,a",,,,
"ASN00079103","2018-05-20","-37.295","142.6039","1150.0","GRAMPIANS MOUNT WILLIAM, AS","    6",",,a","   73",",,a","   19",",,a",,,,
"ASN00079103","2018-05-21","-37.295","142.6039","1150.0","GRAMPIANS MOUNT WILLIAM, AS","  150",",,a","   67",",,a","   44",",,a",,,,
"ASN00079103","2018-05-22","-37.295","142.6039","1150.0","GRAMPIANS MOUNT WILLIAM, AS","   52",",,a","   85",",,a","   48",",,a",,,,
"ASN00079103","2018-05-23","-37.295","142.6039","1150.0","GRAMPIANS MOUNT WILLIAM, AS","   40",",,a","   67",",,a","   45",",,a",,,,
"ASN00079103","2018-05-24","-37.295","142.6039","1150.0","GRAMPIANS MOUNT WILLIAM, AS","    8",",,a","   51",",,a","   31",",,a",,,,
"ASN00079103","2018-05-25","-37.295","142.6039","1150.0","GRAMPIANS MOUNT WILLIAM, AS","    0",",,a","  105",",,a","   21",",,a",,,,
"ASN00079103","2018-05-26","-37.295","142.6039","1150.0","GRAMPIANS MOUNT WILLIAM, AS","    0",",,a","  124",",,a","   28",",,a",,,,
"ASN00079103","2018-05-27","-37.295","142.6039","1150.0","GRAMPIANS MOUNT WILLIAM, AS","    0",",,a","  122",",,a","   64",",,a",,,,
"ASN00079103","2018-05-28","-37.295","142.6039","1150.0","GRAMPIANS MOUNT WILLIAM, AS","   14",",,a","  110",",,a","   70",",,a",,,,
"ASN00079103","2018-05-29","-37.295","142.6039","1150.0","GRAMPIANS MOUNT WILLIAM, AS","   98",",,a","   45",",,a","   30",",,a",,,,
"ASN00079103","2018-05-30","-37.295","142.6039","1150.0","GRAMPIANS MOUNT WILLIAM, AS","   48",",,a","   53",",,a","    3",",,a",,,,
"ASN00079103","2018-05-31","-37.295","142.6039","1150.0","GRAMPIANS MOUNT WILLIAM, AS","   88",",,a","   83",",,a","    6",",,a",,,,
"ASN00079103","2018-06-01","-37.295","142.6039","1150.0","GRAMPIANS MOUNT WILLIAM, AS","    2",",,a","  130",",,a","   22",",,a",,,,
"ASN00079103","2018-06-02","-37.295","142.6039","1150.0","GRAMPIANS MOUNT WILLIAM, AS","    0",",,a","  126",",,a","   53",",,a",,,,
"ASN00079103","2018-06-03","-37.295","142.6039","1150.0","GRAMPIANS MOUNT WILLIAM, AS","    0",",,a",,,"   48",",,a",,,,
"ASN00079103","2018-07-04","-37.295","142.6039","1150.0","GRAMPIANS MOUNT WILLIAM, AS",,,"   91",",,a",,,,,,
"ASN00079103","2018-07-05","-37.295","142.6039","1150.0","GRAMPIANS MOUNT WILLIAM, AS",,,"   91",",,a",,,,,,
"ASN00079103","2018-07-06","-37.295","142.6039","1150.0","GRAMPIANS MOUNT WILLIAM, AS",,,"   33",",,a","   10",",,a",,,,
"ASN00079103","2018-07-07","-37.295","142.6039","1150.0","GRAMPIANS MOUNT WILLIAM, AS","   90",",,a","   35",",,a","   -1",",,a",,,,
"ASN00079103","2018-07-08","-37.295","142.6039","1150.0","GRAMPIANS MOUNT WILLIAM, AS","  136",",,a","   50",",,a","   -1",",,a",,,,
"ASN00079103","2018-07-09","-37.295","142.6039","1150.0","GRAMPIANS MOUNT WILLIAM, AS","  106",",,a","   59",",,a","   11",",,a",,,,
"ASN00079103","2018-07-10","-37.295","142.6039","1150.0","GRAMPIANS MOUNT WILLIAM, AS","    2",",,a","   27",",,a","    1",",,a",,,,
"ASN00079103","2018-07-11","-37.295","142.6039","1150.0","GRAMPIANS MOUNT WILLIAM, AS","   26",",,a","   13",",,a","   -5",",,a",,,,
"ASN00079103","2018-07-12","-37.295","142.6039","1150.0","GRAMPIANS MOUNT WILLIAM, AS","   60",",,a","   57",",,a","  -14",",,a",,,,
"ASN00079103","2018-07-13","-37.295","142.6039","1150.0","GRAMPIANS MOUNT WILLIAM, AS","   14",",,a","   50",",,a","    1",",,a",,,,
"ASN00079103","2018-07-14","-37.295","142.6039","1150.0","GRAMPIANS MOUNT WILLIAM, AS","    0",",,a","   40",",,a","   -2",",,a",,,,
"ASN00079103","2018-07-15","-37.295","142.6039","1150.0","GRAMPIANS MOUNT WILLIAM, AS","    4",",,a","   73",",,a","   -1",",,a",,,,
"ASN00079103","2018-07-16","-37.295","142.6039","1150.0","GRAMPIANS MOUNT WILLIAM, AS","    2",",,a","   48",",,a","   18",",,a",,,,
