"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT09","WT09_ATTRIBUTES","WT11","WT11_ATTRIBUTES"
"USC00245872","2018-04-03","47.022","-107.8224","887.0","MOSBY 4 ENE, MT US","    0",",,7,2000","    0",",,7",,,"  -33",",,7"," -161",",,7",,,,,,,,,,,,,,,,,,,,
"USC00245872","2018-04-04","47.022","-107.8224","887.0","MOSBY 4 ENE, MT US","    0",",,7,2000","    0",",,7",,,"   44",",,7","  -72",",,7",,,,,,,,,,,,,,,,,,,,
"USC00245872","2018-04-05","47.022","-107.8224","887.0","MOSBY 4 ENE, MT US","    0",",,7,2000","    0",",,7",,,"   17",",,7","  -72",",,7",,,,,,,,,,,,,,,,,,,,
"USC00245872","2018-04-06","47.022","-107.8224","887.0","MOSBY 4 ENE, MT US","   38",",,7,2000","   64",",,7",,,"  -61",",,7"," -133",",,7",,,,,,,,,,,,,,,,,,,,
"USC00245872","2018-04-07","47.022","-107.8224","887.0","MOSBY 4 ENE, MT US","    8",",,7,2000","   13",",,7",,,"   17",",,7","  -89",",,7",,,,,,,,,,,,,,,,,,,,
"USC00245872","2018-04-08","47.022","-107.8224","887.0","MOSBY 4 ENE, MT US","    0",",,7,2000","    0",",,7",,,"   33",",,7","  -33",",,7",,,,,,,,,,,,,,,,,,,,
"USC00245872","2018-04-09","47.022","-107.8224","887.0","MOSBY 4 ENE, MT US","    8",",,7,2000","   13",",,7",,,"  117",",,7","  -44",",,7",,,,,,,,,,,,,,,,,,,,
"USC00245872","2018-04-10","47.022","-107.8224","887.0","MOSBY 4 ENE, MT US","    0",",,7,2000","    0",",,7",,,"  150",",,7","    6",",,7",,,,,,,,,,,,,,,,,,,,
"USC00245872","2018-04-11","47.022","-107.8224","887.0","MOSBY 4 ENE, MT US","    0","T,,7,2000","    0",",,7",,,"  144",",,7","   61",",,7",,,,,,,,,,,,,,,,,,,,
"USC00245872","2018-04-12","47.022","-107.8224","887.0","MOSBY 4 ENE, MT US","  295",",,7,2000","    0","T,,7",,,"  100",",,7","   -6",",,7",,,,,,,,,,,,,,,,,,,,
"USC00245872","2018-04-13","47.022","-107.8224","887.0","MOSBY 4 ENE, MT US","    0",",,7,2000","    0",",,7",,,"   22",",,7","  -22",",,7",,,,,,,,,,,,,,,,,,,,
"USC00245872","2018-04-14","47.022","-107.8224","887.0","MOSBY 4 ENE, MT US","    0",",,7,2000","    0",",,7",,,"  128",",,7","  -61",",,7",,,,,,,,,,,,,,,,,,,,
"USC00245872","2018-04-15","47.022","-107.8224","887.0","MOSBY 4 ENE, MT US","    0",",,7,2000","    0",",,7",,,"  156",",,7","   11",",,7",,,,,,,,,,,,,,,,,,,,
"USC00245872","2018-04-16","47.022","-107.8224","887.0","MOSBY 4 ENE, MT US","    0",",,7,2000","    0",",,7","    0",",,7","  183",",,7","   11",",,7",,,,,,,,,,,,,,,,,,,,
"USC00245872","2018-04-17","47.022","-107.8224","887.0","MOSBY 4 ENE, MT US","   10",",,7,2000","    0",",,7","    0",",,7","  117",",,7","   28",",,7",,,,,,,,,,,,,,,,,,,,
