"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAEV","DAEV_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","DAWM","DAWM_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","MDEV","MDEV_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MDWM","MDWM_ATTRIBUTES","MNPN","MNPN_ATTRIBUTES","MXPN","MXPN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT07","WT07_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT11","WT11_ATTRIBUTES","WT14","WT14_ATTRIBUTES","WT16","WT16_ATTRIBUTES"
"USC00417622","2018-06-20","26.3769","-98.8116","52.4","RIO GRANDE CITY, TX US","  127",",,H,0700",,,,,"  339",",,H","  233",",,H",,,,,,,,,,,,,,,,,,,"  233",",,H,0700",,,,,,,,,,,,,,,,,,,,
"USC00417622","2018-06-21","26.3769","-98.8116","52.4","RIO GRANDE CITY, TX US"," 1778",",,H,0700","    0",",,H","    0",",,H","  306",",,H","  228",",,H",,,,,,,,,,,,,,,,,,,"  228",",,H,0700",,,,,,,,,,,,,,,,,,,,
"USC00417622","2018-06-22","26.3769","-98.8116","52.4","RIO GRANDE CITY, TX US","  279",",,H,0700",,,,,"  278",",,H","  228",",,H",,,,,,,,,,,,,,,,,,,"  233",",,H,0700",,,,,,,,,,,,,,,,,,,,
"USC00417622","2018-06-23","26.3769","-98.8116","52.4","RIO GRANDE CITY, TX US","    0",",,H,0700","    0",",,H","    0",",,H","  344",",,H","  233",",,H",,,,,,,,,,,,,,,,,,,"  250",",,H,0700",,,,,,,,,,,,,,,,,,,,
"USC00417622","2018-06-24","26.3769","-98.8116","52.4","RIO GRANDE CITY, TX US","    0",",,H,0700","    0",",,H","    0",",,H","  372",",,H","  250",",,H",,,,,,,,,,,,,,,,,,,"  256",",,H,0700",,,,,,,,,,,,,,,,,,,,
"USC00417622","2018-06-25","26.3769","-98.8116","52.4","RIO GRANDE CITY, TX US","    0",",,H,0700","    0",",,H","    0",",,H","  367",",,H","  256",",,H",,,,,,,,,,,,,,,,,,,"  256",",,H,0700",,,,,,,,,,,,,,,,,,,,
"USC00417622","2018-06-26","26.3769","-98.8116","52.4","RIO GRANDE CITY, TX US","    0",",,H,0700","    0",",,H","    0",",,H","  356",",,H","  256",",,H",,,,,,,,,,,,,,,,,,,"  261",",,H,0700",,,,,,,,,,,,,,,,,,,,
"USC00417622","2018-06-27","26.3769","-98.8116","52.4","RIO GRANDE CITY, TX US","    0",",,H,0700",,,,,"  350",",,H","  256",",,H",,,,,,,,,,,,,,,,,,,"  256",",,H,0700",,,,,,,,,,,,,,,,,,,,
"USC00417622","2018-06-28","26.3769","-98.8116","52.4","RIO GRANDE CITY, TX US","    0",",,H,0700","    0",",,H","    0",",,H","  367",",,H","  256",",,H",,,,,,,,,,,,,,,,,,,"  256",",,H,0700",,,,,,,,,,,,,,,,,,,,
"USC00417622","2018-06-29","26.3769","-98.8116","52.4","RIO GRANDE CITY, TX US","    0",",,H,0700",,,,,"  361",",,H","  250",",,H",,,,,,,,,,,,,,,,,,,"  250",",,H,0700",,,,,,,,,,,,,,,,,,,,
"USC00417622","2018-06-30","26.3769","-98.8116","52.4","RIO GRANDE CITY, TX US","    0",",,H,0700","    0",",,H","    0",",,H","  367",",,H","  250",",,H",,,,,,,,,,,,,,,,,,,"  256",",,H,0700",,,,,,,,,,,,,,,,,,,,
"USC00417622","2018-07-01","26.3769","-98.8116","52.4","RIO GRANDE CITY, TX US","    0",",,H,0700",,,,,"  378",",,H","  250",",,H",,,,,,,,,,,,,,,,,,,"  256",",,H,0700",,,,,,,,,,,,,,,,,,,,
"USC00417622","2018-07-02","26.3769","-98.8116","52.4","RIO GRANDE CITY, TX US","    0",",,H,0700","    0",",,H","    0",",,H","  372",",,H","  244",",,H",,,,,,,,,,,,,,,,,,,"  244",",,H,0700",,,,,,,,,,,,,,,,,,,,
