"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","AWND","AWND_ATTRIBUTES","FMTM","FMTM_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES"
"USW00093706","2018-07-06","39.7062","-77.7304","214.9","HAGERSTOWN REGIONAL AIRPORT, MD US","    0","T,,W,2400",,,,,"  317",",,W","  211",",,W","   28",",,W",,,,,,,,,"  330",",,W","  340",",,W","   89",",,W","  107",",,W",,,,,,,,,,,,,,,,
"USW00093706","2018-07-07","39.7062","-77.7304","214.9","HAGERSTOWN REGIONAL AIRPORT, MD US","    0",",,W,2400",,,,,"  267",",,W","  161",",,W","   30",",,W",,,,,,,,,"   30",",,W","   30",",,W","   63",",,W","   81",",,W",,,,,,,,,,,,,,,,
"USW00093706","2018-07-08","39.7062","-77.7304","214.9","HAGERSTOWN REGIONAL AIRPORT, MD US","    0",",,W,2400",,,,,"  283",",,W","  150",",,W","   18",",,W",,,,,,,,,"  120",",,W","  140",",,W","   40",",,W","   63",",,W",,,,,,,,,,,,,,,,
"USW00093706","2018-07-09","39.7062","-77.7304","214.9","HAGERSTOWN REGIONAL AIRPORT, MD US","    0",",,W,2400",,,,,"  306",",,W","  161",",,W","   12",",,W",,,,,,,,,"  280",",,W","  280",",,W","   40",",,W","   54",",,W",,,,,,,,,,,,,,,,
"USW00093706","2018-07-10","39.7062","-77.7304","214.9","HAGERSTOWN REGIONAL AIRPORT, MD US","    0","T,,W,2400",,,,,"  339",",,W","  189",",,W","   28",",,W",,,,,,,,,"  300",",,W","  280",",,W","   67",",,W","   89",",,W",,,,,,,,,,,,,,,,
"USW00093706","2018-07-11","39.7062","-77.7304","214.9","HAGERSTOWN REGIONAL AIRPORT, MD US","    0",",,W,2400",,,,,"  317",",,W","  217",",,W","   27",",,W",,,,,,,,,"  330",",,W","  360",",,W","   67",",,W","   98",",,W",,,,,,,,,,,,,,,,
"USW00093706","2018-07-12","39.7062","-77.7304","214.9","HAGERSTOWN REGIONAL AIRPORT, MD US","    0",",,W,2400",,,,,"  311",",,W","  172",",,W","   21",",,W",,,,,,,,,"   30",",,W","   30",",,W","   45",",,W","   63",",,W",,,,,,,,,,,,,,,,
"USW00093706","2018-07-13","39.7062","-77.7304","214.9","HAGERSTOWN REGIONAL AIRPORT, MD US","    0",",,W,2400",,,,,"  306",",,W","  200",",,W","   26",",,W",,,,,,,,,"  170",",,W","  180",",,W","   58",",,W","   85",",,W",,,,,,,,,,,,,,,,
"USW00093706","2018-07-14","39.7062","-77.7304","214.9","HAGERSTOWN REGIONAL AIRPORT, MD US","    0",",,W,2400",,,,,"  328",",,W","  206",",,W","   33",",,W",,,,,,,,,"  180",",,W","  210",",,W","   58",",,W","   94",",,W",,,,,,,,,,,,,,,,
"USW00093706","2018-07-15","39.7062","-77.7304","214.9","HAGERSTOWN REGIONAL AIRPORT, MD US","    0","T,,W,2400",,,,,"  306",",,W","  228",",,W","   25",",,W",,,,,,,,,"  220",",,W","  230",",,W","   67",",,W","   81",",,W",,,,,,,,,,,,,,,,
"USW00093706","2018-07-16","39.7062","-77.7304","214.9","HAGERSTOWN REGIONAL AIRPORT, MD US","    0",",,W,2400",,,,,"  344",",,W","  217",",,W","   24",",,W",,,,,,,,,"  180",",,W","  200",",,W","   72",",,W","   94",",,W","    1",",,W",,,,,,,,,,,"    1",",,W",,
"USW00093706","2018-07-17","39.7062","-77.7304","214.9","HAGERSTOWN REGIONAL AIRPORT, MD US","  262",",,W,2400",,,,,"  306",",,W","  200",",,W","   27",",,W",,,,,,,,,"  330",",,W","  330",",,W","  170",",,W","  210",",,W","    1",",,W","    1",",,W","    1",",,W",,,,,,,,,,
"USW00093706","2018-07-18","39.7062","-77.7304","214.9","HAGERSTOWN REGIONAL AIRPORT, MD US","    0",",,W,2400",,,,,"  294",",,W","  189",",,W","   27",",,W",,,,,,,,,"  310",",,W","  320",",,W","   67",",,W","   89",",,W",,,,,,,,,,,,,,,,
"USW00093706","2018-07-19","39.7062","-77.7304","214.9","HAGERSTOWN REGIONAL AIRPORT, MD US","    0",",,W,2400",,,,,"  300",",,W","  172",",,W","   19",",,W",,,,,,,,,"  350",",,W","  260",",,W","   45",",,W","   58",",,W",,,,,,,,,,,,,,,,
"USW00093706","2018-07-20","39.7062","-77.7304","214.9","HAGERSTOWN REGIONAL AIRPORT, MD US","    0",",,W,2400",,,,,"  300",",,W","  183",",,W","   38",",,W",,,,,,,,,"  160",",,W","  120",",,W","   81",",,W","  107",",,W",,,,,,,,,,,,,,,,
"USW00093706","2018-07-21","39.7062","-77.7304","214.9","HAGERSTOWN REGIONAL AIRPORT, MD US","  521",",,W,2400",,,,,"  250",",,W","  161",",,W","   45",",,W",,,,,,,,,"   10",",,W","  350",",,W","   81",",,W","   98",",,W","    1",",,W",,,,,,,,,,,,,,
"USW00093706","2018-07-22","39.7062","-77.7304","214.9","HAGERSTOWN REGIONAL AIRPORT, MD US","   46",",,W,2400",,,,,"  256",",,W","  172",",,W","   28",",,W",,,,,,,,,"  130",",,W","  150",",,W","   63",",,W","   81",",,W","    1",",,W",,,,,,,,,,,,,,
"USW00093706","2018-07-23","39.7062","-77.7304","214.9","HAGERSTOWN REGIONAL AIRPORT, MD US","  122",",,W,2400",,,,,"  267",",,W","  222",",,W","   34",",,W",,,,,,,,,"  150",",,W","  160",",,W","   81",",,W","  103",",,W","    1",",,W",,,"    1",",,W",,,,,,,,,,
"USW00093706","2018-07-24","39.7062","-77.7304","214.9","HAGERSTOWN REGIONAL AIRPORT, MD US","  175",",,W,2400",,,,,"  283",",,W","  233",",,W","   42",",,W",,,,,,,,,"  160",",,W","  160",",,W","   94",",,W","  121",",,W","    1",",,W",,,,,,,,,,,,,,
"USW00093706","2018-07-25","39.7062","-77.7304","214.9","HAGERSTOWN REGIONAL AIRPORT, MD US","  160",",,W,2400",,,,,"  272",",,W","  211",",,W","   25",",,W",,,,,,,,,"  190",",,W","  140",",,W","   54",",,W","   72",",,W","    1",",,W","    1",",,W","    1",",,W",,,,,,,"    1",",,W",,
"USW00093706","2018-07-26","39.7062","-77.7304","214.9","HAGERSTOWN REGIONAL AIRPORT, MD US","    0",",,W,2400",,,,,"  306",",,W","  206",",,W","   22",",,W",,,,,,,,,"  290",",,W","  300",",,W","   58",",,W","   67",",,W","    1",",,W","    1",",,W",,,,,,,,,"    1",",,W",,
"USW00093706","2018-07-27","39.7062","-77.7304","214.9","HAGERSTOWN REGIONAL AIRPORT, MD US","   23",",,W,2400",,,,,"  311",",,W","  211",",,W","   18",",,W",,,,,,,,,"  180",",,W","  220",",,W","   67",",,W","   89",",,W","    1",",,W",,,"    1",",,W",,,,,,,"    1",",,W",,
"USW00093706","2018-07-28","39.7062","-77.7304","214.9","HAGERSTOWN REGIONAL AIRPORT, MD US","    0",",,W,2400",,,,,"  294",",,W","  183",",,W","   25",",,W",,,,,,,,,"  330",",,W","  280",",,W","   67",",,W","   94",",,W","    1",",,W","    1",",,W",,,,,,,,,"    1",",,W",,
"USW00093706","2018-07-29","39.7062","-77.7304","214.9","HAGERSTOWN REGIONAL AIRPORT, MD US","    0",",,W,2400",,,,,"  289",",,W","  183",",,W","   13",",,W",,,,,,,,,"  340",",,W","  310",",,W","   40",",,W","   49",",,W",,,,,,,,,,,,,,,,
"USW00093706","2018-07-30","39.7062","-77.7304","214.9","HAGERSTOWN REGIONAL AIRPORT, MD US","  127",",,W,2400",,,,,"  267",",,W","  183",",,W","   16",",,W",,,,,,,,,"  110",",,W","  120",",,W","   94",",,W","  112",",,W","    1",",,W",,,"    1",",,W",,,,,,,"    1",",,W",,
"USW00093706","2018-07-31","39.7062","-77.7304","214.9","HAGERSTOWN REGIONAL AIRPORT, MD US","    0",",,W,2400",,,,,"  267",",,W","  206",",,W","   27",",,W",,,,,,,,,"  160",",,W","  150",",,W","   72",",,W","   98",",,W","    1",",,W",,,,,,,,,,,,,,
"USW00093706","2018-08-01","39.7062","-77.7304","214.9","HAGERSTOWN REGIONAL AIRPORT, MD US","  406",",,W,2400",,,,,"  300",",,W","  211",",,W","   31",",,W",,,,,,,,,"  290",",,W","  300",",,W","   94",",,W","  116",",,W","    1",",,W",,,"    1",",,W",,,,,,,,,,
"USW00093706","2018-08-02","39.7062","-77.7304","214.9","HAGERSTOWN REGIONAL AIRPORT, MD US","  127",",,W,2400",,,,,"  267",",,W","  211",",,W","   12",",,W",,,,,,,,,"  300",",,W","  300",",,W","   54",",,W","   63",",,W","    1",",,W",,,,,,,,,,,"    1",",,W",,
"USW00093706","2018-08-03","39.7062","-77.7304","214.9","HAGERSTOWN REGIONAL AIRPORT, MD US","  185",",,W,2400",,,,,"  278",",,W","  222",",,W","   30",",,W",,,,,,,,,"  220",",,W","  220",",,W","   67",",,W","   85",",,W","    1",",,W","    1",",,W",,,,,,,,,,,,
