"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","AWND","AWND_ATTRIBUTES","FMTM","FMTM_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT08","WT08_ATTRIBUTES"
"USW00094732","2018-07-25","40.07892","-75.01341","32.0","NORTHEAST PHILADELPHIA AIRPORT, PA US","  152",",,W,",,,"  300",",,W","  233",",,W","   22",",,W",,," 1638",",,W",,,,,"  230",",,W","  160",",,W","   67",",,W","   94",",,W",,,,,,,,
"USW00094732","2018-07-26","40.07892","-75.01341","32.0","NORTHEAST PHILADELPHIA AIRPORT, PA US","    0","T,,W,",,,"  322",",,W","  222",",,W","   22",",,W",,," 1558",",,W",,,,,"  280",",,W","  280",",,W","   58",",,W","   72",",,W",,,,,,,,
"USW00094732","2018-07-27","40.07892","-75.01341","32.0","NORTHEAST PHILADELPHIA AIRPORT, PA US","  340",",,W,",,,"  328",",,W","  217",",,W","   17",",,W",,," 1529",",,W",,,,,"  280",",,W","  260",",,W","   89",",,W","  143",",,W",,,,,,,,
"USW00094732","2018-07-28","40.07892","-75.01341","32.0","NORTHEAST PHILADELPHIA AIRPORT, PA US","    0",",,W,",,,"  322",",,W","  211",",,W","   19",",,W",,," 1646",",,W",,,,,"  260",",,W","  250",",,W","   67",",,W","   85",",,W",,,,,,,,
"USW00094732","2018-07-29","40.07892","-75.01341","32.0","NORTHEAST PHILADELPHIA AIRPORT, PA US","    0",",,W,",,,"  306",",,W","  194",",,W","   24",",,W",,," 1332",",,W",,,,,"  270",",,W","  250",",,W","   58",",,W","   76",",,W",,,,,,,,
"USW00094732","2018-07-30","40.07892","-75.01341","32.0","NORTHEAST PHILADELPHIA AIRPORT, PA US","    0",",,W,",,,"  267",",,W","  189",",,W","   20",",,W",,," 1332",",,W",,,,,"  130",",,W","  130",",,W","   58",",,W","   72",",,W",,,,,,,,
"USW00094732","2018-07-31","40.07892","-75.01341","32.0","NORTHEAST PHILADELPHIA AIRPORT, PA US","    0",",,W,",,,"  283",",,W","  194",",,W","   29",",,W",,," 1244",",,W",,,,,"  130",",,W","  160",",,W","   58",",,W","   81",",,W",,,,,,,,
"USW00094732","2018-08-01","40.07892","-75.01341","32.0","NORTHEAST PHILADELPHIA AIRPORT, PA US","   69",",,W,",,,"  322",",,W","  239",",,W","   41",",,W",,," 1108",",,W",,,,,"  230",",,W","  220",",,W","   81",",,W","  134",",,W",,,,,,,,
"USW00094732","2018-08-02","40.07892","-75.01341","32.0","NORTHEAST PHILADELPHIA AIRPORT, PA US","   18",",,W,",,,"  328",",,W","  244",",,W","   27",",,W",,," 1054",",,W",,,,,"  250",",,W","  240",",,W","   76",",,W","  103",",,W",,,,,,,,
"USW00094732","2018-08-03","40.07892","-75.01341","32.0","NORTHEAST PHILADELPHIA AIRPORT, PA US","   84",",,W,",,,"  317",",,W","  239",",,W","   24",",,W",,," 1202",",,W",,,,,"  230",",,W","  240",",,W","  143",",,W","  210",",,W",,,,,,,,
"USW00094732","2018-08-04","40.07892","-75.01341","32.0","NORTHEAST PHILADELPHIA AIRPORT, PA US","    8",",,W,",,,"  322",",,W","  244",",,W","   30",",,W",,," 1043",",,W",,,,,"  340",",,W","  350",",,W","   72",",,W","   94",",,W",,,,,,,,
"USW00094732","2018-08-05","40.07892","-75.01341","32.0","NORTHEAST PHILADELPHIA AIRPORT, PA US","    0",",,W,",,,"  350",",,W","  222",",,W","   15",",,W",,," 1347",",,W",,,,,"  270",",,W","  270",",,W","   54",",,W","   67",",,W",,,,,,,,
"USW00094732","2018-08-06","40.07892","-75.01341","32.0","NORTHEAST PHILADELPHIA AIRPORT, PA US","    0",",,W,",,,"  350",",,W","  239",",,W","   20",",,W",,," 1953",",,W",,,,,"  210",",,W","  220",",,W","   58",",,W","   81",",,W",,,,,,,,
"USW00094732","2018-08-07","40.07892","-75.01341","32.0","NORTHEAST PHILADELPHIA AIRPORT, PA US","   41",",,W,",,,"  344",",,W","  244",",,W","   26",",,W",,," 1929",",,W",,,,,"  300",",,W","  290",",,W","   76",",,W","   98",",,W",,,,,,,,
"USW00094732","2018-08-08","40.07892","-75.01341","32.0","NORTHEAST PHILADELPHIA AIRPORT, PA US","    0","T,,W,",,,"  339",",,W","  228",",,W","   20",",,W",,," 1801",",,W",,,,,"  260",",,W","  250",",,W","   67",",,W","   85",",,W",,,,,,,,
"USW00094732","2018-08-09","40.07892","-75.01341","32.0","NORTHEAST PHILADELPHIA AIRPORT, PA US","    5",",,W,",,,"  328",",,W","  244",",,W","   36",",,W",,," 1435",",,W",,,,,"  270",",,W","  270",",,W","   76",",,W","   98",",,W",,,,,,,,
"USW00094732","2018-08-10","40.07892","-75.01341","32.0","NORTHEAST PHILADELPHIA AIRPORT, PA US","    0",",,W,",,,"  339",",,W","  217",",,W","   15",",,W",,," 1543",",,W",,,,,"  340",",,W","  350",",,W","   76",",,W","  103",",,W",,,,,,,,
"USW00094732","2018-08-11","40.07892","-75.01341","32.0","NORTHEAST PHILADELPHIA AIRPORT, PA US","  267",",,W,",,,"  294",",,W","  211",",,W","   16",",,W",,," 1328",",,W",,,,,"  290",",,W","  260",",,W","  134",",,W","  165",",,W",,,,,,,,
"USW00094732","2018-08-12","40.07892","-75.01341","32.0","NORTHEAST PHILADELPHIA AIRPORT, PA US","    0",",,W,",,,"  317",",,W","  217",",,W","   26",",,W",,," 1526",",,W",,,,,"   30",",,W","   50",",,W","   58",",,W","   67",",,W",,,,,,,,
"USW00094732","2018-08-13","40.07892","-75.01341","32.0","NORTHEAST PHILADELPHIA AIRPORT, PA US","  312",",,W,",,,"  294",",,W","  217",",,W","   30",",,W",,," 2034",",,W",,,,,"  330",",,W","  340",",,W","   67",",,W","   89",",,W",,,,,,,,
"USW00094732","2018-08-14","40.07892","-75.01341","32.0","NORTHEAST PHILADELPHIA AIRPORT, PA US","  147",",,W,",,,"  294",",,W","  206",",,W","   21",",,W",,," 1622",",,W",,,,,"  300",",,W","  300",",,W","   94",",,W","  130",",,W",,,,,,,,
"USW00094732","2018-08-15","40.07892","-75.01341","32.0","NORTHEAST PHILADELPHIA AIRPORT, PA US","    0",",,W,",,,"  322",",,W","  217",",,W","   35",",,W",,," 0719",",,W",,,,,"  260",",,W","  310",",,W","   67",",,W","   98",",,W",,,,,,,,
"USW00094732","2018-08-16","40.07892","-75.01341","32.0","NORTHEAST PHILADELPHIA AIRPORT, PA US","    0",",,W,",,,"  333",",,W","  233",",,W","   18",",,W",,," 1544",",,W",,,,,"  260",",,W","  260",",,W","   54",",,W","   67",",,W",,,,,,,,
"USW00094732","2018-08-17","40.07892","-75.01341","32.0","NORTHEAST PHILADELPHIA AIRPORT, PA US","    0",",,W,",,,"  344",",,W","  244",",,W","   26",",,W",,," 1535",",,W",,,,,"  240",",,W","  220",",,W","   72",",,W","  103",",,W",,,,,,,,
"USW00094732","2018-08-18","40.07892","-75.01341","32.0","NORTHEAST PHILADELPHIA AIRPORT, PA US","   56",",,W,",,,"  328",",,W","  233",",,W","   31",",,W",,," 1426",",,W",,,,,"  330",",,W","  300",",,W","   76",",,W","   89",",,W",,,,,,,,
"USW00094732","2018-08-19","40.07892","-75.01341","32.0","NORTHEAST PHILADELPHIA AIRPORT, PA US","    8",",,W,",,,"  233",",,W","  211",",,W","   40",",,W",,," 1000",",,W",,,,,"   70",",,W","   70",",,W","   76",",,W","   94",",,W",,,,,,,,
"USW00094732","2018-08-20","40.07892","-75.01341","32.0","NORTHEAST PHILADELPHIA AIRPORT, PA US","    0",",,W,",,,"  261",",,W","  206",",,W","   31",",,W",,," 0919",",,W",,,,,"   70",",,W","   70",",,W","   63",",,W","   72",",,W",,,,,,,,
"USW00094732","2018-08-21","40.07892","-75.01341","32.0","NORTHEAST PHILADELPHIA AIRPORT, PA US","   20",",,W,",,,"  283",",,W","  200",",,W","   40",",,W",,," 1557",",,W",,,,,"  130",",,W","  120",",,W","   76",",,W","   98",",,W",,,,,,,,
"USW00094732","2018-08-22","40.07892","-75.01341","32.0","NORTHEAST PHILADELPHIA AIRPORT, PA US","   10",",,W,",,,"  306",",,W","  217",",,W","   42",",,W",,," 1631",",,W",,,,,"  280",",,W","  300",",,W","   81",",,W","  103",",,W",,,,,,,,
"USW00094732","2018-08-23","40.07892","-75.01341","32.0","NORTHEAST PHILADELPHIA AIRPORT, PA US","    0",",,W,",,,"  283",",,W","  194",",,W","   39",",,W",,," 0853",",,W",,,,,"   10",",,W","   10",",,W","   94",",,W","  125",",,W",,,,,,,,
"USW00094732","2018-08-24","40.07892","-75.01341","32.0","NORTHEAST PHILADELPHIA AIRPORT, PA US","    0",",,W,",,,"  300",",,W","  161",",,W","   13",",,W",,," 1248",",,W",,,,,"  100",",,W","  100",",,W","   58",",,W","   81",",,W",,,,,,,,
"USW00094732","2018-08-25","40.07892","-75.01341","32.0","NORTHEAST PHILADELPHIA AIRPORT, PA US","    0",",,W,",,,"  283",",,W","  167",",,W","   16",",,W",,," 1518",",,W",,,,,"  130",",,W","  130",",,W","   40",",,W","   58",",,W",,,,,,,,
"USW00094732","2018-08-26","40.07892","-75.01341","32.0","NORTHEAST PHILADELPHIA AIRPORT, PA US","    0",",,W,",,,"  306",",,W","  183",",,W","   28",",,W",,," 1437",",,W",,,,,"  250",",,W","  250",",,W","   76",",,W","   89",",,W",,,,,,,,
"USW00094732","2018-08-27","40.07892","-75.01341","32.0","NORTHEAST PHILADELPHIA AIRPORT, PA US","    0",",,W,",,,"  339",",,W","  222",",,W","   20",",,W",,," 1503",",,W",,,,,"  270",",,W","  330",",,W","   54",",,W","   67",",,W",,,,,,,,
"USW00094732","2018-08-28","40.07892","-75.01341","32.0","NORTHEAST PHILADELPHIA AIRPORT, PA US","    0",",,W,",,,"  361",",,W","  250",",,W","   31",",,W",,," 1545",",,W",,,,,"  250",",,W","  250",",,W","   76",",,W","   94",",,W",,,,,,,,
"USW00094732","2018-08-29","40.07892","-75.01341","32.0","NORTHEAST PHILADELPHIA AIRPORT, PA US","    0",",,W,",,,"  361",",,W","  261",",,W","   33",",,W",,," 1542",",,W",,,,,"  260",",,W","  270",",,W","   72",",,W","   94",",,W",,,,,,,,
