"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","AWND","AWND_ATTRIBUTES","FMTM","FMTM_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT07","WT07_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES","WT10","WT10_ATTRIBUTES","WT11","WT11_ATTRIBUTES","WT13","WT13_ATTRIBUTES","WT14","WT14_ATTRIBUTES","WT16","WT16_ATTRIBUTES","WT17","WT17_ATTRIBUTES","WT18","WT18_ATTRIBUTES","WT19","WT19_ATTRIBUTES","WT21","WT21_ATTRIBUTES","WT22","WT22_ATTRIBUTES","WV03","WV03_ATTRIBUTES"
"USW00024132","2018-07-06","45.788","-111.1608","1349.3","BOZEMAN GALLATIN FIELD AIRPORT, MT US","    0",",,W,2400","    0",",,H","    0",",,H","  361",",,W","  106",",,W","   19",",,W",,,,,,,,,"  230",",,W","  220",",,W","   76",",,W","  103",",,W",,,,,,,,,,,,,,,,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,
"USW00024132","2018-07-07","45.788","-111.1608","1349.3","BOZEMAN GALLATIN FIELD AIRPORT, MT US","    0","T,,W,2400","    0",",,H","    0",",,H","  311",",,W","   94",",,W","   32",",,W",,,,,,,,,"  190",",,W","  190",",,W","  116",",,W","  157",",,W",,,,,,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00024132","2018-07-08","45.788","-111.1608","1349.3","BOZEMAN GALLATIN FIELD AIRPORT, MT US","    0",",,W,2400","    0",",,H","    0",",,H","  283",",,W","  100",",,W","   21",",,W",,,,,,,,,"  170",",,W","  180",",,W","   63",",,W","   76",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00024132","2018-07-09","45.788","-111.1608","1349.3","BOZEMAN GALLATIN FIELD AIRPORT, MT US","    8",",,W,2400","    0",",,H","    0",",,H","  322",",,W","  117",",,W","   25",",,W",,,,,,,,,"  240",",,W","  270",",,W","  148",",,W","  215",",,W",,,,,,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00024132","2018-07-10","45.788","-111.1608","1349.3","BOZEMAN GALLATIN FIELD AIRPORT, MT US","    0","T,,W,2400","    0",",,H","    0",",,H","  356",",,W","  139",",,W","   32",",,W",,,,,,,,,"  240",",,W","  360",",,W","  107",",,W","  134",",,W",,,,,,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00024132","2018-07-11","45.788","-111.1608","1349.3","BOZEMAN GALLATIN FIELD AIRPORT, MT US","    0",",,W,2400","    0",",,H","    0",",,H","  278",",,W","   89",",,W","   19",",,W",,,,,,,,,"  290",",,W","  300",",,W","   54",",,W","   67",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00024132","2018-07-12","45.788","-111.1608","1349.3","BOZEMAN GALLATIN FIELD AIRPORT, MT US","    0",",,W,2400","    0",",,H","    0",",,H","  294",",,W","  122",",,W","   19",",,W",,,,,,,,,"  330",",,W","  320",",,W","   54",",,W","   58",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00024132","2018-07-13","45.788","-111.1608","1349.3","BOZEMAN GALLATIN FIELD AIRPORT, MT US","    0",",,W,2400","    0",",,H","    0",",,H","  333",",,W","  106",",,W","   19",",,W",,,,,,,,,"  140",",,W","  130",",,W","   58",",,W","   63",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00024132","2018-07-14","45.788","-111.1608","1349.3","BOZEMAN GALLATIN FIELD AIRPORT, MT US","    0",",,W,2400","    0",",,H","    0",",,H","  328",",,W","  128",",,W","   25",",,W",,,,,,,,,"  290",",,W","  290",",,W","   76",",,W","   89",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00024132","2018-07-15","45.788","-111.1608","1349.3","BOZEMAN GALLATIN FIELD AIRPORT, MT US","    0",",,W,2400","    0",",,H","    0",",,H","  300",",,W","  111",",,W","   16",",,W",,,,,,,,,"  180",",,W","  180",",,W","   54",",,W","   63",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00024132","2018-07-16","45.788","-111.1608","1349.3","BOZEMAN GALLATIN FIELD AIRPORT, MT US","    0",",,W,2400","    0",",,H","    0",",,H","  300",",,W","  122",",,W","   16",",,W",,,,,,,,,"  240",",,W","  240",",,W","   72",",,W","  103",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00024132","2018-07-17","45.788","-111.1608","1349.3","BOZEMAN GALLATIN FIELD AIRPORT, MT US","    0",",,W,2400","    0",",,H","    0",",,H","  278",",,W","  117",",,W","   25",",,W",,,,,,,,,"  300",",,W","  310",",,W","   81",",,W","  103",",,W",,,,,,,,,,,,,,,,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,
