"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MDSF","MDSF_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT11","WT11_ATTRIBUTES"
"USC00423254","2018-07-05","38.5777","-110.7077","1521.0","GOBLIN VALLEY STATE PARK, UT US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  361",",,7","  200",",,7",,,,,,,"  250",",,7,0800",,,,,,,,,,,,
"USC00423254","2018-07-06","38.5777","-110.7077","1521.0","GOBLIN VALLEY STATE PARK, UT US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  372",",,7","  222",",,7",,,,,,,"  256",",,7,0800",,,,,,,,,,,,
"USC00423254","2018-07-07","38.5777","-110.7077","1521.0","GOBLIN VALLEY STATE PARK, UT US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  367",",,7","  211",",,7",,,,,,,"  272",",,7,0800",,,,,,,,,,,,
"USC00423254","2018-07-08","38.5777","-110.7077","1521.0","GOBLIN VALLEY STATE PARK, UT US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  372",",,7","  206",",,7",,,,,,,"  272",",,7,0800",,,,,,,,,,,,
"USC00423254","2018-07-09","38.5777","-110.7077","1521.0","GOBLIN VALLEY STATE PARK, UT US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  378",",,7","  206",",,7",,,,,,,"  217",",,7,0800",,,,,,,,,,,,
"USC00423254","2018-07-10","38.5777","-110.7077","1521.0","GOBLIN VALLEY STATE PARK, UT US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  378",",,7","  211",",,7",,,,,,,"  278",",,7,0800",,,,,,,,,,,,
"USC00423254","2018-07-11","38.5777","-110.7077","1521.0","GOBLIN VALLEY STATE PARK, UT US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  367",",,7","  200",",,7",,,,,,,"  233",",,7,0800",,,,,,,,,,,,
"USC00423254","2018-07-12","38.5777","-110.7077","1521.0","GOBLIN VALLEY STATE PARK, UT US","   38",",,7,0800","    0",",,7,0800","    0",",,7,0800","  367",",,7","  200",",,7",,,,,,,"  222",",,7,0800",,,,,,,,,,,,
"USC00423254","2018-07-13","38.5777","-110.7077","1521.0","GOBLIN VALLEY STATE PARK, UT US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  367",",,7","  167",",,7",,,,,,,"  239",",,7,0800",,,,,,,,,,,,
"USC00423254","2018-07-14","38.5777","-110.7077","1521.0","GOBLIN VALLEY STATE PARK, UT US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  361",",,7","  211",",,7",,,,,,,"  256",",,7,0800",,,,,,,,,,,,
"USC00423254","2018-07-15","38.5777","-110.7077","1521.0","GOBLIN VALLEY STATE PARK, UT US",,,"    0",",,7,0800","    0",",,7,0800",,,,,,,,,,,,,,,,,,,,,,,,
"USC00423254","2018-07-16","38.5777","-110.7077","1521.0","GOBLIN VALLEY STATE PARK, UT US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  361",",,7","  189",",,7",,,,,,,"  239",",,7,0800",,,,,,,,,,,,
"USC00423254","2018-07-17","38.5777","-110.7077","1521.0","GOBLIN VALLEY STATE PARK, UT US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  361",",,7","  217",",,7",,,,,,,"  233",",,7,0800",,,,,,,,,,,,
"USC00423254","2018-07-18","38.5777","-110.7077","1521.0","GOBLIN VALLEY STATE PARK, UT US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  356",",,7","  194",",,7",,,,,,,"  267",",,7,0800",,,,,,,,,,,,
"USC00423254","2018-07-19","38.5777","-110.7077","1521.0","GOBLIN VALLEY STATE PARK, UT US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  383",",,7","  183",",,7",,,,,,,"  250",",,7,0800",,,,,,,,,,,,
"USC00423254","2018-07-20","38.5777","-110.7077","1521.0","GOBLIN VALLEY STATE PARK, UT US",,,"    0",",,7,0800","    0",",,7,0800",,,,,,,,,,,,,,,,,,,,,,,,
