"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"NOE00104443","2018-04-01","68.1503","14.6506","11.0","SKROVA FYR, NO",,,"   32",",,E","  -10",",,E"
"NOE00104443","2018-04-02","68.1503","14.6506","11.0","SKROVA FYR, NO",,,"   36",",,E","  -30",",,E"
"NOE00104443","2018-04-03","68.1503","14.6506","11.0","SKROVA FYR, NO",,,"   26",",,E","  -20",",,E"
"NOE00104443","2018-04-04","68.1503","14.6506","11.0","SKROVA FYR, NO",,,"   16",",,E","  -19",",,E"
"NOE00104443","2018-04-05","68.1503","14.6506","11.0","SKROVA FYR, NO",,,"   41",",,E","  -18",",,E"
"NOE00104443","2018-04-06","68.1503","14.6506","11.0","SKROVA FYR, NO",,,"   36",",,E","  -12",",,E"
"NOE00104443","2018-04-07","68.1503","14.6506","11.0","SKROVA FYR, NO",,,"   38",",,E","    3",",,E"
"NOE00104443","2018-04-08","68.1503","14.6506","11.0","SKROVA FYR, NO",,,"   32",",,E","  -19",",,E"
"NOE00104443","2018-04-09","68.1503","14.6506","11.0","SKROVA FYR, NO",,,"   56",",,E","  -19",",,E"
"NOE00104443","2018-04-10","68.1503","14.6506","11.0","SKROVA FYR, NO",,,"   81",",,E","    1",",,E"
"NOE00104443","2018-04-11","68.1503","14.6506","11.0","SKROVA FYR, NO",,,"   51",",,E","    7",",,E"
"NOE00104443","2018-04-12","68.1503","14.6506","11.0","SKROVA FYR, NO",,,"   79",",,E","    8",",,E"
"NOE00104443","2018-04-13","68.1503","14.6506","11.0","SKROVA FYR, NO",,,"  102",",,E","   33",",,E"
"NOE00104443","2018-04-14","68.1503","14.6506","11.0","SKROVA FYR, NO",,,"   75",",,E","   25",",,E"
"NOE00104443","2018-04-15","68.1503","14.6506","11.0","SKROVA FYR, NO",,,"  110",",,E","   30",",,E"
"NOE00104443","2018-04-16","68.1503","14.6506","11.0","SKROVA FYR, NO",,,"   93",",,E","   23",",,E"
"NOE00104443","2018-04-17","68.1503","14.6506","11.0","SKROVA FYR, NO",,,"   84",",,E","   31",",,E"
"NOE00104443","2018-04-18","68.1503","14.6506","11.0","SKROVA FYR, NO",,,"   83",",,E","   -1",",,E"
"NOE00104443","2018-04-19","68.1503","14.6506","11.0","SKROVA FYR, NO","    0",",,E","   67",",,E","   29",",,E"
"NOE00104443","2018-04-20","68.1503","14.6506","11.0","SKROVA FYR, NO","    0",",,E","   61",",,E","   42",",,E"
"NOE00104443","2018-04-21","68.1503","14.6506","11.0","SKROVA FYR, NO","    0",",,E","   84",",,E","   44",",,E"
"NOE00104443","2018-04-22","68.1503","14.6506","11.0","SKROVA FYR, NO","    0",",,E","   68",",,E","   40",",,E"
"NOE00104443","2018-04-23","68.1503","14.6506","11.0","SKROVA FYR, NO","    0",",,E","  114",",,E","   39",",,E"
"NOE00104443","2018-04-24","68.1503","14.6506","11.0","SKROVA FYR, NO","    0",",,E","   67",",,E","   42",",,E"
"NOE00104443","2018-04-25","68.1503","14.6506","11.0","SKROVA FYR, NO","    0",",,E","   74",",,E","   36",",,E"
"NOE00104443","2018-04-26","68.1503","14.6506","11.0","SKROVA FYR, NO","    0",",,E","   69",",,E","   39",",,E"
"NOE00104443","2018-04-27","68.1503","14.6506","11.0","SKROVA FYR, NO","    0",",,E","   59",",,E","   23",",,E"
"NOE00104443","2018-04-28","68.1503","14.6506","11.0","SKROVA FYR, NO","    0",",,E","   52",",,E","   27",",,E"
"NOE00104443","2018-04-29","68.1503","14.6506","11.0","SKROVA FYR, NO","    0",",,E","   57",",,E","   24",",,E"
"NOE00104443","2018-04-30","68.1503","14.6506","11.0","SKROVA FYR, NO","    0",",,E","   61",",,E","   14",",,E"
"NOE00104443","2018-05-01","68.1503","14.6506","11.0","SKROVA FYR, NO","    0",",,E","   85",",,E","   24",",,E"
"NOE00104443","2018-05-02","68.1503","14.6506","11.0","SKROVA FYR, NO","    0",",,E","  116",",,E","   55",",,E"
"NOE00104443","2018-05-03","68.1503","14.6506","11.0","SKROVA FYR, NO","    0",",,E","  112",",,E","   54",",,E"
"NOE00104443","2018-05-04","68.1503","14.6506","11.0","SKROVA FYR, NO","    0",",,E","  105",",,E","   54",",,E"
