"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00055519","2019-06-01","39.08907","-108.11827","2356.1","MESA 5 SSE, CO US","    0",",,7,0600","    0",",,7,0600","    0",",,7,0600","  211",",,7","   78",",,7"
"USC00055519","2019-06-02","39.08907","-108.11827","2356.1","MESA 5 SSE, CO US","    0",",,7,0600","    0",",,7,0600","    0",",,7,0600","  244",",,7","  100",",,7"
"USC00055519","2019-06-03","39.08907","-108.11827","2356.1","MESA 5 SSE, CO US","    3",",,7,0600","    0",",,7,0600","    0",",,7,0600","  228",",,7","   67",",,7"
"USC00055519","2019-06-04","39.08907","-108.11827","2356.1","MESA 5 SSE, CO US","    0","T,,7,0600","    0",",,7,0600","    0",",,7,0600","  233",",,7","   78",",,7"
"USC00055519","2019-06-05","39.08907","-108.11827","2356.1","MESA 5 SSE, CO US","    0","T,,7,0600","    0",",,7,0600","    0",",,7,0600","  244",",,7","   83",",,7"
"USC00055519","2019-06-06","39.08907","-108.11827","2356.1","MESA 5 SSE, CO US","    0",",,7,0600","    0",",,7,0600","    0",",,7,0600","  233",",,7","   94",",,7"
"USC00055519","2019-06-07","39.08907","-108.11827","2356.1","MESA 5 SSE, CO US","    0",",,7,0600","    0",",,7,0600","    0",",,7,0600","  256",",,7","  122",",,7"
"USC00055519","2019-06-08","39.08907","-108.11827","2356.1","MESA 5 SSE, CO US","    0",",,7,0600","    0",",,7,0600","    0",",,7,0600","  244",",,7","  111",",,7"
"USC00055519","2019-06-09","39.08907","-108.11827","2356.1","MESA 5 SSE, CO US","    0",",,7,0600","    0",",,7,0600","    0",",,7,0600","  228",",,7","  -17",",,7"
"USC00055519","2019-06-10","39.08907","-108.11827","2356.1","MESA 5 SSE, CO US","    0",",,7,0600","    0",",,7,0600","    0",",,7,0600","  172",",,7","   50",",,7"
"USC00055519","2019-06-11","39.08907","-108.11827","2356.1","MESA 5 SSE, CO US","    0",",,7,0600","    0",",,7,0600","    0",",,7,0600","  228",",,7","   67",",,7"
"USC00055519","2019-06-12","39.08907","-108.11827","2356.1","MESA 5 SSE, CO US","    0",",,7,0600","    0",",,7,0600","    0",",,7,0600","  239",",,7","   83",",,7"
