"USC00466442","2018-07-26","40.5261","-80.6275","205.7","NEW CUMBERLAND L D, WV US","    0",",,7,0700","    0",",,7,","    0",",,7,0700","  261",",,7","  183",",,7",,,,,,,"  183",",,7,0700",,,,,,,,,,,,,,,,,,,,,,
"USC00466442","2018-07-27","40.5261","-80.6275","205.7","NEW CUMBERLAND L D, WV US","   58",",,7,0700","    0",",,7,","    0",",,7,0700","  294",",,7","  183",",,7",,,,,,,"  194",",,7,0700",,,,,,,,,,,,,,,,,,,,,,
"USC00466442","2018-07-28","40.5261","-80.6275","205.7","NEW CUMBERLAND L D, WV US","    0",",,7,0700","    0",",,7,","    0",",,7,0700","  278",",,7","  167",",,7",,,,,,,"  178",",,7,0700",,,,,,,,,,,,,,,,,,,,,,
"USC00466442","2018-07-29","40.5261","-80.6275","205.7","NEW CUMBERLAND L D, WV US","    0",",,7,0700","    0",",,7,","    0",",,7,0700","  256",",,7","  161",",,7",,,,,,,"  167",",,7,0700",,,,,,,,,,,,,,,,,,,,,,
"USC00466442","2018-07-30","40.5261","-80.6275","205.7","NEW CUMBERLAND L D, WV US","    0",",,7,0700","    0",",,7,","    0",",,7,0700","  261",",,7","  167",",,7",,,,,,,"  194",",,7,0700",,,,,,,,,,,,,,,,,,,,,,
"USC00466442","2018-07-31","40.5261","-80.6275","205.7","NEW CUMBERLAND L D, WV US","    0",",,7,0700","    0",",,7,","    0",",,7,0700","  250",",,7","  194",",,7",,,,,,,"  194",",,7,0700",,,,,,,,,,,,,,,,,,,,,,
"USC00466442","2018-08-01","40.5261","-80.6275","205.7","NEW CUMBERLAND L D, WV US","  104",",,7,0700","    0",",,7,","    0",",,7,0700","  250",",,7","  194",",,7",,,,,,,"  206",",,7,0700",,,,,,,,,,,,,,,,,,,,,,
"USC00466442","2018-08-02","40.5261","-80.6275","205.7","NEW CUMBERLAND L D, WV US","   10",",,7,0700","    0",",,7,","    0",",,7,0700","  244",",,7","  200",",,7",,,,,,,"  200",",,7,0700",,,,,,,,,,,,,,,,,,,,,,
"USC00466442","2018-08-03","40.5261","-80.6275","205.7","NEW CUMBERLAND L D, WV US","    0",",,7,0700","    0",",,7,","    0",",,7,0700","  256",",,7","  200",",,7",,,,,,,"  206",",,7,0700",,,,,,,,,,,,,,,,,,,,,,
"USC00466442","2018-08-04","40.5261","-80.6275","205.7","NEW CUMBERLAND L D, WV US","  175",",,7,0700","    0",",,7,","    0",",,7,0700","  261",",,7","  200",",,7",,,,,,,"  200",",,7,0700",,,,,,,,,,,,,,,,,,,,,,
"USC00466442","2018-08-05","40.5261","-80.6275","205.7","NEW CUMBERLAND L D, WV US","    0",",,7,0700","    0",",,7,","    0",",,7,0700","  311",",,7","  200",",,7",,,,,,,"  200",",,7,0700",,,,,,,,,,,,,,,,,,,,,,
"USC00466442","2018-08-06","40.5261","-80.6275","205.7","NEW CUMBERLAND L D, WV US","    0",",,7,0700","    0",",,7,","    0",",,7,0700","  300",",,7","  200",",,7",,,,,,,"  206",",,7,0700","    1",",,7",,,,,,,,,,,,,,,,,,,,
"USC00466442","2018-08-07","40.5261","-80.6275","205.7","NEW CUMBERLAND L D, WV US","    0",",,7,0700","    0",",,7,","    0",",,7,0700","  322",",,7","  206",",,7",,,,,,,"  217",",,7,0700",,,,,,,,,,,,,,,,,,,,,,
"USC00466442","2018-08-08","40.5261","-80.6275","205.7","NEW CUMBERLAND L D, WV US","    0",",,7,0700","    0",",,7,","    0",",,7,0700","  300",",,7","  217",",,7",,,,,,,"  217",",,7,0700",,,,,,,,,,,,,,,,,,,,,,
"USC00466442","2018-08-09","40.5261","-80.6275","205.7","NEW CUMBERLAND L D, WV US","   38",",,7,0700","    0",",,7,","    0",",,7,0700","  261",",,7","  189",",,7",,,,,,,"  206",",,7,0700",,,,,,,,,,,,,,,,,,,,,,
"USC00466442","2018-08-10","40.5261","-80.6275","205.7","NEW CUMBERLAND L D, WV US","    0",",,7,0700","    0",",,7,","    0",",,7,0700","  283",",,7","  194",",,7",,,,,,,"  200",",,7,0700",,,,,,,,,,,,,,,,,,,,,,
"USC00466442","2018-08-11","40.5261","-80.6275","205.7","NEW CUMBERLAND L D, WV US","  333",",,7,0700","    0",",,7,","    0",",,7,0700","  272",",,7","  194",",,7",,,,,,,"  206",",,7,0700",,,,,,,,,,,,,,,,,,,,,,
"USC00466442","2018-08-12","40.5261","-80.6275","205.7","NEW CUMBERLAND L D, WV US","    0",",,7,0700","    0",",,7,","    0",",,7,0700","  272",",,7","  161",",,7",,,,,,,"  161",",,7,0700",,,,,,,,,,,,,,,,,,,,,,
"USC00466442","2018-08-13","40.5261","-80.6275","205.7","NEW CUMBERLAND L D, WV US","    0",",,7,0700","    0",",,7,","    0",",,7,0700","  283",",,7","  161",",,7",,,,,,,"  178",",,7,0700",,,,,,,,,,,,,,,,,,,,,,
"USC00466442","2018-08-14","40.5261","-80.6275","205.7","NEW CUMBERLAND L D, WV US","  241",",,7,0700","    0",",,7,","    0",",,7,0700","  272",",,7","  178",",,7",,,,,,,"  178",",,7,0700",,,,,,,,,,,,,,,,,,,,,,
"USC00466442","2018-08-15","40.5261","-80.6275","205.7","NEW CUMBERLAND L D, WV US","    3",",,7,0700","    0",",,7,","    0",",,7,0700","  272",",,7","  178",",,7",,,,,,,"  189",",,7,0700",,,,,,,,,,,,,,,,,,,,,,
"USC00466442","2018-08-16","40.5261","-80.6275","205.7","NEW CUMBERLAND L D, WV US","    0",",,7,0700","    0",",,7,","    0",",,7,0700","  294",",,7","  189",",,7",,,,,,,"  217",",,7,0700",,,,,,,,,,,,,,,,,,,,,,
"USC00466442","2018-08-17","40.5261","-80.6275","205.7","NEW CUMBERLAND L D, WV US","   71",",,7,0700","    0",",,7,","    0",",,7,0700","  261",",,7","  211",",,7",,,,,,,"  217",",,7,0700",,,,,,,,,,,,,,,,,,,,,,
"USC00466442","2018-08-18","40.5261","-80.6275","205.7","NEW CUMBERLAND L D, WV US","  109",",,7,0700","    0",",,7,","    0",",,7,0700","  244",",,7","  211",",,7",,,,,,,"  211",",,7,0700",,,,,,,,,,,,,,,,,,,,,,
"USC00466442","2018-08-19","40.5261","-80.6275","205.7","NEW CUMBERLAND L D, WV US","    0",",,7,0700","    0",",,7,","    0",",,7,0700","  283",",,7","  172",",,7",,,,,,,"  172",",,7,0700",,,,,,,,,,,,,,,,,,,,,,
"USC00466442","2018-08-20","40.5261","-80.6275","205.7","NEW CUMBERLAND L D, WV US","    0",",,7,0700","    0",",,7,","    0",",,7,0700","  256",",,7","  172",",,7",,,,,,,"  172",",,7,0700",,,,,,,,,,,,,,,,,,,,,,
"USC00466442","2018-08-21","40.5261","-80.6275","205.7","NEW CUMBERLAND L D, WV US","   79",",,7,0700","    0",",,7,","    0",",,7,0700","  278",",,7","  172",",,7",,,,,,,"  211",",,7,0700",,,,,,,,,,,,,,,,,,,,,,
"USC00466442","2018-08-22","40.5261","-80.6275","205.7","NEW CUMBERLAND L D, WV US","  178",",,7,0700","    0",",,7,","    0",",,7,0700","  272",",,7","  189",",,7",,,,,,,"  189",",,7,0700",,,,,,,,,,,,,,,,,,,,,,
"USC00466442","2018-08-23","40.5261","-80.6275","205.7","NEW CUMBERLAND L D, WV US","    0",",,7,0700","    0",",,7,","    0",",,7,0700","  228",",,7","  128",",,7",,,,,,,"  128",",,7,0700","    1",",,7",,,,,,,,,,,,,,,,,,,,
"USC00466442","2018-08-24","40.5261","-80.6275","205.7","NEW CUMBERLAND L D, WV US","    0",",,7,0700","    0",",,7,","    0",",,7,0700","  256",",,7","  128",",,7",,,,,,,"  144",",,7,0700","    1",",,7",,,,,,,,,,,,,,,,,,,,
"USC00466442","2018-08-25","40.5261","-80.6275","205.7","NEW CUMBERLAND L D, WV US","    0",",,7,0700","    0",",,7,","    0",",,7,0700","  256",",,7","  139",",,7",,,,,,,"  178",",,7,0700",,,,,,,,,,,,,,,,,,,,,,
"USC00466442","2018-08-26","40.5261","-80.6275","205.7","NEW CUMBERLAND L D, WV US","    0",",,7,0700","    0",",,7,","    0",",,7,0700","  244",",,7","  178",",,7",,,,,,,"  222",",,7,0700",,,,,,,,,,,,,,,,,,,,,,
"USC00466442","2018-08-27","40.5261","-80.6275","205.7","NEW CUMBERLAND L D, WV US","    0",",,7,0700","    0",",,7,","    0",",,7,0700","  278",",,7","  178",",,7",,,,,,,"  211",",,7,0700",,,,,,,,,,,,,,,,,,,,,,
"USC00466442","2018-08-28","40.5261","-80.6275","205.7","NEW CUMBERLAND L D, WV US","    0",",,7,0700","    0",",,7,","    0",",,7,0700","  311",",,7","  211",",,7",,,,,,,"  228",",,7,0700",,,,,,,,,,,,,,,,,,,,,,
"USC00466442","2018-08-29","40.5261","-80.6275","205.7","NEW CUMBERLAND L D, WV US","    0",",,7,0700","    0",",,7,","    0",",,7,0700","  317",",,7","  222",",,7",,,,,,,"  222",",,7,0700",,,,,,,,,,,,,,,,,,,,,,
"USC00466442","2018-08-30","40.5261","-80.6275","205.7","NEW CUMBERLAND L D, WV US","  236",",,7,0700","    0",",,7,","    0",",,7,0700","  311",",,7","  211",",,7",,,,,,,"  211",",,7,0700",,,,,,,,,,,,,,,,,,,,,,
"USC00466442","2018-08-31","40.5261","-80.6275","205.7","NEW CUMBERLAND L D, WV US","    0",",,7,0700","    0",",,7,","    0",",,7,0700","  267",",,7","  183",",,7",,,,,,,"  183",",,7,0700",,,,,,,,,,,,,,,,,,,,,,
"USC00466442","2018-09-01","40.5261","-80.6275","205.7","NEW CUMBERLAND L D, WV US","    0",",,7,0700","    0",",,7,","    0",",,7,0700","  294",",,7","  183",",,7",,,,,,,"  194",",,7,0700",,,,,,,,,,,,,,,,,,,,,,
"USC00466442","2018-09-02","40.5261","-80.6275","205.7","NEW CUMBERLAND L D, WV US","    0",",,7,0700","    0",",,7,","    0",",,7,0700","  283",",,7","  194",",,7",,,,,,,"  206",",,7,0700",,,,,,,,,,,,,,,,,,,,,,
