"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MDSF","MDSF_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES"
"USC00450844","2018-06-12","48.9946","-117.3544","559.9","BOUNDARY DAM, WA US","   13",",,7,0700",,,,,"  178",",,7","   33",",,7",,,,,,,"   56",",,7,0700",,,,,,,,
"USC00450844","2018-06-13","48.9946","-117.3544","559.9","BOUNDARY DAM, WA US","    0",",,7,0700",,,,,"  200",",,7","   56",",,7",,,,,,,"  117",",,7,0700",,,,,,,,
"USC00450844","2018-06-14","48.9946","-117.3544","559.9","BOUNDARY DAM, WA US","    0",",,7,0700",,,,,"  206",",,7","   72",",,7",,,,,,,"   72",",,7,0700",,,,,,,,
"USC00450844","2018-06-15","48.9946","-117.3544","559.9","BOUNDARY DAM, WA US","    3",",,7,0700","    0",",,7,0700","    0",",,7,0700","  206",",,7","   61",",,7",,,,,,,"   89",",,7,0700",,,,,,,,
"USC00450844","2018-06-16","48.9946","-117.3544","559.9","BOUNDARY DAM, WA US","    8",",,7,0700","    0",",,7,0700","    0",",,7,0700","  233",",,7","   72",",,7",,,,,,,"   94",",,7,0700",,,,,,,,
"USC00450844","2018-06-17","48.9946","-117.3544","559.9","BOUNDARY DAM, WA US","    0",",,7,0700","    0",",,7,0700","    0",",,7,0700","  256",",,7","   72",",,7",,,,,,,"  117",",,7,0700",,,,,,,,
"USC00450844","2018-06-18","48.9946","-117.3544","559.9","BOUNDARY DAM, WA US","    0",",,7,0700",,,,,"  283",",,7","   83",",,7",,,,,,,"  122",",,7,0700",,,,,,,,
"USC00450844","2018-06-19","48.9946","-117.3544","559.9","BOUNDARY DAM, WA US","    0",",,7,0700","    0",",,7,0700","    0",",,7,0700","  272",",,7","  117",",,7",,,,,,,"  133",",,7,0700",,,,,,,,
"USC00450844","2018-06-20","48.9946","-117.3544","559.9","BOUNDARY DAM, WA US","    0",",,7,0700","    0",",,7,0700","    0",",,7,0700","  283",",,7","  117",",,7",,,,,,,"  144",",,7,0700",,,,,,,,
"USC00450844","2018-06-21","48.9946","-117.3544","559.9","BOUNDARY DAM, WA US","    0",",,7,0700",,,,,"  272",",,7","  128",",,7",,,,,,,"  133",",,7,0700",,,,,,,,
"USC00450844","2018-06-22","48.9946","-117.3544","559.9","BOUNDARY DAM, WA US","    3",",,7,0700",,,,,"  267",",,7","  128",",,7",,,,,,,"  139",",,7,0700",,,,,,,,
"USC00450844","2018-06-23","48.9946","-117.3544","559.9","BOUNDARY DAM, WA US","  292",",,7,0700",,,,,"  233",",,7","   89",",,7",,,,,,,"  117",",,7,0700",,,,,,,,
"USC00450844","2018-06-24","48.9946","-117.3544","559.9","BOUNDARY DAM, WA US","    0",",,7,0700",,,,,"  194",",,7","  117",",,7",,,,,,,"  122",",,7,0700",,,,,,,,
"USC00450844","2018-06-25","48.9946","-117.3544","559.9","BOUNDARY DAM, WA US","   41",",,7,0700",,,,,"  239",",,7","   89",",,7",,,,,,,"  111",",,7,0700",,,,,,,,
"USC00450844","2018-06-26","48.9946","-117.3544","559.9","BOUNDARY DAM, WA US","    0",",,7,0700",,,,,"  233",",,7","   72",",,7",,,,,,,"   94",",,7,0700",,,,,,,,
