"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"CA00250M001","2018-05-20","76.2333","-119.35","2.0","MOULD BAY CS, NT CA","    0",",,C",,,,,"  -70",",,C"," -117",",,C","  -94",",,C","   35",",,C","  410",",,C"
"CA00250M001","2018-05-21","76.2333","-119.35","2.0","MOULD BAY CS, NT CA","    0",",,C",,,,,"  -79",",,C"," -145",",,C"," -112",",,C","    0",",,C","    0",",,C"
"CA00250M001","2018-05-22","76.2333","-119.35","2.0","MOULD BAY CS, NT CA","    0",",,C",,,,,"  -20",",,C"," -150",",,C","  -85",",,C",,,,
"CA00250M001","2018-05-23","76.2333","-119.35","2.0","MOULD BAY CS, NT CA","    0",",,C",,,,,"   -7",",,C"," -151",",,C","  -79",",,C","    0",",,C","    0",",,C"
"CA00250M001","2018-05-24","76.2333","-119.35","2.0","MOULD BAY CS, NT CA","    0",",,C",,,,,"  -53",",,C"," -126",",,C","  -90",",,C","    0",",,C","    0",",,C"
"CA00250M001","2018-05-25","76.2333","-119.35","2.0","MOULD BAY CS, NT CA","    0",",,C",,,,,"  -25",",,C","  -81",",,C","  -53",",,C","    0",",,C","    0",",,C"
"CA00250M001","2018-05-26","76.2333","-119.35","2.0","MOULD BAY CS, NT CA","    0",",,C",,,,,"  -29",",,C","  -76",",,C","  -53",",,C","   27",",,C","  350",",,C"
"CA00250M001","2018-05-27","76.2333","-119.35","2.0","MOULD BAY CS, NT CA","    0",",,C",,,,,"  -16",",,C","  -58",",,C","  -37",",,C","   28",",,C","  430",",,C"
"CA00250M001","2018-05-28","76.2333","-119.35","2.0","MOULD BAY CS, NT CA","    0",",,C",,,,,"  -12",",,C","  -60",",,C","  -36",",,C","   36",",,C","  460",",,C"
"CA00250M001","2018-05-29","76.2333","-119.35","2.0","MOULD BAY CS, NT CA","    2",",,C",,,,,"  -49",",,C","  -92",",,C","  -71",",,C","    4",",,C","  390",",,C"
"CA00250M001","2018-05-30","76.2333","-119.35","2.0","MOULD BAY CS, NT CA","    0",",,C",,,,,"  -55",",,C"," -138",",,C","  -97",",,C","    0",",,C","    0",",,C"
"CA00250M001","2018-05-31","76.2333","-119.35","2.0","MOULD BAY CS, NT CA","    0",",,C",,,,,"  -33",",,C","  -82",",,C","  -58",",,C","    0",",,C","    0",",,C"
"CA00250M001","2018-06-01","76.2333","-119.35","2.0","MOULD BAY CS, NT CA","    0",",,C",,,,,"  -40",",,C","  -73",",,C","  -57",",,C","    0",",,C","    0",",,C"
