"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAEV","DAEV_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","DASF","DASF_ATTRIBUTES","DAWM","DAWM_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","MDEV","MDEV_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MDSF","MDSF_ATTRIBUTES","MDWM","MDWM_ATTRIBUTES","MNPN","MNPN_ATTRIBUTES","MXPN","MXPN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES","WT11","WT11_ATTRIBUTES"
"USC00294366","2018-07-06","35.3886","-106.5438","1642.3","JEMEZ DAM, NM US","  272",",,7,1600","    0",",,7","    0",",,7","  344",",,7","  172",",,7",,,,,,,,,"  112",",,7,1600",,,,,,,,,,,,,"  200",",,7,1600",,,,
"USC00294366","2018-07-07","35.3886","-106.5438","1642.3","JEMEZ DAM, NM US","    0",",,7,1600","    0",",,7","    0",",,7","  317",",,7","  194",",,7",,,,,,,,,"  112",",,7,1600",,,,,,,,,,,,,"  200",",,7,1600",,,,
"USC00294366","2018-07-08","35.3886","-106.5438","1642.3","JEMEZ DAM, NM US","    0",",,7,1600","    0",",,7","    0",",,7","  333",",,7","  183",",,7",,,,,,,,,"  112",",,7,1600",,,,,,,,,,,,,"  189",",,7,1600",,,,
"USC00294366","2018-07-09","35.3886","-106.5438","1642.3","JEMEZ DAM, NM US","    0",",,7,1600","    0",",,7","    0",",,7","  328",",,7","  172",",,7",,,,,,,,,"  112",",,7,1600",,,,,,,,,,,,,"  183",",,7,1600",,,,
"USC00294366","2018-07-10","35.3886","-106.5438","1642.3","JEMEZ DAM, NM US","    0",",,7,1600","    0",",,7","    0",",,7","  322",",,7","  183",",,7",,,,,,,,,"  112",",,7,1600",,,,,,,,,,,,,"  189",",,7,1600",,,,
"USC00294366","2018-07-11","35.3886","-106.5438","1642.3","JEMEZ DAM, NM US","    0",",,7,1600","    0",",,7","    0",",,7","  328",",,7","  189",",,7",,,,,,,,,"  112",",,7,1600",,,,,,,,,,,,,"  200",",,7,1600",,,,
"USC00294366","2018-07-12","35.3886","-106.5438","1642.3","JEMEZ DAM, NM US","   20",",,7,1600","    0",",,7","    0",",,7","  333",",,7","  167",",,7",,,,,,,,,"  112",",,7,1600",,,,,,,,,,,,,"  172",",,7,1600",,,,
"USC00294366","2018-07-13","35.3886","-106.5438","1642.3","JEMEZ DAM, NM US","    8",",,7,1600","    0",",,7","    0",",,7","  300",",,7","  167",",,7",,,,,,,,,"  112",",,7,1600",,,,,,,,,,,,,"  172",",,7,1600",,,,
"USC00294366","2018-07-14","35.3886","-106.5438","1642.3","JEMEZ DAM, NM US","    3",",,7,1600","    0",",,7","    0",",,7","  322",",,7","  172",",,7",,,,,,,,,"  112",",,7,1600",,,,,,,,,,,,,"  189",",,7,1600",,,,
"USC00294366","2018-07-15","35.3886","-106.5438","1642.3","JEMEZ DAM, NM US","   30",",,7,1600","    0",",,7","    0",",,7","  333",",,7","  178",",,7",,,,,,,,,"  112",",,7,1600",,,,,,,,,,,,,"  178",",,7,1600",,,,
"USC00294366","2018-07-16","35.3886","-106.5438","1642.3","JEMEZ DAM, NM US","    0",",,7,1600","    0",",,7","    0",",,7","  344",",,7","  178",",,7",,,,,,,,,"  112",",,7,1600",,,,,,,,,,,,,"  200",",,7,1600",,,,
"USC00294366","2018-07-17","35.3886","-106.5438","1642.3","JEMEZ DAM, NM US","   23",",,7,1600","    0",",,7","    0",",,7","  322",",,7","  189",",,7",,,,,,,,,"  112",",,7,1600",,,,,,,,,,,,,"  189",",,7,1600",,,,
"USC00294366","2018-07-18","35.3886","-106.5438","1642.3","JEMEZ DAM, NM US","    0",",,7,1600","    0",",,7","    0",",,7","  333",",,7","  183",",,7",,,,,,,,,"  112",",,7,1600",,,,,,,,,,,,,"  194",",,7,1600",,,,
"USC00294366","2018-07-19","35.3886","-106.5438","1642.3","JEMEZ DAM, NM US","    0",",,7,1600","    0",",,7","    0",",,7","  356",",,7","  189",",,7",,,,,,,,,"  112",",,7,1600",,,,,,,,,,,,,"  228",",,7,1600",,,,
"USC00294366","2018-07-20","35.3886","-106.5438","1642.3","JEMEZ DAM, NM US","    0",",,7,1600","    0",",,7","    0",",,7","  378",",,7","  211",",,7",,,,,,,,,"  112",",,7,1600",,,,,,,,,,,,,"  211",",,7,1600",,,,
"USC00294366","2018-07-21","35.3886","-106.5438","1642.3","JEMEZ DAM, NM US","    0",",,7,1600","    0",",,7","    0",",,7","  378",",,7","  206",",,7",,,,,,,,,"  112",",,7,1600",,,,,,,,,,,,,"  211",",,7,1600",,,,
"USC00294366","2018-07-22","35.3886","-106.5438","1642.3","JEMEZ DAM, NM US","    0",",,7,1600","    0",",,7","    0",",,7","  378",",,7","  200",",,7",,,,,,,,,"  112",",,7,1600",,,,,,,,,,,,,"  206",",,7,1600",,,,
"USC00294366","2018-07-23","35.3886","-106.5438","1642.3","JEMEZ DAM, NM US","    0",",,7,1600","    0",",,7","    0",",,7","  389",",,7","  189",",,7",,,,,,,,,"  112",",,7,1600",,,,,,,,,,,,,"  267",",,7,1600",,,,
"USC00294366","2018-07-24","35.3886","-106.5438","1642.3","JEMEZ DAM, NM US","   74",",,7,1600","    0",",,7","    0",",,7","  378",",,7","  183",",,7",,,,,,,,,"  112",",,7,1600",,,,,,,,,,,,,"  189",",,7,1600",,,,
"USC00294366","2018-07-25","35.3886","-106.5438","1642.3","JEMEZ DAM, NM US","   13",",,7,1600","    0",",,7","    0",",,7","  344",",,7","  189",",,7",,,,,,,,,"  112",",,7,1600",,,,,,,,,,,,,"  189",",,7,1600",,,,
"USC00294366","2018-07-26","35.3886","-106.5438","1642.3","JEMEZ DAM, NM US","    0",",,7,1600","    0",",,7","    0",",,7","  350",",,7","  178",",,7",,,,,,,,,"  112",",,7,1600",,,,,,,,,,,,,"  233",",,7,1600",,,,
"USC00294366","2018-07-27","35.3886","-106.5438","1642.3","JEMEZ DAM, NM US","    3",",,7,1600","    0",",,7","    0",",,7","  333",",,7","  172",",,7",,,,,,,,,"  112",",,7,1600",,,,,,,,,,,,,"  172",",,7,1600",,,,
"USC00294366","2018-07-28","35.3886","-106.5438","1642.3","JEMEZ DAM, NM US","    3",",,7,1600","    0",",,7","    0",",,7","  317",",,7","  150",",,7",,,,,,,,,"  112",",,7,1600",,,,,,,,,,,,,"  161",",,7,1600",,,,
"USC00294366","2018-07-29","35.3886","-106.5438","1642.3","JEMEZ DAM, NM US","    0",",,7,1600","    0",",,7","    0",",,7","  311",",,7","  156",",,7",,,,,,,,,"  112",",,7,1600",,,,,,,,,,,,,"  200",",,7,1600",,,,
"USC00294366","2018-07-30","35.3886","-106.5438","1642.3","JEMEZ DAM, NM US","    0",",,7,1600","    0",",,7","    0",",,7","  356",",,7","  189",",,7",,,,,,,,,"  112",",,7,1600",,,,,,,,,,,,,"  222",",,7,1600",,,,
"USC00294366","2018-07-31","35.3886","-106.5438","1642.3","JEMEZ DAM, NM US","   53",",,7,1600","    0",",,7","    0",",,7","  322",",,7","  194",",,7",,,,,,,,,"  112",",,7,1600",,,,,,,,,,,,,"  194",",,7,1600",,,,
