"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DATN","DATN_ATTRIBUTES","DATX","DATX_ATTRIBUTES","MDTN","MDTN_ATTRIBUTES","MDTX","MDTX_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES"
"ASN00015590","2018-07-06","-23.7951","133.889","546.0","ALICE SPRINGS AIRPORT, AS","    0",",,a","  191",",,a","   81",",,a",,,,,,,,,"  104","H,,S"
"ASN00015590","2018-07-07","-23.7951","133.889","546.0","ALICE SPRINGS AIRPORT, AS","    0",",,a","  174",",,a","    3",",,a",,,,,,,,,"   98","H,,S"
"ASN00015590","2018-07-08","-23.7951","133.889","546.0","ALICE SPRINGS AIRPORT, AS","    0",",,a","  177",",,a","   20",",,a",,,,,,,,,"   91","H,,S"
"ASN00015590","2018-07-09","-23.7951","133.889","546.0","ALICE SPRINGS AIRPORT, AS","    0",",,a","  178",",,a","  -11",",,a",,,,,,,,,"   76","H,,S"
"ASN00015590","2018-07-10","-23.7951","133.889","546.0","ALICE SPRINGS AIRPORT, AS","    0",",,a","  183",",,a","  -20",",,a",,,,,,,,,"   80","H,,S"
"ASN00015590","2018-07-11","-23.7951","133.889","546.0","ALICE SPRINGS AIRPORT, AS","    0",",,a","  183",",,a","  -19",",,a",,,,,,,,,"   77","H,,S"
"ASN00015590","2018-07-12","-23.7951","133.889","546.0","ALICE SPRINGS AIRPORT, AS","    0",",,a","  180",",,a","  -34",",,a",,,,,,,,,"   67","H,,S"
"ASN00015590","2018-07-13","-23.7951","133.889","546.0","ALICE SPRINGS AIRPORT, AS","    0",",,a","  200",",,a","  -38",",,a",,,,,,,,,"   79","H,,S"
"ASN00015590","2018-07-14","-23.7951","133.889","546.0","ALICE SPRINGS AIRPORT, AS","    0",",,a","  210",",,a","  -35",",,a",,,,,,,,,"  103","H,,S"
"ASN00015590","2018-07-15","-23.7951","133.889","546.0","ALICE SPRINGS AIRPORT, AS","    0",",,a","  226",",,a","  -22",",,a",,,,,,,,,"  130","H,,S"
"ASN00015590","2018-07-16","-23.7951","133.889","546.0","ALICE SPRINGS AIRPORT, AS","    0",",,a","  242",",,a","   13",",,a",,,,,,,,,"  132","H,,S"
"ASN00015590","2018-07-17","-23.7951","133.889","546.0","ALICE SPRINGS AIRPORT, AS","    0",",,a","  258",",,a","   17",",,a",,,,,,,,,"  138","H,,S"
"ASN00015590","2018-07-18","-23.7951","133.889","546.0","ALICE SPRINGS AIRPORT, AS","    0",",,a","  262",",,a","   17",",,a",,,,,,,,,"  149","H,,S"
"ASN00015590","2018-07-19","-23.7951","133.889","546.0","ALICE SPRINGS AIRPORT, AS","    0",",,a","  265",",,a","   30",",,a",,,,,,,,,"  163","H,,S"
"ASN00015590","2018-07-20","-23.7951","133.889","546.0","ALICE SPRINGS AIRPORT, AS","    0",",,a","  189",",,a","   47",",,a",,,,,,,,,"   97","H,,S"
"ASN00015590","2018-07-21","-23.7951","133.889","546.0","ALICE SPRINGS AIRPORT, AS","    0",",,a","  255",",,a","   -1",",,a",,,,,,,,,"  153","H,,S"
"ASN00015590","2018-07-22","-23.7951","133.889","546.0","ALICE SPRINGS AIRPORT, AS","    0",",,a","  271",",,a","   57",",,a",,,,,,,,,"  196","H,,S"
"ASN00015590","2018-07-23","-23.7951","133.889","546.0","ALICE SPRINGS AIRPORT, AS","    0",",,a","  291",",,a","  130",",,a",,,,,,,,,"  194","H,,S"
"ASN00015590","2018-07-24","-23.7951","133.889","546.0","ALICE SPRINGS AIRPORT, AS","    0",",,a","  268",",,a","  101",",,a",,,,,,,,,"  172","H,,S"
"ASN00015590","2018-07-25","-23.7951","133.889","546.0","ALICE SPRINGS AIRPORT, AS","    0",",,a","  273",",,a","   81",",,a",,,,,,,,,"  163","H,,S"
"ASN00015590","2018-07-26","-23.7951","133.889","546.0","ALICE SPRINGS AIRPORT, AS","    0",",,a","  304",",,a","   66",",,a",,,,,,,,,"  216","H,,S"
"ASN00015590","2018-07-27","-23.7951","133.889","546.0","ALICE SPRINGS AIRPORT, AS","    0",",,a","  231",",,a","  105",",,a",,,,,,,,,"  141","H,,S"
"ASN00015590","2018-07-28","-23.7951","133.889","546.0","ALICE SPRINGS AIRPORT, AS","    0",",,a","  222",",,a","   51",",,a",,,,,,,,,"  136","H,,S"
"ASN00015590","2018-07-29","-23.7951","133.889","546.0","ALICE SPRINGS AIRPORT, AS","    0",",,a","  212",",,a","   42",",,a",,,,,,,,,"  120","H,,S"
"ASN00015590","2018-07-30","-23.7951","133.889","546.0","ALICE SPRINGS AIRPORT, AS","    0",",,a","  245",",,a","   17",",,a",,,,,,,,,"  148","H,,S"
"ASN00015590","2018-07-31","-23.7951","133.889","546.0","ALICE SPRINGS AIRPORT, AS","    0",",,a","  276",",,a","   41",",,a",,,,,,,,,"  179","H,,S"
"ASN00015590","2018-08-01","-23.7951","133.889","546.0","ALICE SPRINGS AIRPORT, AS","    0",",,a","  274",",,a","   94",",,a",,,,,,,,,"  209","H,,S"
"ASN00015590","2018-08-02","-23.7951","133.889","546.0","ALICE SPRINGS AIRPORT, AS","    0",",,a","  292",",,a","  149",",,a",,,,,,,,,"  183","H,,S"
"ASN00015590","2018-08-03","-23.7951","133.889","546.0","ALICE SPRINGS AIRPORT, AS","    0",",,a","  172",",,a","   57",",,a",,,,,,,,,"   90","H,,S"
"ASN00015590","2018-08-04","-23.7951","133.889","546.0","ALICE SPRINGS AIRPORT, AS","    0",",,a","  252",",,a","    7",",,a",,,,,,,,,"  175","H,,S"
"ASN00015590","2018-08-05","-23.7951","133.889","546.0","ALICE SPRINGS AIRPORT, AS","    0",",,a",,,"   75",",,a",,,,,,,,,"  154","H,,S"
"ASN00015590","2018-08-06","-23.7951","133.889","546.0","ALICE SPRINGS AIRPORT, AS","    0",",,a","  169",",,a","   27",",,a",,,,,,,,,"   88","H,,S"
"ASN00015590","2018-08-07","-23.7951","133.889","546.0","ALICE SPRINGS AIRPORT, AS","    0",",,a","  194",",,a","    5",",,a",,,,,,,,,"   99","H,,S"
"ASN00015590","2018-08-08","-23.7951","133.889","546.0","ALICE SPRINGS AIRPORT, AS","    0",",,a","  220",",,a","   13",",,a",,,,,,,,,"  129","H,,S"
"ASN00015590","2018-08-09","-23.7951","133.889","546.0","ALICE SPRINGS AIRPORT, AS","    0",",,a","  262",",,a","   19",",,a",,,,,,,,,"  184","H,,S"
"ASN00015590","2018-08-10","-23.7951","133.889","546.0","ALICE SPRINGS AIRPORT, AS","    0",",,a","  277",",,a","  101",",,a",,,,,,,,,"  179","H,,S"
"ASN00015590","2018-08-11","-23.7951","133.889","546.0","ALICE SPRINGS AIRPORT, AS","    0",",,a","  164",",,a","   56",",,a",,,,,,,,,"   86","H,,S"
"ASN00015590","2018-08-12","-23.7951","133.889","546.0","ALICE SPRINGS AIRPORT, AS","    0",",,a","  173",",,a","    4",",,a",,,,,,,,,"   91","H,,S"
"ASN00015590","2018-08-13","-23.7951","133.889","546.0","ALICE SPRINGS AIRPORT, AS","    0",",,a","  190",",,a","   -1",",,a",,,,,,,,,"   99","H,,S"
"ASN00015590","2018-08-14","-23.7951","133.889","546.0","ALICE SPRINGS AIRPORT, AS","    0",",,a","  231",",,a","  -12",",,a",,,,,,,,,"  122","H,,S"
"ASN00015590","2018-08-15","-23.7951","133.889","546.0","ALICE SPRINGS AIRPORT, AS","    0",",,a","  273",",,a","   20",",,a",,,,,,,,,"  157","H,,S"
"ASN00015590","2018-08-16","-23.7951","133.889","546.0","ALICE SPRINGS AIRPORT, AS","    0",",,a","  279",",,a","   37",",,a",,,,,,,,,"  160","H,,S"
"ASN00015590","2018-08-17","-23.7951","133.889","546.0","ALICE SPRINGS AIRPORT, AS","    0",",,a","  287",",,a","   36",",,a",,,,,,,,,"  169","H,,S"
"ASN00015590","2018-08-18","-23.7951","133.889","546.0","ALICE SPRINGS AIRPORT, AS","    0",",,a","  252",",,a","   44",",,a",,,,,,,,,"  166","H,,S"
"ASN00015590","2018-08-19","-23.7951","133.889","546.0","ALICE SPRINGS AIRPORT, AS","    0",",,a","  191",",,a","   55",",,a",,,,,,,,,"  100","H,,S"
"ASN00015590","2018-08-20","-23.7951","133.889","546.0","ALICE SPRINGS AIRPORT, AS","    0",",,a","  206",",,a","   -9",",,a",,,,,,,,,"   97","H,,S"
"ASN00015590","2018-08-21","-23.7951","133.889","546.0","ALICE SPRINGS AIRPORT, AS","    0",",,a","  236",",,a","  -18",",,a",,,,,,,,,"  147","H,,S"
"ASN00015590","2018-08-22","-23.7951","133.889","546.0","ALICE SPRINGS AIRPORT, AS","    0",",,a","  275",",,a","   42",",,a",,,,,,,,,"  189","H,,S"
"ASN00015590","2018-08-23","-23.7951","133.889","546.0","ALICE SPRINGS AIRPORT, AS","    0",",,a","  213",",,a","  100",",,a",,,,,,,,,"  129","H,,S"
"ASN00015590","2018-08-24","-23.7951","133.889","546.0","ALICE SPRINGS AIRPORT, AS","    0",",,a","  208",",,a","   43",",,a",,,,,,,,,"  128","H,,S"
"ASN00015590","2018-08-25","-23.7951","133.889","546.0","ALICE SPRINGS AIRPORT, AS","    0",",,a","  209",",,a","   32",",,a",,,,,,,,,"  122","H,,S"
"ASN00015590","2018-08-26","-23.7951","133.889","546.0","ALICE SPRINGS AIRPORT, AS","    0",",,a","  243",",,a","   30",",,a",,,,,,,,,"  142","H,,S"
"ASN00015590","2018-08-27","-23.7951","133.889","546.0","ALICE SPRINGS AIRPORT, AS","    0",",,a","  256",",,a","   32",",,a",,,,,,,,,"  158","H,,S"
"ASN00015590","2018-08-28","-23.7951","133.889","546.0","ALICE SPRINGS AIRPORT, AS","    0",",,a","  285",",,a","   39",",,a",,,,,,,,,"  222","H,,S"
"ASN00015590","2018-08-29","-23.7951","133.889","546.0","ALICE SPRINGS AIRPORT, AS","    0",",,a","  307",",,a","  153",",,a",,,,,,,,,"  253","H,,S"
"ASN00015590","2018-08-30","-23.7951","133.889","546.0","ALICE SPRINGS AIRPORT, AS","    0",",,a","  310",",,a","  207",",,a",,,,,,,,,"  228","H,,S"
