"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","DASF","DASF_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MDSF","MDSF_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT07","WT07_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES","WT11","WT11_ATTRIBUTES","WT14","WT14_ATTRIBUTES","WT16","WT16_ATTRIBUTES","WT18","WT18_ATTRIBUTES"
"USC00291813","2018-04-28","36.4661","-104.9456","1993.4","CIMARRON 4 SW, NM US","    0",",,7,1700","    0",",,7","    0",",,7","  233",",,7","    6",",,7",,,,,,,,,"  211",",,7,1700",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00291813","2018-04-29","36.4661","-104.9456","1993.4","CIMARRON 4 SW, NM US","    0",",,7,1700","    0",",,7","    0",",,7","  250",",,7","   61",",,7",,,,,,,,,"  239",",,7,1700",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00291813","2018-04-30","36.4661","-104.9456","1993.4","CIMARRON 4 SW, NM US","    0",",,7,1700","    0",",,7","    0",",,7","  250",",,7","   39",",,7",,,,,,,,,"  206",",,7,1700",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00291813","2018-05-01","36.4661","-104.9456","1993.4","CIMARRON 4 SW, NM US","    0",",,7,1700",,,,,"  217",",,7","   39",",,7",,,,,,,,,"  211",",,7,1700",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00291813","2018-05-02","36.4661","-104.9456","1993.4","CIMARRON 4 SW, NM US","    0",",,7,1700",,,,,"  217",",,7","   50",",,7",,,,,,,,,"  178",",,7,1700",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00291813","2018-05-03","36.4661","-104.9456","1993.4","CIMARRON 4 SW, NM US","    0",",,7,1700",,,,,"  217",",,7","    6",",,7",,,,,,,,,"  139",",,7,1700",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00291813","2018-05-04","36.4661","-104.9456","1993.4","CIMARRON 4 SW, NM US","    0",",,7,1700",,,,,"  233",",,7","    6",",,7",,,,,,,,,"  228",",,7,1700",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00291813","2018-05-05","36.4661","-104.9456","1993.4","CIMARRON 4 SW, NM US","    0",",,7,1700",,,,,"  244",",,7","   28",",,7",,,,,,,,,"  228",",,7,1700",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00291813","2018-05-06","36.4661","-104.9456","1993.4","CIMARRON 4 SW, NM US","    0",",,7,1700",,,,,"  256",",,7","   56",",,7",,,,,,,,,"  239",",,7,1700",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00291813","2018-05-07","36.4661","-104.9456","1993.4","CIMARRON 4 SW, NM US","    0",",,7,1700",,,,,"  267",",,7","   61",",,7",,,,,,,,,"  250",",,7,1700",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00291813","2018-05-08","36.4661","-104.9456","1993.4","CIMARRON 4 SW, NM US","    0",",,7,1700",,,,,"  278",",,7","  122",",,7",,,,,,,,,"  250",",,7,1700",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00291813","2018-05-09","36.4661","-104.9456","1993.4","CIMARRON 4 SW, NM US","    0",",,7,1700",,,,,"  272",",,7","   78",",,7",,,,,,,,,"  256",",,7,1700",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00291813","2018-05-10","36.4661","-104.9456","1993.4","CIMARRON 4 SW, NM US","    0",",,7,1700",,,,,"  289",",,7","   72",",,7",,,,,,,,,"  283",",,7,1700",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00291813","2018-05-11","36.4661","-104.9456","1993.4","CIMARRON 4 SW, NM US","    0",",,7,1700",,,,,"  289",",,7","   83",",,7",,,,,,,,,"  272",",,7,1700",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00291813","2018-05-12","36.4661","-104.9456","1993.4","CIMARRON 4 SW, NM US","    0",",,7,1700",,,,,"  272",",,7","  117",",,7",,,,,,,,,"  261",",,7,1700",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00291813","2018-05-13","36.4661","-104.9456","1993.4","CIMARRON 4 SW, NM US","    0",",,7,1700",,,,,"  267",",,7","   78",",,7",,,,,,,,,"  261",",,7,1700",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00291813","2018-05-14","36.4661","-104.9456","1993.4","CIMARRON 4 SW, NM US","    0",",,7,1700",,,,,"  261",",,7","   72",",,7",,,,,,,,,"  239",",,7,1700",,,,,,,,,,,,,,,,,,,,,,,,,,
