"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAEV","DAEV_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","DAWM","DAWM_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","MDEV","MDEV_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MDWM","MDWM_ATTRIBUTES","MNPN","MNPN_ATTRIBUTES","MXPN","MXPN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00310375","2018-06-07","35.3872","-76.7763","6.1","AURORA 6 N, NC US","    8",",,7,0800","    0",",,7,0800","    0",",,7,0800","  311",",,7","  200",",,7",,,,,,,"  102",",,7,0800",,,,,,,,,,,"  222",",,7,0800","  145",",,7"
"USC00310375","2018-06-08","35.3872","-76.7763","6.1","AURORA 6 N, NC US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  278",",,7","  222",",,7",,,,,,,"   81",",,7,0800",,,,,,,,,,,"  222",",,7,0800","  151",",,7"
"USC00310375","2018-06-09","35.3872","-76.7763","6.1","AURORA 6 N, NC US",,,"    0",",,7,0800","    0",",,7,0800",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00310375","2018-06-10","35.3872","-76.7763","6.1","AURORA 6 N, NC US",,,"    0",",,7,0800","    0",",,7,0800",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00310375","2018-06-11","35.3872","-76.7763","6.1","AURORA 6 N, NC US",,,"    0",",,7,0800","    0",",,7,0800",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00310375","2018-06-12","35.3872","-76.7763","6.1","AURORA 6 N, NC US",,,"    0",",,7,0800","    0",",,7,0800","  294",",,7","  194",",,7",,,"    4",",,7",,,"   51",",,7,0800",,,"  318",",,7",,,,,,,"  206",",,7,0800","  122",",,7"
"USC00310375","2018-06-13","35.3872","-76.7763","6.1","AURORA 6 N, NC US","  389",",,7,0800","    0",",,7,0800","    0",",,7,0800","  294",",,7","  200",",,7",,,,,,,"    0",",,7,0800",,,,,,,,,,,"  222",",,7,0800","   56",",,7"
"USC00310375","2018-06-14","35.3872","-76.7763","6.1","AURORA 6 N, NC US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  300",",,7","  222",",,7",,,,,,,"   48",",,7,0800",,,,,,,,,,,"  244",",,7,0800","  119",",,7"
"USC00310375","2018-06-15","35.3872","-76.7763","6.1","AURORA 6 N, NC US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  317",",,7","  228",",,7",,,,,,,"   51",",,7,0800",,,,,,,,,,,"  239",",,7,0800","   68",",,7"
"USC00310375","2018-06-16","35.3872","-76.7763","6.1","AURORA 6 N, NC US",,,"    0",",,7,0800","    0",",,7,0800",,,,,,,,,,,,,,,,,,,,,,,,,,
