"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","DAWM","DAWM_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MDWM","MDWM_ATTRIBUTES","MNPN","MNPN_ATTRIBUTES","MXPN","MXPN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES","SN32","SN32_ATTRIBUTES","SN52","SN52_ATTRIBUTES","SX32","SX32_ATTRIBUTES","SX52","SX52_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT07","WT07_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES","WT11","WT11_ATTRIBUTES","WT14","WT14_ATTRIBUTES","WT16","WT16_ATTRIBUTES"
"USC00102942","2018-02-22","43.8544","-116.4663","728.5","EMMETT 2 E, ID US","   33",",,7,0700","   51",",,7","   51",",,7","   17",",,7","  -67",",,7",,,,,"    0",",,7,",,,,," -178",",D,7"," -178",",D,7","  -44",",,7,0700","    0",",,7",,,"   28",",,7",,,"   28",",,7",,,,,,,,,,,,,,,,,,,,,,
"USC00102942","2018-02-23","43.8544","-116.4663","728.5","EMMETT 2 E, ID US","   10",",,7,0700","   25",",,7","   76",",,7","   22",",,7"," -122",",,7",,,,,"    0",",,7,",,,,," -178",",D,7"," -178",",D,7"," -122",",,7,0700","    0",",,7",,,"   28",",,7",,,"   28",",,7",,,,,,,,,,,,,,,,,,,,,,
"USC00102942","2018-02-24","43.8544","-116.4663","728.5","EMMETT 2 E, ID US","    0",",,7,0700","    0",",,7","    0",",,7","   11",",,7"," -128",",,7",,,,,"    0",",,7,",,,,," -178",",D,7"," -178",",D,7","  -22",",,7,0700","    0",",,7",,,"   28",",,7",,,"   28",",,7",,,,,,,,,,,,,,,,,,,,,,
"USC00102942","2018-02-25","43.8544","-116.4663","728.5","EMMETT 2 E, ID US","   10",",,7,0700","   25",",,7","   25",",,7","   22",",,7","  -67",",,7",,,,,"    0",",,7,",,,,," -178",",D,7"," -178",",D,7","  -17",",,7,0700","    0",",,7",,,"   28",",,7",,,"   28",",,7",,,,,,,,,,,,,,,,,,,,,,
"USC00102942","2018-02-26","43.8544","-116.4663","728.5","EMMETT 2 E, ID US","   46",",,7,0700","   36",",,7","   51",",,7","   39",",,7","  -22",",,7",,,,,"    0",",,7,",,,,," -178",",D,7"," -178",",D,7","  -17",",,7,0700","    0",",,7",,,"   28",",,7",,,"   28",",,7",,,,,,,,,,,,,,,,,,,,,,
"USC00102942","2018-02-27","43.8544","-116.4663","728.5","EMMETT 2 E, ID US","    0",",,7,0700","    0",",,7","   25",",,7","   44",",,7"," -111",",,7",,,,,"    0",",,7,",,,,," -178",",D,7"," -178",",D,7"," -106",",,7,0700","    0",",,7",,,"   28",",,7",,,"   28",",,7",,,,,,,,,,,,,,,,,,,,,,
"USC00102942","2018-02-28","43.8544","-116.4663","728.5","EMMETT 2 E, ID US","    0",",,7,0700","    0",",,7","    0",",,7","   22",",,7"," -106",",,7",,,,,"    0",",,7,",,,,," -178",",D,7"," -178",",D,7","  -39",",,7,0700","    0",",,7",,,"   28",",,7",,,"   28",",,7",,,,,,,,,,,,,,,,,,,,,,
"USC00102942","2018-03-01","43.8544","-116.4663","728.5","EMMETT 2 E, ID US","   13",",,7,0700","    0",",,7","    0",",,7","   78",",,7","  -39",",,7",,,,,"    0",",,7,",,,,," -178",",D,7"," -178",",D,7","   67",",,7,0700","    0",",,7",,,"   28",",,7",,,"   28",",,7",,,,,,,,,,,,,,,,,,,,,,
"USC00102942","2018-03-02","43.8544","-116.4663","728.5","EMMETT 2 E, ID US","   43",",,7,0700","    0",",,7","    0",",,7","   83",",,7","   17",",,7",,,,,"    0",",,7,",,,,," -178",",D,7"," -178",",D,7","   17",",,7,0700","    0",",,7",,,"   28",",,7",,,"   50",",,7",,,,,,,,,,,,,,,,,,,,,,
"USC00102942","2018-03-03","43.8544","-116.4663","728.5","EMMETT 2 E, ID US","    0",",,7,0700","    0",",,7","    0",",,7","   83",",,7","  -28",",,7",,,,,"    0",",,7,",,,,," -178",",D,7"," -178",",D,7","  -28",",,7,0700","    0",",,7",,,"   33",",,7",,,"   83",",,7",,,,,,,,,,,,,,,,,,,,,,
