"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAEV","DAEV_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","DAWM","DAWM_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","MDEV","MDEV_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MDWM","MDWM_ATTRIBUTES","MNPN","MNPN_ATTRIBUTES","MXPN","MXPN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES","SN12","SN12_ATTRIBUTES","SN22","SN22_ATTRIBUTES","SN31","SN31_ATTRIBUTES","SN32","SN32_ATTRIBUTES","SN33","SN33_ATTRIBUTES","SN52","SN52_ATTRIBUTES","SX12","SX12_ATTRIBUTES","SX31","SX31_ATTRIBUTES","SX32","SX32_ATTRIBUTES","SX33","SX33_ATTRIBUTES","SX52","SX52_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT09","WT09_ATTRIBUTES","WT10","WT10_ATTRIBUTES","WT11","WT11_ATTRIBUTES","WT14","WT14_ATTRIBUTES","WT16","WT16_ATTRIBUTES","WT18","WT18_ATTRIBUTES"
"USC00122825","2018-05-27","40.2538","-85.1484","294.1","FARMLAND 5 NNW, IN US","   69",",,7,0800","    0",",,7,0800","    0",",,7,0800","  289",",,7","  194",",,7",,,,,,,"   69",",,7,0800",,,,,,,"  211",",,7","  300",",,7","  239",",,7,0800",,,,,,,,,"  233",",,7","  233",",,7","  217",",,7",,,,,"  283",",,7","  239",",,7","  233",",,7",,,,,,,,,,,,,,,,,,,,,,
"USC00122825","2018-05-28","40.2538","-85.1484","294.1","FARMLAND 5 NNW, IN US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  333",",,7","  183",",,7",,,,,,,"   76",",,7,0800",,,,,,,"  222",",,7","  356",",,7","  256",",,7,0800",,,,,,,,,"  233",",,7","  233",",I,7","  222",",,7",,,,,"  317",",,7","  261",",,7","  256",",,7",,,,,,,,,,,,,,,,,,,,,,
"USC00122825","2018-05-29","40.2538","-85.1484","294.1","FARMLAND 5 NNW, IN US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  344",",,7","  189",",,7",,,,,,,"   81",",,7,0800",,,,,,,"  228",",,7","  356",",,7","  217",",,7,0800",,,,,,,,,"  244",",,7","  194",",,7","  250",",,7",,,,,"  283",",,7","  222",",I,7","  350",",,7",,,,,,,,,,,,,,,,,,,,,,
"USC00122825","2018-05-30","40.2538","-85.1484","294.1","FARMLAND 5 NNW, IN US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  322",",,7","  178",",,7",,,,,,,"  104",",,7,0800",,,,,,,"  222",",,7","  328",",,7","  244",",,7,0800",,,,,,,,,"  267",",,7","  183",",,7","  256",",,7",,,,,"  283",",,7","  200",",I,7","  339",",,7",,,,,,,,,,,,,,,,,,,,,,
"USC00122825","2018-05-31","40.2538","-85.1484","294.1","FARMLAND 5 NNW, IN US","    5",",,7,0800","    0",",,7,0800","    0",",,7,0800","  306",",,7","  161",",,7",,,,,,,"   61",",,7,0800",,,,,,,"  211",",,7","  311",",,7","  233",",,7,0800",,,,,,,,,"  261",",,7","  222",",I,7","  256",",,7",,,,,"  272",",,7","  228",",,7","  322",",,7",,,,,,,,,,,,,,,,,,,,,,
"USC00122825","2018-06-01","40.2538","-85.1484","294.1","FARMLAND 5 NNW, IN US","   74",",,7,0800","    0",",,7,0800","    0",",,7,0800","  317",",,7","  128",",,7",,,,,,,"   86",",,7,0800",,,,,,,"  211",",,7","  350",",,7","  211",",,7,0800",,,,,,,,,"  250",",,7","  228",",,7","  244",",,7",,,,,"  289",",,7","  233",",I,7","  350",",,7",,,,,,,,,,,,,,,,,,,,,,
"USC00122825","2018-06-02","40.2538","-85.1484","294.1","FARMLAND 5 NNW, IN US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  306",",,7","  122",",,7",,,,,,,"   76",",,7,0800",,,,,,,"  206",",,7","  328",",,7","  189",",,7,0800",,,,,,,,,"  239",",,7","  244",",I,7","  239",",,7",,,,,"  311",",,7","  261",",,7","  261",",,7",,,,,,,,,,,,,,,,,,,,,,
"USC00122825","2018-06-03","40.2538","-85.1484","294.1","FARMLAND 5 NNW, IN US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  283",",,7","  183",",,7",,,,,,,"   69",",,7,0800",,,,,,,"  206",",,7","  328",",,7","  228",",,7,0800",,,,,,,,,"  239",",,7","  244",",,7","  228",",,7",,,,,"  311",",,7","  261",",,7","  256",",,7",,,,,,,,,,,,,,,,,,,,,,
"USC00122825","2018-06-04","40.2538","-85.1484","294.1","FARMLAND 5 NNW, IN US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  267",",,7","  128",",,7",,,,,,,"   56",",,7,0800",,,,,,,"  133",",,7","  289",",,7","  161",",,7,0800",,,,,,,,,"  244",",,7","  233",",,7","  222",",,7",,,,,"  283",",,7","  250",",,7","  333",",,7",,,,,,,,,,,,,,,,,,,,,,
"USC00122825","2018-06-05","40.2538","-85.1484","294.1","FARMLAND 5 NNW, IN US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  244",",,7","  122",",,7",,,,,,,"   94",",,7,0800",,,,,,,"  139",",,7","  272",",,7","  183",",,7,0800",,,,,,,,,"  244",",,7","  222",",,7","  217",",,7",,,,,"  272",",,7","  233",",,7","  333",",,7",,,,,,,,,,,,,,,,,,,,,,
