"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","DASF","DASF_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MDSF","MDSF_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES"
"USC00290407","2018-05-03","36.3949","-105.2852","2590.8","ANGEL FIRE 1 S, NM US","    0",",,7,1700","    0",",,7","    0",",,7","  111",",,7","  -50",",,7",,,,,,,,,,,,,,
"USC00290407","2018-05-04","36.3949","-105.2852","2590.8","ANGEL FIRE 1 S, NM US","   30",",,7,1700","    0",",,7","    0",",,7","  172",",,7","  -56",",,7",,,,,,,,,,,,,,
"USC00290407","2018-05-05","36.3949","-105.2852","2590.8","ANGEL FIRE 1 S, NM US","    0",",,7,1700","    0",",,7","    0",",,7","  200",",,7","  -44",",,7",,,,,,,,,,,,,,
"USC00290407","2018-05-06","36.3949","-105.2852","2590.8","ANGEL FIRE 1 S, NM US","    0",",,7,1700","    0",",,7","    0",",,7","  211",",,7","  -33",",,7",,,,,,,,,,,,,,
"USC00290407","2018-05-07","36.3949","-105.2852","2590.8","ANGEL FIRE 1 S, NM US","    0",",,7,1700","    0",",,7","    0",",,7","  217",",,7","   -6",",,7",,,,,,,,,,,,,,
"USC00290407","2018-05-08","36.3949","-105.2852","2590.8","ANGEL FIRE 1 S, NM US","    0",",,7,1700","    0",",,7","    0",",,7","  239",",,7","  -11",",,7",,,,,,,,,,,,,,
"USC00290407","2018-05-09","36.3949","-105.2852","2590.8","ANGEL FIRE 1 S, NM US","    0",",,7,1700","    0",",,7","    0",",,7","  222",",,7","  -22",",,7",,,,,,,,,,,,,,
"USC00290407","2018-05-10","36.3949","-105.2852","2590.8","ANGEL FIRE 1 S, NM US","    0",",,7,1700","    0",",,7","    0",",,7","  244",",,7","   72",",,7",,,,,,,,,,,,,,
"USC00290407","2018-05-11","36.3949","-105.2852","2590.8","ANGEL FIRE 1 S, NM US","    0",",,7,1700","    0",",,7","    0",",,7","  228",",,7","   22",",,7",,,,,,,,,,,,,,
"USC00290407","2018-05-12","36.3949","-105.2852","2590.8","ANGEL FIRE 1 S, NM US","    0",",,7,1700","    0",",,7","    0",",,7","  233",",,7","    0",",,7",,,,,,,,,,,,,,
"USC00290407","2018-05-13","36.3949","-105.2852","2590.8","ANGEL FIRE 1 S, NM US","    0",",,7,1700","    0",",,7","    0",",,7","  206",",,7","  -28",",,7",,,,,,,,,,,,,,
"USC00290407","2018-05-14","36.3949","-105.2852","2590.8","ANGEL FIRE 1 S, NM US","    0",",,7,1700","    0",",,7","    0",",,7","  200",",,7","  -28",",,7",,,,,,,,,,,,,,
"USC00290407","2018-05-15","36.3949","-105.2852","2590.8","ANGEL FIRE 1 S, NM US","    0",",,7,1700","    0",",,7","    0",",,7","  200",",,7","  -39",",,7",,,,,,,,,,,,,,
"USC00290407","2018-05-16","36.3949","-105.2852","2590.8","ANGEL FIRE 1 S, NM US","    0",",,7,1700","    0",",,7","    0",",,7","  233",",,7","  -33",",,7",,,,,,,,,,,,,,
