"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WESD","WESD_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES","WT11","WT11_ATTRIBUTES","WT14","WT14_ATTRIBUTES","WT16","WT16_ATTRIBUTES","WT18","WT18_ATTRIBUTES"
"USC00368449","2018-07-07","40.7933","-77.8672","356.6","STATE COLLEGE, PA US","    5",",,7,0700","    0",",,7","    0",",,7","  272",",,7","  122",",,7",,,,,"  150",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,
"USC00368449","2018-07-08","40.7933","-77.8672","356.6","STATE COLLEGE, PA US","    0",",,7,0700","    0",",,7","    0",",,7","  233",",,7","  117",",,7",,,,,"  150",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,
"USC00368449","2018-07-09","40.7933","-77.8672","356.6","STATE COLLEGE, PA US","    0",",,7,0700","    0",",,7","    0",",,7","  267",",,7","  139",",,7",,,,,"  161",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,
"USC00368449","2018-07-10","40.7933","-77.8672","356.6","STATE COLLEGE, PA US","    0",",,7,0700","    0",",,7","    0",",,7","  289",",,7","  161",",,7",,,,,"  217",",,7,0700","    0",",,7",,,,,,,,,,,,,,,,,,,,,,
"USC00368449","2018-07-11","40.7933","-77.8672","356.6","STATE COLLEGE, PA US","  117",",,7,0700","    0",",,7","    0",",,7","  300",",,7","  178",",,7",,,,,"  189",",,7,0700","    0",",,7",,,"    1",",,7",,,,,,,,,,,,,,,,,,
"USC00368449","2018-07-12","40.7933","-77.8672","356.6","STATE COLLEGE, PA US","    0",",,7,0700","    0",",,7","    0",",,7","  261",",,7","  128",",,7",,,,,"  156",",,7,0700","    0",",,7",,,,,,,,,,,,,,,,,,,,,,
"USC00368449","2018-07-13","40.7933","-77.8672","356.6","STATE COLLEGE, PA US","    0",",,7,0700","    0",",,7","    0",",,7","  256",",,7","  156",",,7",,,,,"  183",",,7,0700","    0",",,7",,,,,,,,,,,,,,,,,,,,,,
"USC00368449","2018-07-14","40.7933","-77.8672","356.6","STATE COLLEGE, PA US","    0",",,7,0700","    0",",,7","    0",",,7","  278",",,7","  178",",,7",,,,,"  211",",,7,0700","    0",",,7",,,,,,,,,,,,,,,,,,,,,,
"USC00368449","2018-07-15","40.7933","-77.8672","356.6","STATE COLLEGE, PA US","    5",",,7,0700","    0",",,7","    0",",,7","  300",",,7","  211",",,7",,,,,"  211",",,7,0700",,,,,"    1",",,7",,,,,,,,,,,,,,,,,,
"USC00368449","2018-07-16","40.7933","-77.8672","356.6","STATE COLLEGE, PA US","   81",",,7,0700","    0",",,7","    0",",,7","  294",",,7","  200",",,7",,,,,"  222",",,7,0700",,,,,"    1",",,7",,,,,,,,,,,,,,,,,,
"USC00368449","2018-07-17","40.7933","-77.8672","356.6","STATE COLLEGE, PA US","    3",",,7,0700","    0",",,7","    0",",,7","  311",",,7","  222",",,7",,,,,"  233",",,7,0700","    0",",,7",,,,,,,,,,,,,,,,,,,,,,
"USC00368449","2018-07-18","40.7933","-77.8672","356.6","STATE COLLEGE, PA US","  224",",,7,0700","    0",",,7","    0",",,7","  272",",,7","  144",",,7",,,,,"  178",",,7,0700","    0",",,7",,,"    1",",,7",,,,,,,,,,,,,,,,,,
"USC00368449","2018-07-19","40.7933","-77.8672","356.6","STATE COLLEGE, PA US","    0",",,7,0700","    0",",,7","    0",",,7","  250",",,7","  139",",,7",,,,,"  161",",,7,0700","    0",",,7",,,,,,,,,,,,,,,,,,,,,,
