"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAEV","DAEV_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","DAWM","DAWM_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","MDEV","MDEV_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MDWM","MDWM_ATTRIBUTES","MNPN","MNPN_ATTRIBUTES","MXPN","MXPN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT07","WT07_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT11","WT11_ATTRIBUTES","WT14","WT14_ATTRIBUTES","WT16","WT16_ATTRIBUTES"
"USC00084731","2018-06-01","30.1852","-82.5941","59.4","LAKE CITY 2 E, FL US","    3",",,H,0700",,,,,"  317",",,H","  217",",,H",,,,,,,,,,,,,,,,,,,"  222",",,H,0700",,,,,,,,,,,,,,,,,,,,
"USC00084731","2018-06-02","30.1852","-82.5941","59.4","LAKE CITY 2 E, FL US","    0",",,H,0700",,,,,"  322",",,H","  222",",,H",,,,,,,,,,,,,,,,,,,"  233",",,H,0700",,,,,,,,,,,,,,,,,,,,
"USC00084731","2018-06-03","30.1852","-82.5941","59.4","LAKE CITY 2 E, FL US","   64",",,H,0700",,,,,"  322",",,H","  200",",,H",,,,,,,,,,,,,,,,,,,"  228",",,H,0700",,,,,,,,,,,,,,,,,,,,
"USC00084731","2018-06-04","30.1852","-82.5941","59.4","LAKE CITY 2 E, FL US","    5",",,H,0700",,,,,"  339",",,H","  228",",,H",,,,,,,,,,,,,,,,,,,"  228",",,H,0700",,,,,,,,,,,,,,,,,,,,
"USC00084731","2018-06-05","30.1852","-82.5941","59.4","LAKE CITY 2 E, FL US","    0",",,H,0700",,,,,"  339",",,H","  189",",,H",,,,,,,,,,,,,,,,,,,"  189",",,H,0700",,,,,,,,,,,,,,,,,,,,
"USC00084731","2018-06-06","30.1852","-82.5941","59.4","LAKE CITY 2 E, FL US","    0",",,H,0700",,,,,"  294",",,H","  189",",,H",,,,,,,,,,,,,,,,,,,"  217",",,H,0700",,,,,,,,,,,,,,,,,,,,
"USC00084731","2018-06-07","30.1852","-82.5941","59.4","LAKE CITY 2 E, FL US","   48",",,H,0700",,,,,"  244",",,H","  200",",,H",,,,,,,,,,,,,,,,,,,"  200",",,H,0700",,,,,,,,,,,,,,,,,,,,
"USC00084731","2018-06-08","30.1852","-82.5941","59.4","LAKE CITY 2 E, FL US","    3",",,H,0700",,,,,"  311",",,H","  194",",,H",,,,,,,,,,,,,,,,,,,"  194",",,H,0700",,,,,,,,,,,,,,,,,,,,
"USC00084731","2018-06-09","30.1852","-82.5941","59.4","LAKE CITY 2 E, FL US","    0",",,H,0700",,,,,"  306",",,H","  194",",,H",,,,,,,,,,,,,,,,,,,"  194",",,H,0700",,,,,,,,,,,,,,,,,,,,
"USC00084731","2018-06-10","30.1852","-82.5941","59.4","LAKE CITY 2 E, FL US","   51",",,H,0700",,,,,"  311",",,H","  194",",,H",,,,,,,,,,,,,,,,,,,"  206",",,H,0700",,,,,,,,,,,,,,,,,,,,
