"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MDSF","MDSF_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT07","WT07_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES","WT11","WT11_ATTRIBUTES","WT14","WT14_ATTRIBUTES"
"USC00404858","2018-07-05","36.5194","-82.5275","391.4","KINGSPORT, TN US","    0",",,7,2400","    0",",,7,2400","    0",",,7,2400","  333",",,7","  206",",,7",,,,,,,"  244",",,7,2400",,,,,,,,,,,,,,,,,,,,
"USC00404858","2018-07-06","36.5194","-82.5275","391.4","KINGSPORT, TN US","   18",",,7,2400","    0",",,7,2400","    0",",,7,2400","  311",",,7","  211",",,7",,,,,,,"  217",",,7,2400",,,,,,,,,,,,,,,,,,,,
"USC00404858","2018-07-07","36.5194","-82.5275","391.4","KINGSPORT, TN US","    0",",,7,2400","    0",",,7,2400","    0",",,7,2400","  278",",,7","  206",",,7",,,,,,,"  217",",,7,2400",,,,,,,,,,,,,,,,,,,,
"USC00404858","2018-07-08","36.5194","-82.5275","391.4","KINGSPORT, TN US","    0",",,7,2400","    0",",,7,2400","    0",",,7,2400","  317",",,7","  167",",,7",,,,,,,"  211",",,7,2400",,,,,,,,,,,,,,,,,,,,
"USC00404858","2018-07-09","36.5194","-82.5275","391.4","KINGSPORT, TN US","    0",",,7,2400","    0",",,7,2400","    0",",,7,2400","  317",",,7","  156",",,7",,,,,,,"  200",",,7,2400",,,,,,,,,,,,,,,,,,,,
"USC00404858","2018-07-10","36.5194","-82.5275","391.4","KINGSPORT, TN US","    0",",,7,2400","    0",",,7,2400","    0",",,7,2400","  333",",,7","  167",",,7",,,,,,,"  239",",,7,2400",,,,,,,,,,,,,,,,,,,,
"USC00404858","2018-07-11","36.5194","-82.5275","391.4","KINGSPORT, TN US","    0",",,7,2400","    0",",,7,2400","    0",",,7,2400","  333",",,7","  167",",,7",,,,,,,"  239",",,7,2400",,,,,,,,,,,,,,,,,,,,
"USC00404858","2018-07-12","36.5194","-82.5275","391.4","KINGSPORT, TN US","    0",",,7,2400","    0",",,7,2400","    0",",,7,2400","  328",",,7","  194",",,7",,,,,,,"  239",",,7,2400",,,,,,,,,,,,,,,,,,,,
"USC00404858","2018-07-13","36.5194","-82.5275","391.4","KINGSPORT, TN US","    0",",,7,2400","    0",",,7,2400","    0",",,7,2400","  322",",,7","  200",",,7",,,,,,,"  239",",,7,2400",,,,,,,,,,,,,,,,,,,,
"USC00404858","2018-07-14","36.5194","-82.5275","391.4","KINGSPORT, TN US","   86",",,7,2400","    0",",,7,2400","    0",",,7,2400","  333",",,7","  194",",,7",,,,,,,"  233",",,7,2400",,,,,,,,,,,,,,,,,,,,
