"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","DASF","DASF_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MDSF","MDSF_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT07","WT07_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES","WT11","WT11_ATTRIBUTES","WT14","WT14_ATTRIBUTES","WT16","WT16_ATTRIBUTES","WT18","WT18_ATTRIBUTES"
"USC00141029","2018-06-11","39.3673","-101.4461","1048.5","BREWSTER 4 W, KS US","    0",",,7,0500","    0",",,7,0500","    0",",,7,0500","  372",",,7","  172",",,7",,,,,,,,,"  178",",,7,0500",,,,,,,,,,,,,,,,,,,,,,,,
"USC00141029","2018-06-12","39.3673","-101.4461","1048.5","BREWSTER 4 W, KS US","    0",",,7,0500","    0",",,7,0500","    0",",,7,0500","  278",",,7","  117",",,7",,,,,,,,,"  122",",,7,0500",,,,,,,,,,,,,,,,,,,,,,,,
"USC00141029","2018-06-13","39.3673","-101.4461","1048.5","BREWSTER 4 W, KS US","    0",",,7,0500","    0",",,7,0500","    0",",,7,0500","  311",",,7","  117",",,7",,,,,,,,,"  156",",,7,0500",,,,,,,,,,,,,,,,,,,,,,,,
"USC00141029","2018-06-14","39.3673","-101.4461","1048.5","BREWSTER 4 W, KS US","    0",",,7,0500","    0",",,7,0500","    0",",,7,0500","  322",",,7","  156",",,7",,,,,,,,,"  172",",,7,0500",,,,,,,,,,,,,,,,,,,,,,,,
"USC00141029","2018-06-15","39.3673","-101.4461","1048.5","BREWSTER 4 W, KS US","   25",",,7,0500","    0",",,7,0500","    0",",,7,0500","  394",",,7","  167",",,7",,,,,,,,,"  172",",,7,0500",,,,,,,,,,,,,,,,,,,,,,,,
"USC00141029","2018-06-16","39.3673","-101.4461","1048.5","BREWSTER 4 W, KS US","    0",",,7,0500","    0",",,7,0500","    0",",,7,0500","  389",",,7","  172",",,7",,,,,,,,,"  228",",,7,0500",,,,,,,,,,,,,,,,,,,,,,,,
"USC00141029","2018-06-17","39.3673","-101.4461","1048.5","BREWSTER 4 W, KS US","    0",",,7,0500","    0",",,7,0500","    0",",,7,0500","  344",",,7","  189",",,7",,,,,,,,,"  200",",,7,0500",,,,,,,,,,,,,,,,,,,,,,,,
"USC00141029","2018-06-18","39.3673","-101.4461","1048.5","BREWSTER 4 W, KS US","    0",",,7,0500","    0",",,7,0500","    0",",,7,0500","  344",",,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00141029","2018-06-19","39.3673","-101.4461","1048.5","BREWSTER 4 W, KS US","    0",",,7,0500","    0",",,7,0500","    0",",,7,0500",,,"  150",",,7",,,,,,,,,"  183",",,7,0500",,,,,,,,,,,,,,,,,,,,,,,,
"USC00141029","2018-06-20","39.3673","-101.4461","1048.5","BREWSTER 4 W, KS US","  241",",,7,0500","    0",",,7,0500","    0",",,7,0500","  311",",,7","  128",",,7",,,,,,,,,"  128",",,7,0500",,,,,,,,,,,,,,,,,,,,,,,,
