"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DATN","DATN_ATTRIBUTES","MDTN","MDTN_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES"
"ASN00068151","2018-07-06","-35.0936","150.8049","85.0","JERVIS BAY POINT PERPENDICULA, AS","    0",",,a","  233",",,a","  153",",,a",,,,,"  143","H,,S"
"ASN00068151","2018-07-07","-35.0936","150.8049","85.0","JERVIS BAY POINT PERPENDICULA, AS","    0",",,a","  145",",,a","  113",",,a",,,,,"  119","H,,S"
"ASN00068151","2018-07-08","-35.0936","150.8049","85.0","JERVIS BAY POINT PERPENDICULA, AS","    0",",,a","  157",",,a","  101",",,a",,,,,"  132","H,,S"
"ASN00068151","2018-07-09","-35.0936","150.8049","85.0","JERVIS BAY POINT PERPENDICULA, AS","    0",",,a","  145",",,a","  100",",,a",,,,,"  124","H,,S"
"ASN00068151","2018-07-10","-35.0936","150.8049","85.0","JERVIS BAY POINT PERPENDICULA, AS","    0",",,a","  151",",,a","   91",",,a",,,,,"  109","H,,S"
"ASN00068151","2018-07-11","-35.0936","150.8049","85.0","JERVIS BAY POINT PERPENDICULA, AS","    0",",,a","  170",",,a","   76",",,a",,,,,"  129","H,,S"
"ASN00068151","2018-07-12","-35.0936","150.8049","85.0","JERVIS BAY POINT PERPENDICULA, AS","   26",",,a","  139",",,a","  105",",,a",,,,,"  107","H,,S"
"ASN00068151","2018-07-13","-35.0936","150.8049","85.0","JERVIS BAY POINT PERPENDICULA, AS","   24",",,a","  152",",,a","   79",",,a",,,,,"  117","H,,S"
"ASN00068151","2018-07-14","-35.0936","150.8049","85.0","JERVIS BAY POINT PERPENDICULA, AS","    0",",,a","  139",",,a","   79",",,a",,,,,"  103","H,,S"
"ASN00068151","2018-07-15","-35.0936","150.8049","85.0","JERVIS BAY POINT PERPENDICULA, AS","    0",",,a","  141",",,a","   69",",,a",,,,,"  106","H,,S"
"ASN00068151","2018-07-16","-35.0936","150.8049","85.0","JERVIS BAY POINT PERPENDICULA, AS","    0",",,a","  160",",,a","   79",",,a",,,,,"  127","H,,S"
"ASN00068151","2018-07-17","-35.0936","150.8049","85.0","JERVIS BAY POINT PERPENDICULA, AS","    0",",,a","  206",",,a","   87",",,a",,,,,"  165","H,,S"
"ASN00068151","2018-07-18","-35.0936","150.8049","85.0","JERVIS BAY POINT PERPENDICULA, AS","    0",",,a","  174",",,a","  109",",,a",,,,,"  128","H,,S"
"ASN00068151","2018-07-19","-35.0936","150.8049","85.0","JERVIS BAY POINT PERPENDICULA, AS","    0",",,a","  187",",,a","   94",",,a",,,,,"  143","H,,S"
"ASN00068151","2018-07-20","-35.0936","150.8049","85.0","JERVIS BAY POINT PERPENDICULA, AS","    0",",,a","  172",",,a","  118",",,a",,,,,"  119","H,,S"
"ASN00068151","2018-07-21","-35.0936","150.8049","85.0","JERVIS BAY POINT PERPENDICULA, AS","    0",",,a","  155",",,a","   97",",,a",,,,,"  104","H,,S"
"ASN00068151","2018-07-22","-35.0936","150.8049","85.0","JERVIS BAY POINT PERPENDICULA, AS","    0",",,a","  159",",,a","   67",",,a",,,,,"  106","H,,S"
"ASN00068151","2018-07-23","-35.0936","150.8049","85.0","JERVIS BAY POINT PERPENDICULA, AS","    0",",,a","  172",",,a","   67",",,a",,,,,"  140","H,,S"
"ASN00068151","2018-07-24","-35.0936","150.8049","85.0","JERVIS BAY POINT PERPENDICULA, AS","    0",",,a","  204",",,a","  104",",,a",,,,,"  159","H,,S"
"ASN00068151","2018-07-25","-35.0936","150.8049","85.0","JERVIS BAY POINT PERPENDICULA, AS","    0",",,a","  197",",,a","  125",",,a",,,,,"  146","H,,S"
"ASN00068151","2018-07-26","-35.0936","150.8049","85.0","JERVIS BAY POINT PERPENDICULA, AS","    0",",,a","  164",",,a","   99",",,a",,,,,"  121","H,,S"
"ASN00068151","2018-07-27","-35.0936","150.8049","85.0","JERVIS BAY POINT PERPENDICULA, AS","    0",",,a","  182",",,a","   89",",,a",,,,,"  141","H,,S"
"ASN00068151","2018-07-28","-35.0936","150.8049","85.0","JERVIS BAY POINT PERPENDICULA, AS","    0",",,a","  207",",,a","  108",",,a",,,,,"  161","H,,S"
"ASN00068151","2018-07-29","-35.0936","150.8049","85.0","JERVIS BAY POINT PERPENDICULA, AS","   30",",,a","  209",",,a","  120",",,a",,,,,"  142","H,,S"
"ASN00068151","2018-07-30","-35.0936","150.8049","85.0","JERVIS BAY POINT PERPENDICULA, AS","    0",",,a","  162",",,a","  103",",,a",,,,,"  122","H,,S"
"ASN00068151","2018-07-31","-35.0936","150.8049","85.0","JERVIS BAY POINT PERPENDICULA, AS","    0",",,a","  188",",,a","   99",",,a",,,,,"  151","H,,S"
"ASN00068151","2018-08-01","-35.0936","150.8049","85.0","JERVIS BAY POINT PERPENDICULA, AS","    0",",,a","  180",",,a","  116",",,a",,,,,"  141","H,,S"
"ASN00068151","2018-08-02","-35.0936","150.8049","85.0","JERVIS BAY POINT PERPENDICULA, AS","    0",",,a","  161",",,a","  113",",,a",,,,,"  140","H,,S"
"ASN00068151","2018-08-03","-35.0936","150.8049","85.0","JERVIS BAY POINT PERPENDICULA, AS","    0",",,a","  189",",,a","  119",",,a",,,,,"  148","H,,S"
"ASN00068151","2018-08-04","-35.0936","150.8049","85.0","JERVIS BAY POINT PERPENDICULA, AS","    6",",,a","  174",",,a","  117",",,a",,,,,"  132","H,,S"
"ASN00068151","2018-08-05","-35.0936","150.8049","85.0","JERVIS BAY POINT PERPENDICULA, AS","    0",",,a","  188",",,a","  102",",,a",,,,,"  153","H,,S"
"ASN00068151","2018-08-06","-35.0936","150.8049","85.0","JERVIS BAY POINT PERPENDICULA, AS","    0",",,a","  172",",,a","  137",",,a",,,,,"  133","H,,S"
"ASN00068151","2018-08-07","-35.0936","150.8049","85.0","JERVIS BAY POINT PERPENDICULA, AS","    0",",,a","  142",",,a","  101",",,a",,,,,"  126","H,,S"
"ASN00068151","2018-08-08","-35.0936","150.8049","85.0","JERVIS BAY POINT PERPENDICULA, AS","    0",",,a","  166",",,a","  114",",,a",,,,,"  137","H,,S"
"ASN00068151","2018-08-09","-35.0936","150.8049","85.0","JERVIS BAY POINT PERPENDICULA, AS","    0",",,a","  162",",,a","   98",",,a",,,,,"  127","H,,S"
"ASN00068151","2018-08-10","-35.0936","150.8049","85.0","JERVIS BAY POINT PERPENDICULA, AS","    0",",,a","  187",",,a","   91",",,a",,,,,"  154","H,,S"
