"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","DASF","DASF_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MDSF","MDSF_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WESD","WESD_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT11","WT11_ATTRIBUTES"
"USC00060973","2018-05-12","41.7944","-72.932","153.9","BURLINGTON, CT US","    0",",,7,0700","    0",",,7,0700","    0",",,7,0700","  200",",,7","   89",",,7",,,,,,,,,"  106",",,7,0700",,,,,,,,,,,,,,,,
"USC00060973","2018-05-13","41.7944","-72.932","153.9","BURLINGTON, CT US","   33",",,7,0700","    0",",,7,0700","    0",",,7,0700","  111",",,7","   67",",,7",,,,,,,,,"   78",",,7,0700",,,,,,,,,,,,,,,,
"USC00060973","2018-05-14","41.7944","-72.932","153.9","BURLINGTON, CT US","    0",",,7,0700","    0",",,7,0700","    0",",,7,0700","  122",",,7","   72",",,7",,,,,,,,,"  122",",,7,0700",,,,,,,,,,,,,,,,
"USC00060973","2018-05-15","41.7944","-72.932","153.9","BURLINGTON, CT US","    0",",,7,0700","    0",",,7,0700","    0",",,7,0700","  250",",,7","   89",",,7",,,,,,,,,"  183",",,7,0700",,,,,,,,,,,,,,,,
"USC00060973","2018-05-16","41.7944","-72.932","153.9","BURLINGTON, CT US","  356",",,7,0700","    0",",,7,0700","    0",",,7,0700","  294",",,7","  122",",,7",,,,,,,,,"  156",",,7,0700",,,,,,,,,,,,,,,,
"USC00060973","2018-05-17","41.7944","-72.932","153.9","BURLINGTON, CT US","   25",",,7,0700","    0",",,7,0700","    0",",,7,0700","  194",",,7","  128",",,7",,,,,,,,,"  144",",,7,0700",,,,,,,,,,,,,,,,
"USC00060973","2018-05-18","41.7944","-72.932","153.9","BURLINGTON, CT US","    0",",,7,0700","    0",",,7,0700","    0",",,7,0700","  239",",,7","  122",",,7",,,,,,,,,"  156",",,7,0700",,,,,,,,,,,,,,,,
"USC00060973","2018-05-19","41.7944","-72.932","153.9","BURLINGTON, CT US","    0",",,7,0700","    0",",,7,0700","    0",",,7,0700","  206",",,7","   67",",,7",,,,,,,,,"  128",",,7,0700",,,,,,,,,,,,,,,,
"USC00060973","2018-05-20","41.7944","-72.932","153.9","BURLINGTON, CT US","  135",",,7,0700","    0",",,7,0700","    0",",,7,0700","  194",",,7","   78",",,7",,,,,,,,,"  194",",,7,0700",,,,,,,,,,,,,,,,
"USC00060973","2018-05-21","41.7944","-72.932","153.9","BURLINGTON, CT US","    5",",,7,0700","    0",",,7,0700","    0",",,7,0700","  267",",,7","  100",",,7",,,,,,,,,"  167",",,7,0700",,,,,,,,,,,,,,,,
"USC00060973","2018-05-22","41.7944","-72.932","153.9","BURLINGTON, CT US","    0",",,7,0700","    0",",,7,0700","    0",",,7,0700","  261",",,7","  100",",,7",,,,,,,,,"  156",",,7,0700",,,,,,,,,,,,,,,,
"USC00060973","2018-05-23","41.7944","-72.932","153.9","BURLINGTON, CT US","   30",",,7,0700","    0",",,7,0700","    0",",,7,0700","  183",",,7","  117",",,7",,,,,,,,,"  167",",,7,0700",,,,,,,,,,,,,,,,
"USC00060973","2018-05-24","41.7944","-72.932","153.9","BURLINGTON, CT US","    0",",,7,0700","    0",",,7,0700","    0",",,7,0700","  278",",,7","  122",",,7",,,,,,,,,"  167",",,7,0700",,,,,,,,,,,,,,,,
"USC00060973","2018-05-25","41.7944","-72.932","153.9","BURLINGTON, CT US","    0",",,7,0700","    0",",,7,0700","    0",",,7,0700","  278",",,7","  106",",,7",,,,,,,,,"  206",",,7,0700",,,,,,,,,,,,,,,,
"USC00060973","2018-05-26","41.7944","-72.932","153.9","BURLINGTON, CT US","    0",",,7,0700","    0",",,7,0700","    0",",,7,0700","  306",",,7","  183",",,7",,,,,,,,,"  206",",,7,0700",,,,,,,,,,,,,,,,
"USC00060973","2018-05-27","41.7944","-72.932","153.9","BURLINGTON, CT US","    0",",,7,0700","    0",",,7,0700","    0",",,7,0700","  322",",,7","  183",",,7",,,,,,,,,"  189",",,7,0700",,,,,,,,,,,,,,,,
"USC00060973","2018-05-28","41.7944","-72.932","153.9","BURLINGTON, CT US","    5",",,7,0700","    0",",,7,0700","    0",",,7,0700","  189",",,7","   89",",,7",,,,,,,,,"  117",",,7,0700",,,,,,,,,,,,,,,,
"USC00060973","2018-05-29","41.7944","-72.932","153.9","BURLINGTON, CT US","    0",",,7,0700","    0",",,7,0700","    0",",,7,0700","  222",",,7","   83",",,7",,,,,,,,,"  222",",,7,0700",,,,,,,,,,,,,,,,
"USC00060973","2018-05-30","41.7944","-72.932","153.9","BURLINGTON, CT US","    0",",,7,0700","    0",",,7,0700","    0",",,7,0700","  322",",,7","  150",",,7",,,,,,,,,"  211",",,7,0700",,,,,,,,,,,,,,,,
"USC00060973","2018-05-31","41.7944","-72.932","153.9","BURLINGTON, CT US","    0",",,7,0700","    0",",,7,0700","    0",",,7,0700","  278",",,7","   89",",,7",,,,,,,,,"  111",",,7,0700",,,,,,,,,,,,,,,,
