"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DATN","DATN_ATTRIBUTES","DATX","DATX_ATTRIBUTES","MDTN","MDTN_ATTRIBUTES","MDTX","MDTX_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES"
"ASN00015548","2018-06-29","-20.1883","130.0161","340.0","RABBIT FLAT, AS","    0",",,S","  259",",,S","   49",",,S",,,,,,,,,"  173","H,,S"
"ASN00015548","2018-06-30","-20.1883","130.0161","340.0","RABBIT FLAT, AS","    0",",,S","  272",",,S","   99",",,S",,,,,,,,,"  185","H,,S"
"ASN00015548","2018-07-01","-20.1883","130.0161","340.0","RABBIT FLAT, AS","    0",",,S","  281",",,S",,,,,,,,,,,"  183","H,,S"
"ASN00015548","2018-07-02","-20.1883","130.0161","340.0","RABBIT FLAT, AS","    0",",,S","  286",",,S",,,,,,,,,,,"  173","H,,S"
"ASN00015548","2018-07-03","-20.1883","130.0161","340.0","RABBIT FLAT, AS","    0",",,S","  279",",,S",,,,,,,,,,,"  161","H,,S"
"ASN00015548","2018-07-04","-20.1883","130.0161","340.0","RABBIT FLAT, AS","    0",",,S","  295",",,S","   43",",,S",,,,,,,,,"  183","H,,S"
"ASN00015548","2018-07-05","-20.1883","130.0161","340.0","RABBIT FLAT, AS","    0",",,S","  312",",,S","   68",",,S",,,,,,,,,"  206","H,,S"
"ASN00015548","2018-07-06","-20.1883","130.0161","340.0","RABBIT FLAT, AS","    0",",,S","  305",",,S","   80",",,S",,,,,,,,,"  202","H,,S"
"ASN00015548","2018-07-07","-20.1883","130.0161","340.0","RABBIT FLAT, AS","    0",",,S","  258",",,S",,,,,,,,,,,"  158","H,,S"
"ASN00015548","2018-07-08","-20.1883","130.0161","340.0","RABBIT FLAT, AS","    0",",,S","  235",",,S","   29",",,S",,,,,,,,,"  143","H,,S"
"ASN00015548","2018-07-09","-20.1883","130.0161","340.0","RABBIT FLAT, AS","    0",",,S","  245",",,S","   31",",,S",,,,,,,,,"  154","H,,S"
"ASN00015548","2018-07-10","-20.1883","130.0161","340.0","RABBIT FLAT, AS","    0",",,S","  242",",,S",,,,,,,,,,,"  139","H,,S"
"ASN00015548","2018-07-11","-20.1883","130.0161","340.0","RABBIT FLAT, AS","    0",",,S","  239",",,S",,,,,,,,,,,"  129","H,,S"
"ASN00015548","2018-07-12","-20.1883","130.0161","340.0","RABBIT FLAT, AS","    0",",,S","  242",",,S","    0",",,S",,,,,,,,,"  133","H,,S"
"ASN00015548","2018-07-13","-20.1883","130.0161","340.0","RABBIT FLAT, AS","    0",",,S","  251",",,S","    5",",,S",,,,,,,,,"  132","H,,S"
"ASN00015548","2018-07-14","-20.1883","130.0161","340.0","RABBIT FLAT, AS","    0",",,S","  250",",,S","    2",",,S",,,,,,,,,"  138","H,,S"
"ASN00015548","2018-07-15","-20.1883","130.0161","340.0","RABBIT FLAT, AS","    0",",,S","  276",",,S","   15",",,S",,,,,,,,,"  153","H,,S"
"ASN00015548","2018-07-16","-20.1883","130.0161","340.0","RABBIT FLAT, AS","    0",",,S","  280",",,S","   17",",,S",,,,,,,,,"  150","H,,S"
"ASN00015548","2018-07-17","-20.1883","130.0161","340.0","RABBIT FLAT, AS","    0",",,S","  291",",,S","   27",",,S",,,,,,,,,"  157","H,,S"
