"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES","SN32","SN32_ATTRIBUTES","SX32","SX32_ATTRIBUTES"
"USC00412676","2018-05-13","29.6212","-96.366","53.6","EAGLE LAKE RES CTR, TX US","    0",",,7,0800","  333",",,7","  222",",,7",,,"   64",",,7,0800",,,"  239",",,7,0800","    0",",,7","  283",",,7","  422",",,7"
"USC00412676","2018-05-14","29.6212","-96.366","53.6","EAGLE LAKE RES CTR, TX US","    0",",,7,0800","  333",",,7","  228",",,7",,,"   61",",,7,0800",,,"  250",",,7,0800","    0",",,7","  289",",,7","  422",",,7"
"USC00412676","2018-05-15","29.6212","-96.366","53.6","EAGLE LAKE RES CTR, TX US","    0",",,7,0800","  333",",,7","  200",",,7",,,"   58",",,7,0800",,,"  222",",,7,0800","   55",",,7","  289",",,7","  422",",,7"
"USC00412676","2018-05-16","29.6212","-96.366","53.6","EAGLE LAKE RES CTR, TX US","    0",",,7,0800","  339",",,7","  189",",,7",,,"   69",",,7,0800",,,"  250",",,7,0800","   35",",,7","  283",",,7","  428",",,7"
"USC00412676","2018-05-17","29.6212","-96.366","53.6","EAGLE LAKE RES CTR, TX US","    0",",,7,0800","  350",",,7","  206",",,7",,,"   69",",,7,0800",,,"  244",",,7,0800","   43",",,7","  289",",,7","  433",",,7"
"USC00412676","2018-05-18","29.6212","-96.366","53.6","EAGLE LAKE RES CTR, TX US","    0",",,7,0800","  356",",,7","  217",",,7",,,"   71",",,7,0800",,,"  261",",,7,0800","   47",",,7","  300",",,7","  444",",,7"
"USC00412676","2018-05-19","29.6212","-96.366","53.6","EAGLE LAKE RES CTR, TX US","    0",",,7,0800","  339",",,7","  211",",,7",,,"   66",",,7,0800",,,"  256",",,7,0800","    0",",,7","  294",",,7","  450",",,7"
"USC00412676","2018-05-20","29.6212","-96.366","53.6","EAGLE LAKE RES CTR, TX US","    0",",,7,0800","  333",",,7","  228",",,7",,,"   66",",,7,0800",,,"  250",",,7,0800","    0",",,7","  294",",,7","  428",",,7"
"USC00412676","2018-05-21","29.6212","-96.366","53.6","EAGLE LAKE RES CTR, TX US","   79",",,7,0800","  333",",,7","  200",",,7",,,"   41",",,7,0800",,,"  233",",,7,0800","    0",",,7","  250",",,7","  389",",,7"
"USC00412676","2018-05-22","29.6212","-96.366","53.6","EAGLE LAKE RES CTR, TX US","   23",",,7,0800","  272",",,7","  211",",,7",,,"   30",",,7,0800",,,"  250",",,7,0800","   34",",,7","  244",",,7","  306",",,7"
