"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","DASF","DASF_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MDSF","MDSF_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT11","WT11_ATTRIBUTES"
"USC00050825","2018-05-03","39.1025","-107.8988","3002.9","BONHAM RESERVOIR, CO US","   64",",,7,1600","  102",",,7,1600","  686",",,7,1600","   28",",,7","  -33",",,7",,,,,,,,,,,,,,,,,,,,
"USC00050825","2018-05-04","39.1025","-107.8988","3002.9","BONHAM RESERVOIR, CO US","    0",",,7,1600","    0",",,7,1600",,,"   83",",,7","  -44",",,7",,,,,,,,,,,,,,,,,,,,
"USC00050825","2018-05-05","39.1025","-107.8988","3002.9","BONHAM RESERVOIR, CO US","    0",",,7,1600","    0",",,7,1600",,,"  122",",,7","  -22",",,7",,,,,,,,,,,,,,,,,,,,
"USC00050825","2018-05-06","39.1025","-107.8988","3002.9","BONHAM RESERVOIR, CO US","    0",",,7,1600","    0",",,7,1600",,,"  128",",,7","    0",",,7",,,,,,,,,,,,,,,,,,,,
"USC00050825","2018-05-07","39.1025","-107.8988","3002.9","BONHAM RESERVOIR, CO US","    0",",,7,1600","    0",",,7,1600",,,"  139",",,7","  -17",",,7",,,,,,,,,,,,,,,,,,,,
"USC00050825","2018-05-08","39.1025","-107.8988","3002.9","BONHAM RESERVOIR, CO US","    0",",,7,1600","    0",",,7,1600",,,"  150",",,7","   -6",",,7",,,,,,,,,,,,,,,,,,,,
"USC00050825","2018-05-09","39.1025","-107.8988","3002.9","BONHAM RESERVOIR, CO US","    0",",,7,1600","    0",",,7,1600",,,"  150",",,7","   11",",,7",,,,,,,,,,,,,,,,,,,,
"USC00050825","2018-05-10","39.1025","-107.8988","3002.9","BONHAM RESERVOIR, CO US","    0",",,7,1600","    0",",,7,1600",,,"  156",",,7","   28",",,7",,,,,,,,,,,,,,,,,,,,
"USC00050825","2018-05-11","39.1025","-107.8988","3002.9","BONHAM RESERVOIR, CO US","    0",",,7,1600","    0",",,7,1600",,,"  128",",,7","   56",",,7",,,,,,,,,,,,,,,,,,,,
"USC00050825","2018-05-12","39.1025","-107.8988","3002.9","BONHAM RESERVOIR, CO US","    0",",,7,1600","    0",",,7,1600",,,"  128",",,7","   28",",,7",,,,,,,,,,,,,,,,,,,,
