"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","AWND","AWND_ATTRIBUTES","FMTM","FMTM_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WESD","WESD_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES"
"USW00094815","2018-07-06","42.23472","-85.55194","264.6","KALAMAZOO BATTLE CREEK INTERNATIONAL AIRPORT, MI US","    0",",,W",,,,,"  267",",,W","  150",",,W","   30",",,W",,,,,,,,,"   10",",,W","   10",",,W",,,"   76",",,W","  121",",,W",,,,,,,,,,,,,,,,
"USW00094815","2018-07-07","42.23472","-85.55194","264.6","KALAMAZOO BATTLE CREEK INTERNATIONAL AIRPORT, MI US","    0",",,W",,,,,"  283",",,W","  111",",,W","   11",",,W",,,,,,,,,"   60",",,W","  100",",,W",,,"   45",",,W","   63",",,W",,,,,,,,,,,,,,,,
"USW00094815","2018-07-08","42.23472","-85.55194","264.6","KALAMAZOO BATTLE CREEK INTERNATIONAL AIRPORT, MI US","    0",",,W",,,,,"  300",",,W","  117",",,W","   15",",,W",,,,,,,,,"  210",",,W","  190",",,W",,,"   45",",,W","   63",",,W",,,,,,,,,,,,,,,,
"USW00094815","2018-07-09","42.23472","-85.55194","264.6","KALAMAZOO BATTLE CREEK INTERNATIONAL AIRPORT, MI US","    0",",,W",,,,,"  311",",,W","  156",",,W","   31",",,W",,,,,,,,,"  270",",,W","  270",",,W",,,"   72",",,W","   94",",,W",,,,,,,,,,,,,,,,
"USW00094815","2018-07-10","42.23472","-85.55194","264.6","KALAMAZOO BATTLE CREEK INTERNATIONAL AIRPORT, MI US","    0",",,W",,,,,"  317",",,W","  211",",,W","   27",",,W",,,,,,,,,"  330",",,W","  350",",,W",,,"   72",",,W","   89",",,W",,,,,,,,,,,,,,,,
"USW00094815","2018-07-11","42.23472","-85.55194","264.6","KALAMAZOO BATTLE CREEK INTERNATIONAL AIRPORT, MI US","    0",",,W",,,,,"  300",",,W","  161",",,W","   13",",,W",,,,,,,,,"   40",",,W","  350",",,W",,,"   40",",,W","   63",",,W",,,,,,,,,,,,,,,,
"USW00094815","2018-07-12","42.23472","-85.55194","264.6","KALAMAZOO BATTLE CREEK INTERNATIONAL AIRPORT, MI US","    0",",,W",,,,,"  300",",,W","  144",",,W","   17",",,W",,,,,,,,,"  190",",,W","  180",",,W",,,"   58",",,W","   76",",,W",,,,,,,,,,,,,,,,
"USW00094815","2018-07-13","42.23472","-85.55194","264.6","KALAMAZOO BATTLE CREEK INTERNATIONAL AIRPORT, MI US","    0",",,W",,,,,"  322",",,W","  200",",,W","   26",",,W",,,,,,,,,"  200",",,W","  200",",,W",,,"   63",",,W","   76",",,W",,,,,,,,,,,,,,,,
"USW00094815","2018-07-14","42.23472","-85.55194","264.6","KALAMAZOO BATTLE CREEK INTERNATIONAL AIRPORT, MI US","   10",",,W",,,,,"  278",",,W","  211",",,W","   14",",,W",,,,,,,,,"  270",",,W","  310",",,W",,,"   40",",,W","   49",",,W","    1",",,W",,,,,,,,,,,,,,
"USW00094815","2018-07-15","42.23472","-85.55194","264.6","KALAMAZOO BATTLE CREEK INTERNATIONAL AIRPORT, MI US","  300",",,W",,,,,"  339",",,W","  194",",,W","   15",",,W",,,,,,,,,"  260",",,W","  270",",,W",,,"   94",",,W","  112",",,W","    1",",,W",,,"    1",",,W",,,,,,,"    1",",,W",,
