"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WESD","WESD_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT11","WT11_ATTRIBUTES"
"USC00473268","2018-07-07","44.49824","-88.11205","207.9","GREEN BAY WEATHER FORECAST OFFICE, WI US","    0",",,7,2400","    0",",,7,2400","    0",",,7,2400","  267",",,7","  106",",,7","  167",",,7,2400",,,,,,,,,,,,,,
"USC00473268","2018-07-08","44.49824","-88.11205","207.9","GREEN BAY WEATHER FORECAST OFFICE, WI US","    0",",,7,2400","    0",",,7,2400","    0",",,7,2400","  289",",,7","  139",",,7","  206",",,7,2400",,,,,,,,,,,,,,
"USC00473268","2018-07-09","44.49824","-88.11205","207.9","GREEN BAY WEATHER FORECAST OFFICE, WI US","    0",",,7,2400","    0",",,7,2400","    0",",,7,2400","  317",",,7","  183",",,7","  233",",,7,2400",,,,,,,,,,,,,,
"USC00473268","2018-07-10","44.49824","-88.11205","207.9","GREEN BAY WEATHER FORECAST OFFICE, WI US","    0",",,7,2400","    0",",,7,2400","    0",",,7,2400","  300",",,7","  167",",,7","  172",",,7,2400",,,,,,,,,,,,,,
"USC00473268","2018-07-11","44.49824","-88.11205","207.9","GREEN BAY WEATHER FORECAST OFFICE, WI US","    0",",,7,2400","    0",",,7,2400","    0",",,7,2400","  272",",,7","  150",",,7","  189",",,7,2400",,,,,,,,,,,,,,
"USC00473268","2018-07-12","44.49824","-88.11205","207.9","GREEN BAY WEATHER FORECAST OFFICE, WI US","   94",",,7,2400","    0",",,7,2400","    0",",,7,2400","  278",",,7","  167",",,7","  244",",,7,2400",,,,,,,,,,,,,,
"USC00473268","2018-07-13","44.49824","-88.11205","207.9","GREEN BAY WEATHER FORECAST OFFICE, WI US","   99",",,7,2400","    0",",,7,2400","    0",",,7,2400","  283",",,7","  211",",,7","  217",",,7,2400",,,,,,,,,,,,,,
"USC00473268","2018-07-14","44.49824","-88.11205","207.9","GREEN BAY WEATHER FORECAST OFFICE, WI US","  188",",,7,2400","    0",",,7,2400","    0",",,7,2400","  294",",,7","  206",",,7","  206",",,7,2400",,,,,,,,,,,,,,
"USC00473268","2018-07-15","44.49824","-88.11205","207.9","GREEN BAY WEATHER FORECAST OFFICE, WI US","    0","T,,7,2400","    0",",,7,2400","    0",",,7,2400","  306",",,7","  194",",,7","  239",",,7,2400",,,,,,,,,,,,,,
"USC00473268","2018-07-16","44.49824","-88.11205","207.9","GREEN BAY WEATHER FORECAST OFFICE, WI US","    0",",,7,2400","    0",",,7,2400","    0",",,7,2400","  283",",,7","  189",",,7","  189",",,7,2400",,,,,,,,,,,,,,
"USC00473268","2018-07-17","44.49824","-88.11205","207.9","GREEN BAY WEATHER FORECAST OFFICE, WI US","    0",",,7,2400","    0",",,7,2400","    0",",,7,2400","  239",",,7","  139",",,7","  139",",,7,2400",,,,,,,,,,,,,,
"USC00473268","2018-07-18","44.49824","-88.11205","207.9","GREEN BAY WEATHER FORECAST OFFICE, WI US","    0",",,7,2400","    0",",,7,2400","    0",",,7,2400","  256",",,7","  122",",,7","  161",",,7,2400",,,,,,,,,,,,,,
