"USC00238770","2018-08-01","39.2103","-93.5297","243.8","WAVERLY 3 W, MO US","    0",",,7,0700","    0",",,7","    0",",,7","  289",",,7","  167",",,7",,,,,"  172",",,7,0700",,,,,,,,
"USC00238770","2018-08-02","39.2103","-93.5297","243.8","WAVERLY 3 W, MO US","    0",",,7,0700","    0",",,7","    0",",,7","  311",",,7","  172",",,7",,,,,"  189",",,7,0700",,,,,,,,
"USC00238770","2018-08-03","39.2103","-93.5297","243.8","WAVERLY 3 W, MO US","    0",",,7,0700","    0",",,7","    0",",,7","  333",",,7","  183",",,7",,,,,"  183",",,7,0700",,,,,,,,
"USC00238770","2018-08-04","39.2103","-93.5297","243.8","WAVERLY 3 W, MO US","    0",",,7,0700","    0",",,7","    0",",,7","  339",",,7","  183",",,7",,,,,"  206",",,7,0700",,,,,,,,
"USC00238770","2018-08-05","39.2103","-93.5297","243.8","WAVERLY 3 W, MO US","    0",",,7,0700","    0",",,7","    0",",,7","  333",",,7","  206",",,7",,,,,"  211",",,7,0700",,,,,,,,
"USC00238770","2018-08-06","39.2103","-93.5297","243.8","WAVERLY 3 W, MO US","    0",",,7,0700","    0",",,7","    0",",,7","  356",",,7","  211",",,7",,,,,"  233",",,7,0700",,,,,,,,
"USC00238770","2018-08-07","39.2103","-93.5297","243.8","WAVERLY 3 W, MO US","  183",",,7,0700","    0",",,7","    0",",,7","  339",",,7","  200",",,7",,,,,"  200",",,7,0700",,,,,,,,
"USC00238770","2018-08-08","39.2103","-93.5297","243.8","WAVERLY 3 W, MO US","   28",",,7,0700","    0",",,7","    0",",,7","  289",",,7","  200",",,7",,,,,"  206",",,7,0700",,,,,,,,
"USC00238770","2018-08-09","39.2103","-93.5297","243.8","WAVERLY 3 W, MO US","    0",",,7,0700","    0",",,7","    0",",,7","  311",",,7","  200",",,7",,,,,"  200",",,7,0700",,,,,,,,
"USC00238770","2018-08-10","39.2103","-93.5297","243.8","WAVERLY 3 W, MO US","    0",",,7,0700","    0",",,7","    0",",,7","  328",",,7","  200",",,7",,,,,"  217",",,7,0700",,,,,,,,
"USC00238770","2018-08-11","39.2103","-93.5297","243.8","WAVERLY 3 W, MO US","    0","T,,7,0700","    0",",,7","    0",",,7","  306",",,7","  200",",,7",,,,,"  200",",,7,0700",,,,,,,,
"USC00238770","2018-08-12","39.2103","-93.5297","243.8","WAVERLY 3 W, MO US","    0",",,7,0700","    0",",,7","    0",",,7","  311",",,7","  189",",,7",,,,,"  194",",,7,0700",,,,,,,,
"USC00238770","2018-08-13","39.2103","-93.5297","243.8","WAVERLY 3 W, MO US","    0",",,7,0700","    0",",,7","    0",",,7","  322",",,7","  194",",,7",,,,,"  200",",,7,0700",,,,,,,,
"USC00238770","2018-08-14","39.2103","-93.5297","243.8","WAVERLY 3 W, MO US","    0",",,7,0700","    0",",,7","    0",",,7","  333",",,7","  200",",,7",,,,,"  217",",,7,0700",,,,,,,,
"USC00238770","2018-08-15","39.2103","-93.5297","243.8","WAVERLY 3 W, MO US","  163",",,7,0700","    0",",,7","    0",",,7","  272",",,7","  211",",,7",,,,,"  217",",,7,0700",,,,,,,,
"USC00238770","2018-08-16","39.2103","-93.5297","243.8","WAVERLY 3 W, MO US","    0",",,7,0700","    0",",,7","    0",",,7","  289",",,7","  217",",,7",,,,,"  217",",,7,0700",,,,,,,,
"USC00238770","2018-08-17","39.2103","-93.5297","243.8","WAVERLY 3 W, MO US","  229",",,7,0700","    0",",,7","    0",",,7","  322",",,7","  206",",,7",,,,,"  206",",,7,0700",,,,,,,,
"USC00238770","2018-08-18","39.2103","-93.5297","243.8","WAVERLY 3 W, MO US","    0",",,7,0700","    0",",,7","    0",",,7","  289",",,7","  206",",,7",,,,,"  206",",,7,0700",,,,,,,,
"USC00238770","2018-08-19","39.2103","-93.5297","243.8","WAVERLY 3 W, MO US","    0",",,7,0700","    0",",,7","    0",",,7","  289",",,7","  200",",,7",,,,,"  200",",,7,0700",,,,,,,,
"USC00238770","2018-08-20","39.2103","-93.5297","243.8","WAVERLY 3 W, MO US","   69",",,7,0700","    0",",,7","    0",",,7","  272",",,7","  194",",,7",,,,,"  194",",,7,0700",,,,,,,,
"USC00238770","2018-08-21","39.2103","-93.5297","243.8","WAVERLY 3 W, MO US","   10",",,7,0700","    0",",,7","    0",",,7","  244",",,7","  189",",,7",,,,,"  189",",,7,0700",,,,,,,,
"USC00238770","2018-08-22","39.2103","-93.5297","243.8","WAVERLY 3 W, MO US","    0",",,7,0700","    0",",,7","    0",",,7","  278",",,7","  167",",,7",,,,,"  167",",,7,0700",,,,,,,,
"USC00238770","2018-08-23","39.2103","-93.5297","243.8","WAVERLY 3 W, MO US","    0",",,7,0700","    0",",,7","    0",",,7","  261",",,7","  150",",,7",,,,,"  150",",,7,0700",,,,,,,,
"USC00238770","2018-08-24","39.2103","-93.5297","243.8","WAVERLY 3 W, MO US","   38",",,7,0700","    0",",,7","    0",",,7","  206",",,7","  150",",,7",,,,,"  189",",,7,0700",,,,,,,,
"USC00238770","2018-08-25","39.2103","-93.5297","243.8","WAVERLY 3 W, MO US","    0",",,7,0700","    0",",,7","    0",",,7","  306",",,7","  189",",,7",,,,,"  239",",,7,0700",,,,,,,,
"USC00238770","2018-08-26","39.2103","-93.5297","243.8","WAVERLY 3 W, MO US","    0",",,7,0700","    0",",,7","    0",",,7","  339",",,7","  239",",,7",,,,,"  239",",,7,0700",,,,,,,,
"USC00238770","2018-08-27","39.2103","-93.5297","243.8","WAVERLY 3 W, MO US","    0",",,7,0700","    0",",,7","    0",",,7","  333",",,7","  239",",,7",,,,,"  239",",,7,0700",,,,,,,,
"USC00238770","2018-08-28","39.2103","-93.5297","243.8","WAVERLY 3 W, MO US","    0",",,7,0700","    0",",,7","    0",",,7","  344",",,7","  239",",,7",,,,,"  244",",,7,0700",,,,,,,,
"USC00238770","2018-08-29","39.2103","-93.5297","243.8","WAVERLY 3 W, MO US","  168",",,7,0700","    0",",,7","    0",",,7","  356",",,7","  178",",,7",,,,,"  178",",,7,0700",,,,,,,,
"USC00238770","2018-08-30","39.2103","-93.5297","243.8","WAVERLY 3 W, MO US","    0",",,7,0700","    0",",,7","    0",",,7","  228",",,7","  178",",,7",,,,,"  194",",,7,0700",,,,,,,,
"USC00238770","2018-08-31","39.2103","-93.5297","243.8","WAVERLY 3 W, MO US","   28",",,7,0700","    0",",,7","    0",",,7","  256",",,7","  194",",,7",,,,,"  194",",,7,0700",,,,,,,,
"USC00238770","2018-09-01","39.2103","-93.5297","243.8","WAVERLY 3 W, MO US","  312",",,7,0700","    0",",,7","    0",",,7","  289",",,7","  194",",,7",,,,,"  233",",,7,0700","    1",",,7",,,,,,
"USC00238770","2018-09-02","39.2103","-93.5297","243.8","WAVERLY 3 W, MO US","    3",",,7,0700","    0",",,7","    0",",,7","  328",",,7","  217",",,7",,,,,"  217",",,7,0700",,,,,,,,
"USC00238770","2018-09-03","39.2103","-93.5297","243.8","WAVERLY 3 W, MO US","    0",",,7,0700","    0",",,7","    0",",,7","  317",",,7","  217",",,7",,,,,"  233",",,7,0700",,,,,,,,
"USC00238770","2018-09-04","39.2103","-93.5297","243.8","WAVERLY 3 W, MO US","    0",",,7,0700","    0",",,7","    0",",,7","  322",",,7","  217",",,7",,,,,"  217",",,7,0700",,,,,,,,
"USC00238770","2018-09-05","39.2103","-93.5297","243.8","WAVERLY 3 W, MO US","    3",",,7,0700","    0",",,7","    0",",,7","  317",",,7","  217",",,7",,,,,"  228",",,7,0700",,,,,,,,
"USC00238770","2018-09-06","39.2103","-93.5297","243.8","WAVERLY 3 W, MO US","   79",",,7,0700","    0",",,7","    0",",,7","  283",",,7","  217",",,7",,,,,"  217",",,7,0700",,,,,,,,
"USC00238770","2018-09-07","39.2103","-93.5297","243.8","WAVERLY 3 W, MO US","   41",",,7,0700","    0",",,7","    0",",,7","  272",",,7","  200",",,7",,,,,"  200",",,7,0700",,,,,,,,
"USC00238770","2018-09-08","39.2103","-93.5297","243.8","WAVERLY 3 W, MO US","   66",",,7,0700","    0",",,7","    0",",,7","  200",",,7","  161",",,7",,,,,"  161",",,7,0700",,,,,,,,
"USC00238770","2018-09-09","39.2103","-93.5297","243.8","WAVERLY 3 W, MO US","   38",",,7,0700","    0",",,7","    0",",,7","  178",",,7","  133",",,7",,,,,"  133",",,7,0700",,,,,,,,
"USC00238770","2018-09-10","39.2103","-93.5297","243.8","WAVERLY 3 W, MO US","    0",",,7,0700","    0",",,7","    0",",,7","  239",",,7",,,,,,,"  133",",,7,0700",,,,,,,,
