"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","DASF","DASF_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MDSF","MDSF_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","SN32","SN32_ATTRIBUTES","SN52","SN52_ATTRIBUTES","SX32","SX32_ATTRIBUTES","SX52","SX52_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT11","WT11_ATTRIBUTES"
"USC00126830","2018-07-07","40.0738","-87.5066","186.2","PERRYSVILLE 4 WNW, IN US","    0",",,7,0900","    0",",,7,0900","    0",",,7,0900","  261",",,7","  128",",,7",,,,,,,,,"  156",",,7,0900","  200",",,7","  222",",,7","  289",",,7","  278",",,7",,,,,,,,,,,,
"USC00126830","2018-07-08","40.0738","-87.5066","186.2","PERRYSVILLE 4 WNW, IN US","    0",",,7,0900","    0",",,7,0900","    0",",,7,0900","  261",",,7","  122",",,7",,,,,,,,,"  144",",,7,0900","  200",",,7","  222",",,7","  300",",,7","  283",",,7","    1",",,7",,,,,,,,,,
"USC00126830","2018-07-09","40.0738","-87.5066","186.2","PERRYSVILLE 4 WNW, IN US","    0",",,7,0900","    0",",,7,0900","    0",",,7,0900","  300",",,7","  139",",,7",,,,,,,,,"  183",",,7,0900","  206",",,7","  222",",,7","  344",",,7","  306",",,7","    1",",,7",,,,,,,,,,
"USC00126830","2018-07-10","40.0738","-87.5066","186.2","PERRYSVILLE 4 WNW, IN US","    0",",,7,0900","    0",",,7,0900","    0",",,7,0900","  328",",,7","  178",",,7",,,,,,,,,"  239",",,7,0900","  244",",,7","  244",",,7","  367",",,7","  317",",,7","    1",",,7",,,,,,,,,,
"USC00126830","2018-07-11","40.0738","-87.5066","186.2","PERRYSVILLE 4 WNW, IN US","    0",",,7,0900","    0",",,7,0900","    0",",,7,0900","  328",",,7","  150",",,7",,,,,,,,,"  156",",,7,0900","  233",",,7","  244",",,7","  367",",,7","  322",",,7",,,,,,,,,,,,
"USC00126830","2018-07-12","40.0738","-87.5066","186.2","PERRYSVILLE 4 WNW, IN US","    0",",,7,0900","    0",",,7,0900","    0",",,7,0900","  294",",,7","  156",",,7",,,,,,,,,"  178",",,7,0900","  233",",,7","  244",",,7","  356",",,7","  311",",,7","    1",",,7",,,,,,,,,,
"USC00126830","2018-07-13","40.0738","-87.5066","186.2","PERRYSVILLE 4 WNW, IN US","    0",",,7,0900","    0",",,7,0900","    0",",,7,0900","  300",",,7","  156",",,7",,,,,,,,,"  161",",,7,0900","  233",",,7","  244",",,7","  361",",,7","  311",",,7","    1",",,7",,,,,,,,,,
"USC00126830","2018-07-14","40.0738","-87.5066","186.2","PERRYSVILLE 4 WNW, IN US","    0",",,7,0900","    0",",,7,0900","    0",",,7,0900","  317",",,7","  156",",,7",,,,,,,,,"  178",",,7,0900","  250",",,7","  250",",,7","  389",",,7","  322",",,7","    1",",,7",,,,,,,,,,
"USC00126830","2018-07-15","40.0738","-87.5066","186.2","PERRYSVILLE 4 WNW, IN US","   25",",,7,0900","    0",",,7,0900","    0",",,7,0900","  294",",,7","  172",",,7",,,,,,,,,"  222",",,7,0900","  250",",,7","  256",",,7","  289",",,7","  272",",,7","    1",",,7","    1",",,7",,,,,,,,
"USC00126830","2018-07-16","40.0738","-87.5066","186.2","PERRYSVILLE 4 WNW, IN US","    0","T,,7,0900","    0",",,7,0900","    0",",,7,0900","  300",",,7","  211",",,7",,,,,,,,,"  217",",,7,0900","  256",",,7","  256",",,7","  333",",,7","  300",",,7","    1",",,7",,,,,,,,,,
