"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","ACMH","ACMH_ATTRIBUTES","ACSH","ACSH_ATTRIBUTES","AWND","AWND_ATTRIBUTES","FMTM","FMTM_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WESD","WESD_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT07","WT07_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES","WT11","WT11_ATTRIBUTES","WT12","WT12_ATTRIBUTES","WT13","WT13_ATTRIBUTES","WT14","WT14_ATTRIBUTES","WT15","WT15_ATTRIBUTES","WT16","WT16_ATTRIBUTES","WT17","WT17_ATTRIBUTES","WT18","WT18_ATTRIBUTES","WT22","WT22_ATTRIBUTES","WV01","WV01_ATTRIBUTES","WV07","WV07_ATTRIBUTES","WV20","WV20_ATTRIBUTES"
"USW00093102","2018-05-19","39.41667","-118.71667","1199.1","FALLON NAAS, NV US","    0","T,,W",,,,,"  261",",,W","  111",",,W",,,,,"   28",",,W",,," 1758",",,W","  130",",,W","  130",",,W",,,,,"  112",",,W","  157",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00093102","2018-05-20","39.41667","-118.71667","1199.1","FALLON NAAS, NV US","   43",",,W",,,,,"  256",",,W","  122",",,W",,,,,"   21",",,W",,," 2157",",,W","  240",",,W","  140",",,W",,,,,"   89",",,W","  116",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00093102","2018-05-21","39.41667","-118.71667","1199.1","FALLON NAAS, NV US","   10",",,W",,,,,"  233",",,W","  122",",,W",,,,,"   25",",,W",,," 1524",",,W","  120",",,W","  160",",,W",,,,,"   89",",,W","  121",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00093102","2018-05-22","39.41667","-118.71667","1199.1","FALLON NAAS, NV US","    0",",,W",,,,,"  244",",,W","  122",",,W",,,,,"   18",",,W",,," 2136",",,W","  170",",,W","  160",",,W",,,,,"   76",",,W","   85",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00093102","2018-05-23","39.41667","-118.71667","1199.1","FALLON NAAS, NV US","    3",",,W",,,,,"  267",",,W","  128",",,W",,,,,"   36",",,W",,," 1659",",,W","  250",",,W","  160",",,W",,,,,"  112",",,W","  143",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00093102","2018-05-24","39.41667","-118.71667","1199.1","FALLON NAAS, NV US","    3",",,W",,,,,"  294",",,W","  117",",,W",,,,,"   31",",,W",,," 1800",",,W","  260",",,W","  260",",,W",,,,,"  143",",,W","  170",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00093102","2018-05-25","39.41667","-118.71667","1199.1","FALLON NAAS, NV US","    0","T,,W",,,,,"  200",",,W","  122",",,W",,,,,"   62",",,W",,," 1325",",,W","  280",",,W","  270",",,W",,,,,"  130",",,W","  152",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00093102","2018-05-26","39.41667","-118.71667","1199.1","FALLON NAAS, NV US","    0","T,,W",,,,,"  189",",,W","   72",",,W",,,,,"   41",",,W",,," 1314",",,W","  290",",,W","  300",",,W",,,,,"   98",",,W","  121",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00093102","2018-05-27","39.41667","-118.71667","1199.1","FALLON NAAS, NV US","    0","T,,W",,,,,"  233",",,W","  111",",,W",,,,,"   24",",,W",,," 1528",",,W","   40",",,W","   30",",,W",,,,,"   72",",,W","   89",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00093102","2018-05-28","39.41667","-118.71667","1199.1","FALLON NAAS, NV US","    0",",,W",,,,,"  278",",,W","   94",",,W",,,,,"   27",",,W",,," 1421",",,W","  330",",,W","  350",",,W",,,,,"   72",",,W","   89",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00093102","2018-05-29","39.41667","-118.71667","1199.1","FALLON NAAS, NV US","    0","T,,W",,,,,"  311",",,W","  111",",,W",,,,,"   24",",,W",,," 1906",",,W","  220",",,W","  220",",,W",,,,,"  116",",,W","  139",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00093102","2018-05-30","39.41667","-118.71667","1199.1","FALLON NAAS, NV US","    0",",,W",,,,,"  300",",,W","  156",",,W",,,,,"   54",",,W",,," 1558",",,W","  260",",,W","  270",",,W",,,,,"  134",",,W","  165",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00093102","2018-05-31","39.41667","-118.71667","1199.1","FALLON NAAS, NV US","    0",",,W",,,,,"  250",",,W","  111",",,W",,,,,"   47",",,W",,," 1335",",,W","  290",",,W","  250",",,W",,,,,"  130",",,W","  161",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00093102","2018-06-01","39.41667","-118.71667","1199.1","FALLON NAAS, NV US","    0",",,W",,,,,"  250",",,W","   56",",,W",,,,,"   25",",,W",,," 1355",",,W","  350",",,W","   10",",,W",,,,,"   54",",,W","   76",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
