"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAEV","DAEV_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","DASF","DASF_ATTRIBUTES","DAWM","DAWM_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","MDEV","MDEV_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MDSF","MDSF_ATTRIBUTES","MDWM","MDWM_ATTRIBUTES","MNPN","MNPN_ATTRIBUTES","MXPN","MXPN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES","WT11","WT11_ATTRIBUTES"
"USC00148648","2018-04-02","39.4031","-99.4192","567.8","WEBSTER DAM, KS US","    0",",,7,0700","    0",",,7,0700","    0",",,7,0700","   33",",,7","  -67",",,7",,,,,,,,,"   30",",,7,0700",,,,,,,,,,,,,"  -56",",,7,0700","  341",",,7",,
"USC00148648","2018-04-03","39.4031","-99.4192","567.8","WEBSTER DAM, KS US","    0",",,7,0700","    0",",,7,0700","    0",",,7,0700","  183",",,7","  -61",",,7",,,,,,,,,"   36",",,7,0700",,,,,,,,,,,,,"   11",",,7,0700","  145",",,7",,
"USC00148648","2018-04-04","39.4031","-99.4192","567.8","WEBSTER DAM, KS US","    0",",,7,0700","    0",",,7,0700","    0",",,7,0700","   78",",,7"," -111",",,7",,,,,,,,,"   10",",,7,0700",,,,,,,,,,,,," -111",",,7,0700","   90",",,7",,
"USC00148648","2018-04-05","39.4031","-99.4192","567.8","WEBSTER DAM, KS US","    0",",,7,0700","    0",",,7,0700","    0",",,7,0700","  206",",,7"," -111",",,7",,,,,,,,,"   66",",,7,0700",,,,,,,,,,,,,"   22",",,7,0700","   89",",,7",,
"USC00148648","2018-04-06","39.4031","-99.4192","567.8","WEBSTER DAM, KS US","    0",",,7,0700","    0",",,7,0700","    0",",,7,0700","  206",",,7","    0",",,7",,,,,,,,,"   58",",,7,0700",,,,,,,,,,,,,"    0",",,7,0700","  103",",,7",,
"USC00148648","2018-04-07","39.4031","-99.4192","567.8","WEBSTER DAM, KS US",,,,,,,"   11",",,7"," -111",",,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00148648","2018-04-08","39.4031","-99.4192","567.8","WEBSTER DAM, KS US",,,,,,,"   61",",,7"," -133",",,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00148648","2018-04-09","39.4031","-99.4192","567.8","WEBSTER DAM, KS US",,,"    0",",,7,0700","    0",",,7,0700","  211",",,7","   17",",,7",,,"    3",",,7",,,,,"   48",",,7,0700",,,"    0","T,,7",,,,,,,,,"   22",",,7,0700","  288",",,7",,
"USC00148648","2018-04-10","39.4031","-99.4192","567.8","WEBSTER DAM, KS US","    0",",,7,0700","    0",",,7,0700","    0",",,7,0700","  111",",,7","  -33",",,7",,,,,,,,,"   33",",,7,0700",,,,,,,,,,,,,"  -22",",,7,0700","   45",",,7",,
"USC00148648","2018-04-11","39.4031","-99.4192","567.8","WEBSTER DAM, KS US","    0",",,7,0700","    0",",,7,0700","    0",",,7,0700","  244",",,7","  -28",",,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00148648","2018-04-12","39.4031","-99.4192","567.8","WEBSTER DAM, KS US","    0",",,7,0700","    0",",,7,0700","    0",",,7,0700","  283",",,7","   67",",,7",,,,,,,,,"   91",",,7,0700",,,,,,,,,,,,,"   72",",,7,0700","   71",",,7",,
"USC00148648","2018-04-13","39.4031","-99.4192","567.8","WEBSTER DAM, KS US","    0",",,7,0700","    0",",,7,0700","    0",",,7,0700","  300",",,7","   72",",,7",,,,,,,,,"   56",",,7,0700",,,,,,,,,,,,,"   89",",,7,0700","   79",",,7",,
"USC00148648","2018-04-14","39.4031","-99.4192","567.8","WEBSTER DAM, KS US",,,,,,,"   94",",,7","  -28",",,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00148648","2018-04-15","39.4031","-99.4192","567.8","WEBSTER DAM, KS US",,,,,,,"   -6",",,7","  -61",",,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00148648","2018-04-16","39.4031","-99.4192","567.8","WEBSTER DAM, KS US",,,"    0",",,7,0700","    0",",,7,0700","   83",",,7","  -94",",,7",,,"    3",",,7",,,,,"   56",",,7,0700",,,"    0","T,,7",,,,,,,,,"  -94",",,7,0700"," 3560",",,7",,
"USC00148648","2018-04-17","39.4031","-99.4192","567.8","WEBSTER DAM, KS US","    0",",,7,0700","    0",",,7,0700","    0",",,7,0700","  167",",,7"," -100",",,7",,,,,,,,,"   36",",,7,0700",,,,,,,,,,,,,"  -11",",,7,0700","   60",",,7",,
"USC00148648","2018-04-18","39.4031","-99.4192","567.8","WEBSTER DAM, KS US","    0",",,7,0700","    0",",,7,0700","    0",",,7,0700","  244",",,7","  -11",",,7",,,,,,,,,"   66",",,7,0700",,,,,,,,,,,,,"   56",",,7,0700","  129",",,7",,
"USC00148648","2018-04-19","39.4031","-99.4192","567.8","WEBSTER DAM, KS US","    0",",,7,0700","    0",",,7,0700","    0",",,7,0700","  161",",,7","  -33",",,7",,,,,,,,,"   58",",,7,0700",,,,,,,,,,,,,"  -33",",,7,0700","  101",",,7",,
"USC00148648","2018-04-20","39.4031","-99.4192","567.8","WEBSTER DAM, KS US","    0",",,7,0700","    0",",,7,0700","    0",",,7,0700","  178",",,7","  -33",",,7",,,,,,,,,"   51",",,7,0700",,,,,,,,,,,,,"   61",",,7,0700","   61",",,7",,
"USC00148648","2018-04-21","39.4031","-99.4192","567.8","WEBSTER DAM, KS US",,,,,,,"   94",",,7","   50",",,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00148648","2018-04-22","39.4031","-99.4192","567.8","WEBSTER DAM, KS US",,,,,,,"  139",",,7","   50",",,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00148648","2018-04-23","39.4031","-99.4192","567.8","WEBSTER DAM, KS US",,,"    0",",,7,0700","    0",",,7,0700","  194",",,7","   39",",,7",,,"    3",",,7",,,,,"   53",",,7,0700",,,"   89",",,7",,,,,,,,,"   44",",,7,0700","  209",",,7",,
"USC00148648","2018-04-24","39.4031","-99.4192","567.8","WEBSTER DAM, KS US","    0",",,7,0700","    0",",,7,0700","    0",",,7,0700","  239",",,7","   33",",,7",,,,,,,,,"   53",",,7,0700",,,,,,,,,,,,,"  100",",,7,0700","   31",",,7",,
"USC00148648","2018-04-25","39.4031","-99.4192","567.8","WEBSTER DAM, KS US","    0",",,7,0700","    0",",,7,0700","    0",",,7,0700","  122",",,7","   44",",,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,
