"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES"
"ASN00086068","2018-06-13","-37.7408","145.0972","66.1","VIEWBANK ARPANSA, AS","    0",",,a","  131",",,a","   90",",,a",,,,
"ASN00086068","2018-06-14","-37.7408","145.0972","66.1","VIEWBANK ARPANSA, AS","   76",",,a","  136",",,a","   82",",,a",,,,
"ASN00086068","2018-06-15","-37.7408","145.0972","66.1","VIEWBANK ARPANSA, AS","    6",",,a","  134",",,a","   90",",,a",,,,
"ASN00086068","2018-06-16","-37.7408","145.0972","66.1","VIEWBANK ARPANSA, AS","   14",",,a","  124",",,a","   61",",,a",,,,
"ASN00086068","2018-06-17","-37.7408","145.0972","66.1","VIEWBANK ARPANSA, AS","  212",",,a","  128",",,a","   72",",,a",,,,
"ASN00086068","2018-06-18","-37.7408","145.0972","66.1","VIEWBANK ARPANSA, AS","  190",",,a","  127",",,a","   86",",,a",,,,
"ASN00086068","2018-06-19","-37.7408","145.0972","66.1","VIEWBANK ARPANSA, AS","    0",",,a","  136",",,a","   -1",",,a",,,,
"ASN00086068","2018-06-20","-37.7408","145.0972","66.1","VIEWBANK ARPANSA, AS","    0",",,a","  147",",,a","   17",",,a",,,,
"ASN00086068","2018-06-21","-37.7408","145.0972","66.1","VIEWBANK ARPANSA, AS","    0",",,a","  157",",,a","    8",",,a",,,,
"ASN00086068","2018-06-22","-37.7408","145.0972","66.1","VIEWBANK ARPANSA, AS","    0",",,a","  148",",,a","   16",",,a",,,,
"ASN00086068","2018-06-23","-37.7408","145.0972","66.1","VIEWBANK ARPANSA, AS","    0",",,a","  116",",,a","   35",",,a",,,,
"ASN00086068","2018-06-24","-37.7408","145.0972","66.1","VIEWBANK ARPANSA, AS","   10",",,a","  122",",,a","   76",",,a",,,,
"ASN00086068","2018-06-25","-37.7408","145.0972","66.1","VIEWBANK ARPANSA, AS","    0",",,a","  120",",,a","   71",",,a",,,,
"ASN00086068","2018-06-26","-37.7408","145.0972","66.1","VIEWBANK ARPANSA, AS","    0",",,a","  138",",,a","   73",",,a",,,,
"ASN00086068","2018-06-27","-37.7408","145.0972","66.1","VIEWBANK ARPANSA, AS","    0",",,a","  113",",,a","   28",",,a",,,,
"ASN00086068","2018-06-28","-37.7408","145.0972","66.1","VIEWBANK ARPANSA, AS","    2",",,a","   92",",,a","   41",",,a",,,,
"ASN00086068","2018-06-29","-37.7408","145.0972","66.1","VIEWBANK ARPANSA, AS","    0",",,a","  120",",,a","   52",",,a",,,,
"ASN00086068","2018-06-30","-37.7408","145.0972","66.1","VIEWBANK ARPANSA, AS","    2",",,a","  135",",,a","   87",",,a",,,,
"ASN00086068","2018-07-01","-37.7408","145.0972","66.1","VIEWBANK ARPANSA, AS","   14",",,a","  146",",,a","    9",",,a",,,,
"ASN00086068","2018-07-02","-37.7408","145.0972","66.1","VIEWBANK ARPANSA, AS","    0",",,a","  141",",,a","   -3",",,a",,,,
"ASN00086068","2018-07-03","-37.7408","145.0972","66.1","VIEWBANK ARPANSA, AS","    0",",,a","  155",",,a","   18",",,a",,,,
"ASN00086068","2018-07-04","-37.7408","145.0972","66.1","VIEWBANK ARPANSA, AS","    0",",,a","  174",",,a","  109",",,a",,,,
"ASN00086068","2018-07-05","-37.7408","145.0972","66.1","VIEWBANK ARPANSA, AS","    0",",,a","  193",",,a","  127",",,a",,,,
"ASN00086068","2018-07-06","-37.7408","145.0972","66.1","VIEWBANK ARPANSA, AS","    0",",,a","  147",",,a","  123",",,a",,,,
"ASN00086068","2018-07-07","-37.7408","145.0972","66.1","VIEWBANK ARPANSA, AS","    8",",,a","  126",",,a","   91",",,a",,,,
"ASN00086068","2018-07-08","-37.7408","145.0972","66.1","VIEWBANK ARPANSA, AS","   14",",,a","  139",",,a","   85",",,a",,,,
"ASN00086068","2018-07-09","-37.7408","145.0972","66.1","VIEWBANK ARPANSA, AS","   18",",,a","  138",",,a","   90",",,a",,,,
"ASN00086068","2018-07-10","-37.7408","145.0972","66.1","VIEWBANK ARPANSA, AS","    0",",,a","  119",",,a","   80",",,a",,,,
"ASN00086068","2018-07-11","-37.7408","145.0972","66.1","VIEWBANK ARPANSA, AS","    0",",,a","  114",",,a","   57",",,a",,,,
"ASN00086068","2018-07-12","-37.7408","145.0972","66.1","VIEWBANK ARPANSA, AS","    0",",,a","  111",",,a","   14",",,a",,,,
"ASN00086068","2018-07-13","-37.7408","145.0972","66.1","VIEWBANK ARPANSA, AS","    0",",,a","  137",",,a","   25",",,a",,,,
"ASN00086068","2018-07-14","-37.7408","145.0972","66.1","VIEWBANK ARPANSA, AS","    0",",,a","  149",",,a","   18",",,a",,,,
"ASN00086068","2018-07-15","-37.7408","145.0972","66.1","VIEWBANK ARPANSA, AS","    0",",,a","  136",",,a","   35",",,a",,,,
"ASN00086068","2018-07-16","-37.7408","145.0972","66.1","VIEWBANK ARPANSA, AS","    2",",,a","  127",",,a","   81",",,a",,,,
"ASN00086068","2018-07-17","-37.7408","145.0972","66.1","VIEWBANK ARPANSA, AS","    0",",,a","  170",",,a","   80",",,a",,,,
"ASN00086068","2018-07-18","-37.7408","145.0972","66.1","VIEWBANK ARPANSA, AS","   16",",,a","  142",",,a","   58",",,a",,,,
"ASN00086068","2018-07-19","-37.7408","145.0972","66.1","VIEWBANK ARPANSA, AS","    0",",,a","  168",",,a","   80",",,a",,,,
"ASN00086068","2018-07-20","-37.7408","145.0972","66.1","VIEWBANK ARPANSA, AS",,,"  117",",,a","   54",",,a",,,,
"ASN00086068","2018-07-21","-37.7408","145.0972","66.1","VIEWBANK ARPANSA, AS","   12",",,a","  129",",,a","   36",",,a",,,,
"ASN00086068","2018-07-22","-37.7408","145.0972","66.1","VIEWBANK ARPANSA, AS","    0",",,a","  144",",,a","   62",",,a",,,,
"ASN00086068","2018-07-23","-37.7408","145.0972","66.1","VIEWBANK ARPANSA, AS","    0",",,a","  139",",,a","   85",",,a",,,,
"ASN00086068","2018-07-24","-37.7408","145.0972","66.1","VIEWBANK ARPANSA, AS","   14",",,a","  152",",,a","   76",",,a",,,,
"ASN00086068","2018-07-25","-37.7408","145.0972","66.1","VIEWBANK ARPANSA, AS","   80",",,a","  155",",,a","   78",",,a",,,,
"ASN00086068","2018-07-26","-37.7408","145.0972","66.1","VIEWBANK ARPANSA, AS","    6",",,a","  141",",,a","   60",",,a",,,,
"ASN00086068","2018-07-27","-37.7408","145.0972","66.1","VIEWBANK ARPANSA, AS","    0",",,a","  181",",,a","   61",",,a",,,,
"ASN00086068","2018-07-28","-37.7408","145.0972","66.1","VIEWBANK ARPANSA, AS","    0",",,a","  179",",,a","   82",",,a",,,,
"ASN00086068","2018-07-29","-37.7408","145.0972","66.1","VIEWBANK ARPANSA, AS","   10",",,a","  144",",,a","   94",",,a",,,,
"ASN00086068","2018-07-30","-37.7408","145.0972","66.1","VIEWBANK ARPANSA, AS","    2",",,a","  123",",,a","   72",",,a",,,,
"ASN00086068","2018-07-31","-37.7408","145.0972","66.1","VIEWBANK ARPANSA, AS","    0",",,a","  152",",,a","   83",",,a",,,,
"ASN00086068","2018-08-01","-37.7408","145.0972","66.1","VIEWBANK ARPANSA, AS","  100",",,a","  153",",,a","   75",",,a",,,,
"ASN00086068","2018-08-02","-37.7408","145.0972","66.1","VIEWBANK ARPANSA, AS","    0",",,a","  152",",,a","   20",",,a",,,,
"ASN00086068","2018-08-03","-37.7408","145.0972","66.1","VIEWBANK ARPANSA, AS","    2",",,a","  187",",,a","   40",",,a",,,,
"ASN00086068","2018-08-04","-37.7408","145.0972","66.1","VIEWBANK ARPANSA, AS","   12",",,a","  147",",,a","   75",",,a",,,,
"ASN00086068","2018-08-05","-37.7408","145.0972","66.1","VIEWBANK ARPANSA, AS","    0",",,a","  176",",,a","  101",",,a",,,,
"ASN00086068","2018-08-06","-37.7408","145.0972","66.1","VIEWBANK ARPANSA, AS","    0",",,a","  133",",,a","   85",",,a",,,,
