"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","AWND","AWND_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","DASF","DASF_ATTRIBUTES","FMTM","FMTM_ATTRIBUTES","FRGT","FRGT_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MDSF","MDSF_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES","WT16","WT16_ATTRIBUTES","WT18","WT18_ATTRIBUTES"
"USW00023159","2018-06-30","37.70639","-112.14556","2312.2","BRYCE CANYON AIRPORT, UT US","    0",",,W,",,,,,"  267",",,W","   22",",,W","   46",",,W",,,,,,,,,,,,," 1330",",,W",,,,,,,"  310",",,W","  330",",,W","  103",",,W","  152",",,W",,,,,,,,,,,,,,,,,,,,
"USW00023159","2018-07-01","37.70639","-112.14556","2312.2","BRYCE CANYON AIRPORT, UT US","    0",",,W,",,,,,"  294",",,W","   56",",,W","   35",",,W",,,,,,,,,,,,," 1619",",,W",,,,,,,"  310",",,W","  310",",,W","   98",",,W","  116",",,W",,,,,,,,,,,,,,,,,,,,
"USW00023159","2018-07-02","37.70639","-112.14556","2312.2","BRYCE CANYON AIRPORT, UT US","    0",",,W,",,,,,"  306",",,W","   50",",,W","   42",",,W",,,,,,,,,,,,," 1357",",,W",,,,,,,"  230",",,W","  220",",,W","  116",",,W","  161",",,W",,,,,,,,,,,,,,,,,,,,
"USW00023159","2018-07-03","37.70639","-112.14556","2312.2","BRYCE CANYON AIRPORT, UT US","    0",",,W,",,,,,"  283",",,W","   67",",,W","   49",",,W",,,,,,,,,,,,," 1344",",,W",,,,,,,"  220",",,W","  220",",,W","  125",",,W","  183",",,W",,,,,,,,,,,,,,,,,,,,
"USW00023159","2018-07-04","37.70639","-112.14556","2312.2","BRYCE CANYON AIRPORT, UT US","    0",",,W,",,,,,"  278",",,W","   11",",,W","   42",",,W",,,,,,,,,,,,," 1354",",,W",,,,,,,"  170",",,W","  160",",,W","  107",",,W","  143",",,W",,,,,,,,,,,,,,,,,,,,
"USW00023159","2018-07-05","37.70639","-112.14556","2312.2","BRYCE CANYON AIRPORT, UT US","    0",",,W,",,,,,"  300",",,W","   72",",,W","   37",",,W",,,,,,,,,,,,," 1146",",,W",,,,,,,"  160",",,W","  130",",,W","   98",",,W","  130",",,W",,,,,,,,,,,,,,,,,,,,
"USW00023159","2018-07-06","37.70639","-112.14556","2312.2","BRYCE CANYON AIRPORT, UT US","    0",",,W,",,,,,"  306",",,W","  100",",,W","   44",",,W",,,,,,,,,,,,," 1542",",,W",,,,,,,"  150",",,W","  130",",,W","   94",",,W","  116",",,W",,,,,,,,,,,,,,,,,,,,
"USW00023159","2018-07-07","37.70639","-112.14556","2312.2","BRYCE CANYON AIRPORT, UT US","    0","T,,W,",,,,,"  306",",,W","  128",",,W","   36",",,W",,,,,,,,,,,,," 1515",",,W",,,,,,,"   10",",,W","   20",",,W","  107",",,W","  148",",,W",,,,,,,,,,,,,,,,,,,,
"USW00023159","2018-07-08","37.70639","-112.14556","2312.2","BRYCE CANYON AIRPORT, UT US","    3",",,W,",,,,,"  300",",,W","  106",",,W","   37",",,W",,,,,,,,,,,,," 1356",",,W",,,,,,,"   20",",,W","   40",",,W","  116",",,W","  148",",,W",,,,,,,,,,,,,,,,,,,,
"USW00023159","2018-07-09","37.70639","-112.14556","2312.2","BRYCE CANYON AIRPORT, UT US","    0","T,,W,",,,,,"  294",",,W","  106",",,W","   33",",,W",,,,,,,,,,,,," 1554",",,W",,,,,,,"  310",",,W","  320",",,W","   94",",,W","  121",",,W",,,,,,,,,,,,,,,,,,,,
"USW00023159","2018-07-10","37.70639","-112.14556","2312.2","BRYCE CANYON AIRPORT, UT US","    0","T,,W,",,,,,"  289",",,W","  100",",,W","   41",",,W",,,,,,,,,,,,," 1507",",,W",,,,,,,"  150",",,W","  150",",,W","   81",",,W","  121",",,W",,,,,,,,,,,,,,,,,,,,
"USW00023159","2018-07-11","37.70639","-112.14556","2312.2","BRYCE CANYON AIRPORT, UT US","    0","T,,W,",,,,,"  283",",,W","  144",",,W","   45",",,W",,,,,,,,,,,,," 1345",",,W",,,,,,,"   30",",,W","   30",",,W","  112",",,W","  157",",,W",,,,,,,,,,,,,,,,,,,,
"USW00023159","2018-07-12","37.70639","-112.14556","2312.2","BRYCE CANYON AIRPORT, UT US","    8",",,W,",,,,,"  239",",,W","  100",",,W","   31",",,W",,,,,,,,,,,,," 1141",",,W",,,,,,,"  330",",,W","  340",",,W","  103",",,W","  134",",,W",,,,,,,,,,,,,,,,,,,,
"USW00023159","2018-07-13","37.70639","-112.14556","2312.2","BRYCE CANYON AIRPORT, UT US","    5",",,W,",,,,,"  278",",,W","   89",",,W","   37",",,W",,,,,,,,,,,,," 1411",",,W",,,,,,,"   40",",,W","   40",",,W","   98",",,W","  121",",,W",,,,,,,,,,,,,,,,,,,,
"USW00023159","2018-07-14","37.70639","-112.14556","2312.2","BRYCE CANYON AIRPORT, UT US","    8",",,W,",,,,,"  261",",,W","  122",",,W","   26",",,W",,,,,,,,,,,,," 1153",",,W",,,,,,,"  240",",,W","  230",",,W","   67",",,W","   89",",,W",,,,,,,,,,,,,,,,,,,,
"USW00023159","2018-07-15","37.70639","-112.14556","2312.2","BRYCE CANYON AIRPORT, UT US","    3",",,W,",,,,,"  267",",,W","   94",",,W","   28",",,W",,,,,,,,,,,,," 1432",",,W",,,,,,,"  140",",,W","  140",",,W","   76",",,W","  103",",,W",,,,,,,,,,,,,,,,,,,,
"USW00023159","2018-07-16","37.70639","-112.14556","2312.2","BRYCE CANYON AIRPORT, UT US","   36",",,W,",,,,,"  272",",,W","  117",",,W","   24",",,W",,,,,,,,,,,,," 1020",",,W",,,,,,,"  130",",,W","  140",",,W","   63",",,W","   85",",,W",,,,,,,,,,,,,,,,,,,,
"USW00023159","2018-07-17","37.70639","-112.14556","2312.2","BRYCE CANYON AIRPORT, UT US","   38",",,W,",,,,,"  267",",,W","  122",",,W","   29",",,W",,,,,,,,,,,,," 1525",",,W",,,,,,,"  350",",,W","  360",",,W","  170",",,W","  206",",,W",,,,,,,,,,,,,,,,,,,,
"USW00023159","2018-07-18","37.70639","-112.14556","2312.2","BRYCE CANYON AIRPORT, UT US","    0",",,W,",,,,,"  311",",,W","  117",",,W","   33",",,W",,,,,,,,,,,,," 1529",",,W",,,,,,,"  240",",,W","  230",",,W","   76",",,W","   98",",,W",,,,,,,,,,,,,,,,,,,,
"USW00023159","2018-07-19","37.70639","-112.14556","2312.2","BRYCE CANYON AIRPORT, UT US","    5",",,W,",,,,,"  306",",,W","  128",",,W","   44",",,W",,,,,,,,,,,,," 1658",",,W",,,,,,,"   30",",,W","   30",",,W","  116",",,W","  152",",,W",,,,,,,,,,,,,,,,,,,,
"USW00023159","2018-07-20","37.70639","-112.14556","2312.2","BRYCE CANYON AIRPORT, UT US","    0",",,W,",,,,,"  294",",,W","  106",",,W","   40",",,W",,,,,,,,,,,,," 1500",",,W",,,,,,,"  260",",,W","  290",",,W","   89",",,W","  112",",,W",,,,,,,,,,,,,,,,,,,,
"USW00023159","2018-07-21","37.70639","-112.14556","2312.2","BRYCE CANYON AIRPORT, UT US","  114",",,W,",,,,,"  294",",,W","  122",",,W","   34",",,W",,,,,,,,,,,,," 1448",",,W",,,,,,,"  250",",,W","  250",",,W","  125",",,W","  143",",,W",,,,,,,,,,,,,,,,,,,,
"USW00023159","2018-07-22","37.70639","-112.14556","2312.2","BRYCE CANYON AIRPORT, UT US","    0",",,W,",,,,,"  278",",,W","  100",",,W","   36",",,W",,,,,,,,,,,,," 1742",",,W",,,,,,,"  310",",,W","  280",",,W","   72",",,W","   94",",,W",,,,,,,,,,,,,,,,,,,,
"USW00023159","2018-07-23","37.70639","-112.14556","2312.2","BRYCE CANYON AIRPORT, UT US","   46",",,W,",,,,,"  289",",,W","  100",",,W","   24",",,W",,,,,,,,,,,,," 1552",",,W",,,,,,,"  210",",,W","  240",",,W","  130",",,W","  165",",,W",,,,,,,,,,,,,,,,,,,,
