"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT11","WT11_ATTRIBUTES"
"USC00193624","2018-07-27","42.2269","-70.9125","10.7","HINGHAM, MA US","    0",",,7,1900","    0",",,7,1900","    0",",,7,1900","  328",",,7","  211",",,7",,,,,"  267",",,7,1900",,,,,,,,,,,,,,
"USC00193624","2018-07-28","42.2269","-70.9125","10.7","HINGHAM, MA US","    0",",,7,1900","    0",",,7,1900","    0",",,7,1900","  322",",,7","  233",",,7",,,,,"  250",",,7,1900",,,,,,,,,,,,,,
"USC00193624","2018-07-29","42.2269","-70.9125","10.7","HINGHAM, MA US","    0",",,7,1900","    0",",,7,1900","    0",",,7,1900","  294",",,7","  206",",,7",,,,,"  244",",,7,1900",,,,,,,,,,,,,,
"USC00193624","2018-07-30","42.2269","-70.9125","10.7","HINGHAM, MA US","    0",",,7,1900","    0",",,7,1900","    0",",,7,1900","  294",",,7","  161",",,7",,,,,"  244",",,7,1900",,,,,,,,,,,,,,
"USC00193624","2018-07-31","42.2269","-70.9125","10.7","HINGHAM, MA US","    0",",,7,1900","    0",",,7,1900","    0",",,7,1900","  300",",,7","  178",",,7",,,,,"  250",",,7,1900",,,,,,,,,,,,,,
"USC00193624","2018-08-01","42.2269","-70.9125","10.7","HINGHAM, MA US","    0",",,7,1900","    0",",,7,1900","    0",",,7,1900","  300",",,7","  183",",,7",,,,,"  261",",,7,1900",,,,,,,,,,,,,,
"USC00193624","2018-08-02","42.2269","-70.9125","10.7","HINGHAM, MA US","    0",",,7,1900","    0",",,7,1900","    0",",,7,1900","  361",",,7","  244",",,7",,,,,"  283",",,7,1900",,,,,,,,,,,,,,
"USC00193624","2018-08-03","42.2269","-70.9125","10.7","HINGHAM, MA US","    0",",,7,1900","    0",",,7,1900","    0",",,7,1900","  344",",,7","  239",",,7",,,,,"  283",",,7,1900",,,"    1",",,7",,,,,,,,,,
"USC00193624","2018-08-04","42.2269","-70.9125","10.7","HINGHAM, MA US","   97",",,7,1900","    0",",,7,1900","    0",",,7,1900","  306",",,7","  228",",,7",,,,,"  233",",,7,1900",,,,,,,,,,,,,,
"USC00193624","2018-08-05","42.2269","-70.9125","10.7","HINGHAM, MA US","    0",",,7,1900","    0",",,7,1900","    0",",,7,1900","  322",",,7","  183",",,7",,,,,"  272",",,7,1900","    1",",,7",,,,,,,,,,,,
"USC00193624","2018-08-06","42.2269","-70.9125","10.7","HINGHAM, MA US","    0",",,7,1900","    0",",,7,1900","    0",",,7,1900","  361",",,7","  206",",,7",,,,,"  294",",,7,1900",,,,,,,,,,,,,,
"USC00193624","2018-08-07","42.2269","-70.9125","10.7","HINGHAM, MA US","    0",",,7,1900","    0",",,7,1900","    0",",,7,1900","  361",",,7","  233",",,7",,,,,"  272",",,7,1900",,,,,,,,,,,,,,
"USC00193624","2018-08-08","42.2269","-70.9125","10.7","HINGHAM, MA US","   43",",,7,1900","    0",",,7,1900","    0",",,7,1900","  317",",,7","  233",",,7",,,,,"  250",",,7,1900","    1",",,7","    1",",,7",,,,,,,,,,
"USC00193624","2018-08-09","42.2269","-70.9125","10.7","HINGHAM, MA US","   18",",,7,1900","    0",",,7,1900","    0",",,7,1900","  328",",,7","  233",",,7",,,,,"  244",",,7,1900",,,"    1",",,7",,,,,,,,,,
"USC00193624","2018-08-10","42.2269","-70.9125","10.7","HINGHAM, MA US","    0",",,7,1900","    0",",,7,1900","    0",",,7,1900","  306",",,7","  183",",,7",,,,,"  250",",,7,1900",,,,,,,,,,,,,,
"USC00193624","2018-08-11","42.2269","-70.9125","10.7","HINGHAM, MA US","  102",",,7,1900","    0",",,7,1900","    0",",,7,1900","  250",",,7","  200",",,7",,,,,"  206",",,7,1900","    1",",,7",,,,,,,,,,,,
"USC00193624","2018-08-12","42.2269","-70.9125","10.7","HINGHAM, MA US","   97",",,7,1900","    0",",,7,1900","    0",",,7,1900","  244",",,7","  194",",,7",,,,,"  194",",,7,1900","    1",",,7",,,,,,,,,,,,
"USC00193624","2018-08-13","42.2269","-70.9125","10.7","HINGHAM, MA US","   18",",,7,1900","    0",",,7,1900","    0",",,7,1900","  228",",,7","  189",",,7",,,,,"  206",",,7,1900","    1",",,7",,,,,,,,,,,,
"USC00193624","2018-08-14","42.2269","-70.9125","10.7","HINGHAM, MA US","   15",",,7,1900","    0",",,7,1900","    0",",,7,1900","  294",",,7","  206",",,7",,,,,"  250",",,7,1900","    1",",,7",,,,,,,,,,,,
"USC00193624","2018-08-15","42.2269","-70.9125","10.7","HINGHAM, MA US","    0",",,7,1900","    0",",,7,1900","    0",",,7,1900","  300",",,7","  206",",,7",,,,,"  256",",,7,1900",,,,,,,,,,,,,,
"USC00193624","2018-08-16","42.2269","-70.9125","10.7","HINGHAM, MA US","    0",",,7,1900","    0",",,7,1900","    0",",,7,1900","  333",",,7","  206",",,7",,,,,"  256",",,7,1900",,,,,,,,,,,,,,
"USC00193624","2018-08-17","42.2269","-70.9125","10.7","HINGHAM, MA US","    0",",,7,1900","    0",",,7,1900","    0",",,7,1900","  294",",,7","  183",",,7",,,,,"  267",",,7,1900",,,"    1",",,7",,,,,,,,,,
"USC00193624","2018-08-18","42.2269","-70.9125","10.7","HINGHAM, MA US","   36",",,7,1900","    0",",,7,1900","    0",",,7,1900","  311",",,7","  228",",,7",,,,,"  228",",,7,1900",,,"    1",",,7",,,,,,,,,,
"USC00193624","2018-08-19","42.2269","-70.9125","10.7","HINGHAM, MA US","   20",",,7,1900","    0",",,7,1900","    0",",,7,1900","  228",",,7","  178",",,7",,,,,"  194",",,7,1900",,,,,,,,,,,,,,
"USC00193624","2018-08-20","42.2269","-70.9125","10.7","HINGHAM, MA US","    0",",,7,1900","    0",",,7,1900","    0",",,7,1900","  233",",,7","  183",",,7",,,,,"  189",",,7,1900",,,,,,,,,,,,,,
"USC00193624","2018-08-21","42.2269","-70.9125","10.7","HINGHAM, MA US","    0",",,7,1900","    0",",,7,1900","    0",",,7,1900","  206",",,7","  172",",,7",,,,,"  183",",,7,1900",,,,,,,,,,,,,,
