"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAEV","DAEV_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","DASF","DASF_ATTRIBUTES","DAWM","DAWM_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","MDEV","MDEV_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MDSF","MDSF_ATTRIBUTES","MDWM","MDWM_ATTRIBUTES","MNPN","MNPN_ATTRIBUTES","MXPN","MXPN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES","SN02","SN02_ATTRIBUTES","SN52","SN52_ATTRIBUTES","SX02","SX02_ATTRIBUTES","SX52","SX52_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT07","WT07_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES","WT10","WT10_ATTRIBUTES","WT11","WT11_ATTRIBUTES","WT14","WT14_ATTRIBUTES"
"USC00148235","2018-07-07","38.46614","-101.77297","1107.6","TRIBUNE 1 W, KS US","    0",",,7,0730","    0",",,7,0730","    0",",,7,0730","  311",",,7","  144",",,7",,,,,,,,,"  114",",,7,0730",,,,,,,,,"  189",",,7","  300",",,7","  244",",,7,0730","  156",",,7",,,"  244",",,7",,,"  289",",,7",,,,,,,,,,,,,,,,,,,,
"USC00148235","2018-07-08","38.46614","-101.77297","1107.6","TRIBUNE 1 W, KS US","    0",",,7,0730","    0",",,7,0730","    0",",,7,0730","  328",",,7","  167",",,7",,,,,,,,,"  150",",,7,0730",,,,,,,,,"  189",",,7","  289",",,7","  244",",,7,0730","  291",",,7",,,"  244",",,7",,,"  294",",,7",,,,,,,,,,,,,,,,,,,,
"USC00148235","2018-07-09","38.46614","-101.77297","1107.6","TRIBUNE 1 W, KS US","    0",",,7,0730","    0",",,7,0730","    0",",,7,0730","  339",",,7","  133",",,7",,,,,,,,,"  137",",,7,0730",,,,,,,,,"  167",",,7","  294",",,7","  217",",,7,0730","  206",",,7",,,"  250",",,7",,,"  300",",,7",,,,,,,,,,,,,,,,,,,,
"USC00148235","2018-07-10","38.46614","-101.77297","1107.6","TRIBUNE 1 W, KS US","    0",",,7,0730","    0",",,7,0730","    0",",,7,0730","  350",",,7","  139",",,7",,,,,,,,,"  127",",,7,0730",,,,,,,,,"  172",",,7","  322",",,7","  217",",,7,0730","  164",",,7",,,"  250",",,7",,,"  306",",,7",,,,,,,,,,,,,,,,,,,,
"USC00148235","2018-07-11","38.46614","-101.77297","1107.6","TRIBUNE 1 W, KS US","    0",",,7,0730","    0",",,7,0730","    0",",,7,0730","  350",",,7","  161",",,7",,,,,,,,,"  160",",,7,0730",,,,,,,,,"  156",",,7","  322",",,7","  228",",,7,0730","  251",",,7",,,"  250",",,7",,,"  306",",,7",,,,,,,,,,,,,,,,,,,,
"USC00148235","2018-07-12","38.46614","-101.77297","1107.6","TRIBUNE 1 W, KS US","    0",",,7,0730","    0",",,7,0730","    0",",,7,0730","  356",",,7","  189",",,7",,,,,,,,,"  160",",,7,0730",,,,,,,,,"  183",",,7","  294",",,7","  233",",,7,0730","  290",",,7",,,"  256",",,7",,,"  300",",,7",,,,,,,,,,,,,,,,,,,,
"USC00148235","2018-07-13","38.46614","-101.77297","1107.6","TRIBUNE 1 W, KS US","    0","T,,7,0730","    0",",,7,0730","    0",",,7,0730","  361",",,7","  200",",,7",,,,,,,,,"  173",",,7,0730",,,,,,,,,"  178",",,7","  322",",,7","  206",",,7,0730","  351",",,7",,,"  256",",,7",,,"  306",",,7",,,,,,,,,,,,,,,,,,,,
"USC00148235","2018-07-14","38.46614","-101.77297","1107.6","TRIBUNE 1 W, KS US","    0",",,7,0730","    0",",,7,0730","    0",",,7,0730","  328",",,7","  167",",,7",,,,,,,,,"   76",",,7,0730",,,,,,,,,"  189",",,7","  322",",,7","  183",",,7,0730","  132",",,7",,,"  261",",,7",,,"  306",",,7",,,,,,,,,,,,,,,,,,,,
"USC00148235","2018-07-15","38.46614","-101.77297","1107.6","TRIBUNE 1 W, KS US","    0",",,7,0730","    0",",,7,0730","    0",",,7,0730","  333",",,7","  144",",,7",,,,,,,,,"  107",",,7,0730",,,,,,,,,"  189",",,7","  328",",,7","  211",",,7,0730","  100",",,7",,,"  261",",,7",,,"  317",",,7",,,,,,,,,,,,,,,,,,,,
"USC00148235","2018-07-16","38.46614","-101.77297","1107.6","TRIBUNE 1 W, KS US","    0",",,7,0730","    0",",,7,0730","    0",",,7,0730","  350",",,7","  167",",,7",,,,,,,,,"  114",",,7,0730",,,,,,,,,"  200",",,7","  322",",,7","  217",",,7,0730","  142",",,7",,,"  261",",,7",,,"  311",",,7",,,,,,,,,,,,,,,,,,,,
"USC00148235","2018-07-17","38.46614","-101.77297","1107.6","TRIBUNE 1 W, KS US","   15",",,7,0730","    0",",,7,0730","    0",",,7,0730","  350",",,7","  172",",,7",,,,,,,,,"   79",",,7,0730",,,,,,,,,"  189",",,7","  322",",,7","  206",",,7,0730","  124",",,7",,,"  267",",,7",,,"  306",",,7",,,,,,,,,,,,,,,,,,,,
"USC00148235","2018-07-18","38.46614","-101.77297","1107.6","TRIBUNE 1 W, KS US","   25",",,7,0730","    0",",,7,0730","    0",",,7,0730","  339",",,7","  167",",,7",,,,,,,,,"   86",",,7,0730",,,,,,,,,"  189",",,7","  333",",,7","  217",",,7,0730","  119",",,7",,,"  256",",,7",,,"  311",",,7",,,,,,,,,,,,,,,,,,,,
"USC00148235","2018-07-19","38.46614","-101.77297","1107.6","TRIBUNE 1 W, KS US","    0",",,7,0730","    0",",,7,0730","    0",",,7,0730","  356",",,7","  178",",,7",,,,,,,,,"  104",",,7,0730",,,,,,,,,"  200",",,7","  350",",,7","  228",",,7,0730","   72",",,7",,,"  256",",,7",,,"  322",",,7",,,,,,,,,,,,,,,,,,,,
"USC00148235","2018-07-20","38.46614","-101.77297","1107.6","TRIBUNE 1 W, KS US","    0",",,7,0730","    0",",,7,0730","    0",",,7,0730","  389",",,7","  161",",,7",,,,,,,,,"  114",",,7,0730",,,,,,,,,"  189",",,7","  350",",,7","  222",",,7,0730","   98",",,7",,,"  267",",,7",,,"  322",",,7",,,,,,,,,,,,,,,,,,,,
"USC00148235","2018-07-21","38.46614","-101.77297","1107.6","TRIBUNE 1 W, KS US","    0",",,7,0730","    0",",,7,0730","    0",",,7,0730","  394",",,7","  161",",,7",,,,,,,,,"  114",",,7,0730",,,,,,,,,"  167",",,7","  344",",,7","  228",",,7,0730","  135",",,7",,,"  256",",,7",,,"  322",",,7",,,,,,,,,,,,,,,,,,,,
"USC00148235","2018-07-22","38.46614","-101.77297","1107.6","TRIBUNE 1 W, KS US","    0",",,7,0730","    0",",,7,0730","    0",",,7,0730","  333",",,7","  183",",,7",,,,,,,,,"  130",",,7,0730",,,,,,,,,"  178",",,7","  322",",,7","  211",",,7,0730","  204",",,7",,,"  261",",,7",,,"  294",",,7",,,,,,,,,,,,,,,,,,,,
"USC00148235","2018-07-23","38.46614","-101.77297","1107.6","TRIBUNE 1 W, KS US","   13",",,7,0730","    0",",,7,0730","    0",",,7,0730","  372",",,7","  167",",,7",,,,,,,,,"   99",",,7,0730",,,,,,,,,"  178",",,7","  339",",,7","  194",",,7,0730","  108",",,7",,,"  261",",,7",,,"  328",",,7",,,,,,,,,,,,,,,,,,,,
"USC00148235","2018-07-24","38.46614","-101.77297","1107.6","TRIBUNE 1 W, KS US","   18",",,7,0730","    0",",,7,0730","    0",",,7,0730","  328",",,7","  167",",,7",,,,,,,,,"   91",",,7,0730",,,,,,,,,"  189",",,7","  344",",,7","  200",",,7,0730","  101",",,7",,,"  272",",,7",,,"  306",",,7",,,,,,,,,,,,,,,,,,,,
"USC00148235","2018-07-25","38.46614","-101.77297","1107.6","TRIBUNE 1 W, KS US","    0",",,7,0730","    0",",,7,0730","    0",",,7,0730","  328",",,7","  167",",,7",,,,,,,,,"  104",",,7,0730",,,,,,,,,"  178",",,7","  322",",,7","  217",",,7,0730","  169",",,7",,,"  261",",,7",,,"  311",",,7",,,,,,,,,,,,,,,,,,,,
"USC00148235","2018-07-26","38.46614","-101.77297","1107.6","TRIBUNE 1 W, KS US","    5",",,7,0730","    0",",,7,0730","    0",",,7,0730","  383",",,7","  156",",,7",,,,,,,,,"  117",",,7,0730",,,,,,,,,"  178",",,7","  350",",,7","  189",",,7,0730","  166",",,7",,,"  261",",,7",,,"  322",",,7",,,,,,,,,,,,,,,,,,,,
"USC00148235","2018-07-27","38.46614","-101.77297","1107.6","TRIBUNE 1 W, KS US","  358",",,7,0730","    0",",,7,0730","    0",",,7,0730","  300",",,7","  128",",,7",,,,,,,,,"  124",",,7,0730",,,,,,,,,"  156",",,7","  289",",,7","  156",",,7,0730","  100",",,7",,,"  217",",,7",,,"  300",",,7",,,,,,,,,,,,,,,,,,,,
"USC00148235","2018-07-28","38.46614","-101.77297","1107.6","TRIBUNE 1 W, KS US","  229",",,7,0730","    0",",,7,0730","    0",",,7,0730","  294",",,7","  128",",,7",,,,,,,,,"   74",",,7,0730",,,,,,,,,"  156",",,7","  289",",,7","  156",",,7,0730","  137",",,7",,,"  217",",,7",,,"  272",",,7",,,,,,,,,,,,,,,,,,,,
"USC00148235","2018-07-29","38.46614","-101.77297","1107.6","TRIBUNE 1 W, KS US","    0",",,7,0730","    0",",,7,0730","    0",",,7,0730","  283",",,7","  139",",,7",,,,,,,,,"   69",",,7,0730",,,,,,,,,"  156",",,7","  289",",,7","  144",",,7,0730","   98",",,7",,,"  211",",,7",,,"  261",",,7",,,,,,,,,,,,,,,,,,,,
"USC00148235","2018-07-30","38.46614","-101.77297","1107.6","TRIBUNE 1 W, KS US","   36",",,7,0730","    0",",,7,0730","    0",",,7,0730","  278",",,7","  122",",,7",,,,,,,,,"   76",",,7,0730",,,,,,,,,"  144",",,7","  289",",,7","  139",",,7,0730","  140",",,7",,,"  222",",,7",,,"  267",",,7",,,,,,,,,,,,,,,,,,,,
"USC00148235","2018-07-31","38.46614","-101.77297","1107.6","TRIBUNE 1 W, KS US","    0",",,7,0730","    0",",,7,0730","    0",",,7,0730","  261",",,7","   89",",,7",,,,,,,,,"   66",",,7,0730",,,,,,,,,"  133",",,7","  278",",,7","  133",",,7,0730","  108",",,7",,,"  211",",,7",,,"  261",",,7",,,,,,,,,,,,,,,,,,,,
