"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MDSF","MDSF_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WESD","WESD_ATTRIBUTES"
"USC00468986","2018-06-30","39.31343","-80.02985","376.4","TYGART DAM, WV US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  289",",,7","  167",",,7",,,,,,,"  178",",,7,0800","    0",",,7"
"USC00468986","2018-07-01","39.31343","-80.02985","376.4","TYGART DAM, WV US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  322",",,7","  178",",,7",,,,,,,"  194",",,7,0800","    0",",,7"
"USC00468986","2018-07-02","39.31343","-80.02985","376.4","TYGART DAM, WV US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  322",",,7","  189",",,7",,,,,,,"  217",",,7,0800","    0",",,7"
"USC00468986","2018-07-03","39.31343","-80.02985","376.4","TYGART DAM, WV US","    8",",,7,0800","    0",",,7,0800","    0",",,7,0800","  317",",,7","  189",",,7",,,,,,,"  200",",,7,0800","    0",",,7"
"USC00468986","2018-07-04","39.31343","-80.02985","376.4","TYGART DAM, WV US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  317",",,7","  194",",,7",,,,,,,"  217",",,7,0800","    0",",,7"
"USC00468986","2018-07-05","39.31343","-80.02985","376.4","TYGART DAM, WV US","  513",",,7,0800","    0",",,7,0800","    0",",,7,0800","  333",",,7","  200",",,7",,,,,,,"  211",",,7,0800","    0",",,7"
"USC00468986","2018-07-06","39.31343","-80.02985","376.4","TYGART DAM, WV US","  508",",,7,0800","    0",",,7,0800","    0",",,7,0800","  294",",,7","  200",",,7",,,,,,,"  200",",,7,0800","    0",",,7"
"USC00468986","2018-07-07","39.31343","-80.02985","376.4","TYGART DAM, WV US","    0","T,,7,0800","    0",",,7,0800","    0",",,7,0800","  261",",,7","  128",",,7",,,,,,,"  133",",,7,0800","    0",",,7"
"USC00468986","2018-07-08","39.31343","-80.02985","376.4","TYGART DAM, WV US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  256",",,7","  106",",,7",,,,,,,"  111",",,7,0800","    0",",,7"
"USC00468986","2018-07-09","39.31343","-80.02985","376.4","TYGART DAM, WV US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  283",",,7","  111",",,7",,,,,,,"  139",",,7,0800","    0",",,7"
"USC00468986","2018-07-10","39.31343","-80.02985","376.4","TYGART DAM, WV US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  278",",,7","  139",",,7",,,,,,,"  167",",,7,0800","    0",",,7"
"USC00468986","2018-07-11","39.31343","-80.02985","376.4","TYGART DAM, WV US","    0","T,,7,0800","    0",",,7,0800","    0",",,7,0800","  294",",,7","  167",",,7",,,,,,,"  194",",,7,0800","    0",",,7"
"USC00468986","2018-07-12","39.31343","-80.02985","376.4","TYGART DAM, WV US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  278",",,7","  139",",,7",,,,,,,"  150",",,7,0800","    0",",,7"
"USC00468986","2018-07-13","39.31343","-80.02985","376.4","TYGART DAM, WV US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  283",",,7","  150",",,7",,,,,,,"  172",",,7,0800","    0",",,7"
"USC00468986","2018-07-14","39.31343","-80.02985","376.4","TYGART DAM, WV US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  306",",,7","  172",",,7",,,,,,,"  189",",,7,0800","    0",",,7"
"USC00468986","2018-07-15","39.31343","-80.02985","376.4","TYGART DAM, WV US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  306",",,7","  189",",,7",,,,,,,"  206",",,7,0800","    0",",,7"
"USC00468986","2018-07-16","39.31343","-80.02985","376.4","TYGART DAM, WV US","   18",",,7,0800","    0",",,7,0800","    0",",,7,0800","  289",",,7","  172",",,7",,,,,,,"  178",",,7,0800","    0",",,7"
"USC00468986","2018-07-17","39.31343","-80.02985","376.4","TYGART DAM, WV US","   20",",,7,0800","    0",",,7,0800","    0",",,7,0800","  311",",,7","  172",",,7",,,,,,,"  200",",,7,0800","    0",",,7"
"USC00468986","2018-07-18","39.31343","-80.02985","376.4","TYGART DAM, WV US","   53",",,7,0800","    0",",,7,0800","    0",",,7,0800","  283",",,7","  150",",,7",,,,,,,"  150",",,7,0800","    0",",,7"
"USC00468986","2018-07-19","39.31343","-80.02985","376.4","TYGART DAM, WV US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  267",",,7","  117",",,7",,,,,,,"  128",",,7,0800","    0",",,7"
"USC00468986","2018-07-20","39.31343","-80.02985","376.4","TYGART DAM, WV US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  283",",,7","  128",",,7",,,,,,,"  156",",,7,0800","    0",",,7"
"USC00468986","2018-07-21","39.31343","-80.02985","376.4","TYGART DAM, WV US","   18",",,7,0800","    0",",,7,0800","    0",",,7,0800","  289",",,7","  156",",,7",,,,,,,"  172",",,7,0800","    0",",,7"
"USC00468986","2018-07-22","39.31343","-80.02985","376.4","TYGART DAM, WV US",,,"    0",",,7,0800","    0",",,7,0800",,,,,,,,,,,,,"    0",",,7"
"USC00468986","2018-07-23","39.31343","-80.02985","376.4","TYGART DAM, WV US","  102",",,7,0800","    0",",,7,0800","    0",",,7,0800","  256",",,7","  156",",,7",,,,,,,"  172",",,7,0800","    0",",,7"
"USC00468986","2018-07-24","39.31343","-80.02985","376.4","TYGART DAM, WV US","    0","T,,7,0800","    0",",,7,0800","    0",",,7,0800","  283",",,7","  172",",,7",,,,,,,"  183",",,7,0800","    0",",,7"
"USC00468986","2018-07-25","39.31343","-80.02985","376.4","TYGART DAM, WV US","   46",",,7,0800","    0",",,7,0800","    0",",,7,0800","  272",",,7","  183",",,7",,,,,,,"  200",",,7,0800","    0",",,7"
"USC00468986","2018-07-26","39.31343","-80.02985","376.4","TYGART DAM, WV US","   25",",,7,0800","    0",",,7,0800","    0",",,7,0800","  244",",,7","  183",",,7",,,,,,,"  183",",,7,0800","    0",",,7"
"USC00468986","2018-07-27","39.31343","-80.02985","376.4","TYGART DAM, WV US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  278",",,7","  178",",,7",,,,,,,"  183",",,7,0800","    0",",,7"
"USC00468986","2018-07-28","39.31343","-80.02985","376.4","TYGART DAM, WV US","   53",",,7,0800","    0",",,7,0800","    0",",,7,0800","  278",",,7","  161",",,7",,,,,,,"  167",",,7,0800","    0",",,7"
"USC00468986","2018-07-29","39.31343","-80.02985","376.4","TYGART DAM, WV US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  256",",,7","  133",",,7",,,,,,,"  139",",,7,0800","    0",",,7"
"USC00468986","2018-07-30","39.31343","-80.02985","376.4","TYGART DAM, WV US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  272",",,7","  139",",,7",,,,,,,"  172",",,7,0800","    0",",,7"
"USC00468986","2018-07-31","39.31343","-80.02985","376.4","TYGART DAM, WV US","  137",",,7,0800","    0",",,7,0800","    0",",,7,0800","  233",",,7","  161",",,7",,,,,,,"  161",",,7,0800","    0",",,7"
"USC00468986","2018-08-01","39.31343","-80.02985","376.4","TYGART DAM, WV US","  183",",,7,0800","    0",",,7,0800","    0",",,7,0800","  289",",,7","  161",",,7",,,,,,,"  178",",,7,0800","    0",",,7"
"USC00468986","2018-08-02","39.31343","-80.02985","376.4","TYGART DAM, WV US","  127",",,7,0800","    0",",,7,0800","    0",",,7,0800","  289",",,7","  161",",,7",,,,,,,"  189",",,7,0800","    0",",,7"
"USC00468986","2018-08-03","39.31343","-80.02985","376.4","TYGART DAM, WV US","   46",",,7,0800","    0",",,7,0800","    0",",,7,0800","  239",",,7","  189",",,7",,,,,,,"  194",",,7,0800","    0",",,7"
"USC00468986","2018-08-04","39.31343","-80.02985","376.4","TYGART DAM, WV US","   15",",,7,0800","    0",",,7,0800","    0",",,7,0800","  239",",,7","  172",",,7",,,,,,,"  178",",,7,0800","    0",",,7"
"USC00468986","2018-08-05","39.31343","-80.02985","376.4","TYGART DAM, WV US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  283",",,7","  178",",,7",,,,,,,"  189",",,7,0800","    0",",,7"
"USC00468986","2018-08-06","39.31343","-80.02985","376.4","TYGART DAM, WV US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  289",",,7","  189",",,7",,,,,,,"  189",",,7,0800","    0",",,7"
"USC00468986","2018-08-07","39.31343","-80.02985","376.4","TYGART DAM, WV US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  311",",,7","  189",",,7",,,,,,,"  206",",,7,0800","    0",",,7"
"USC00468986","2018-08-08","39.31343","-80.02985","376.4","TYGART DAM, WV US","   97",",,7,0800","    0",",,7,0800","    0",",,7,0800","  283",",,7","  194",",,7",,,,,,,"  200",",,7,0800","    0",",,7"
"USC00468986","2018-08-09","39.31343","-80.02985","376.4","TYGART DAM, WV US","   99",",,7,0800","    0",",,7,0800","    0",",,7,0800","  272",",,7","  200",",,7",,,,,,,"  206",",,7,0800","    0",",,7"
"USC00468986","2018-08-10","39.31343","-80.02985","376.4","TYGART DAM, WV US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  272",",,7","  167",",,7",,,,,,,"  172",",,7,0800","    0",",,7"
"USC00468986","2018-08-11","39.31343","-80.02985","376.4","TYGART DAM, WV US","  178",",,7,0800","    0",",,7,0800","    0",",,7,0800","  278",",,7","  172",",,7",,,,,,,"  183",",,7,0800","    0",",,7"
"USC00468986","2018-08-12","39.31343","-80.02985","376.4","TYGART DAM, WV US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  267",",,7","  183",",,7",,,,,,,"  194",",,7,0800","    0",",,7"
"USC00468986","2018-08-13","39.31343","-80.02985","376.4","TYGART DAM, WV US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  272",",,7","  156",",,7",,,,,,,"  161",",,7,0800","    0",",,7"
"USC00468986","2018-08-14","39.31343","-80.02985","376.4","TYGART DAM, WV US","   33",",,7,0800","    0",",,7,0800","    0",",,7,0800","  278",",,7","  150",",,7",,,,,,,"  156",",,7,0800","    0",",,7"
"USC00468986","2018-08-15","39.31343","-80.02985","376.4","TYGART DAM, WV US","   23",",,7,0800","    0",",,7,0800","    0",",,7,0800","  261",",,7","  156",",,7",,,,,,,"  167",",,7,0800","    0",",,7"
"USC00468986","2018-08-16","39.31343","-80.02985","376.4","TYGART DAM, WV US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800",,,,,,,,,,,,,"    0",",,7"
"USC00468986","2018-08-17","39.31343","-80.02985","376.4","TYGART DAM, WV US",,,"    0",",,7,0800","    0",",,7,0800",,,,,,,,,,,,,"    0",",,7"
"USC00468986","2018-08-18","39.31343","-80.02985","376.4","TYGART DAM, WV US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  306",",,7","  189",",,7",,,,,,,"  211",",,7,0800","    0",",,7"
"USC00468986","2018-08-19","39.31343","-80.02985","376.4","TYGART DAM, WV US","   66",",,7,0800","    0",",,7,0800","    0",",,7,0800","  239",",,7","  200",",,7",,,,,,,"  200",",,7,0800","    0",",,7"
"USC00468986","2018-08-20","39.31343","-80.02985","376.4","TYGART DAM, WV US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  261",",,7","  167",",,7",,,,,,,"  167",",,7,0800","    0",",,7"
"USC00468986","2018-08-21","39.31343","-80.02985","376.4","TYGART DAM, WV US",,,"    0",",,7,0800","    0",",,7,0800",,,,,,,,,,,,,"    0",",,7"
