"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES"
"USC00058590","2018-07-02","37.38333","-107.58333","2338.7","VALLECITO RESERVOIR, CO US","  278",",,H","   94",",,H","  111",",,H"
"USC00058590","2018-07-03","37.38333","-107.58333","2338.7","VALLECITO RESERVOIR, CO US","  294",",,H","  111",",,H","  144",",,H"
"USC00058590","2018-07-04","37.38333","-107.58333","2338.7","VALLECITO RESERVOIR, CO US","  283",",,H","  106",",,H","  111",",,H"
"USC00058590","2018-07-05","37.38333","-107.58333","2338.7","VALLECITO RESERVOIR, CO US","  306",",,H","  111",",,H","  156",",,H"
"USC00058590","2018-07-06","37.38333","-107.58333","2338.7","VALLECITO RESERVOIR, CO US","  283",",,H","  128",",,H","  128",",,H"
"USC00058590","2018-07-07","37.38333","-107.58333","2338.7","VALLECITO RESERVOIR, CO US","  261",",,H","  128",",,H","  128",",,H"
"USC00058590","2018-07-08","37.38333","-107.58333","2338.7","VALLECITO RESERVOIR, CO US","  261",",,H","  111",",,H","  111",",,H"
"USC00058590","2018-07-09","37.38333","-107.58333","2338.7","VALLECITO RESERVOIR, CO US","  256",",,H","  106",",,H","  106",",,H"
"USC00058590","2018-07-10","37.38333","-107.58333","2338.7","VALLECITO RESERVOIR, CO US","  283",",,H","  106",",,H","  122",",,H"
"USC00058590","2018-07-11","37.38333","-107.58333","2338.7","VALLECITO RESERVOIR, CO US","  267",",,H","  117",",,H","  122",",,H"
"USC00058590","2018-07-12","37.38333","-107.58333","2338.7","VALLECITO RESERVOIR, CO US","  272",",,H","  122",",,H","  128",",,H"
"USC00058590","2018-07-13","37.38333","-107.58333","2338.7","VALLECITO RESERVOIR, CO US","  244",",,H","  111",",,H","  111",",,H"
"USC00058590","2018-07-14","37.38333","-107.58333","2338.7","VALLECITO RESERVOIR, CO US","  233",",,H","  111",",,H","  139",",,H"
"USC00058590","2018-07-15","37.38333","-107.58333","2338.7","VALLECITO RESERVOIR, CO US","  261",",,H","  139",",,H","  144",",,H"
"USC00058590","2018-07-16","37.38333","-107.58333","2338.7","VALLECITO RESERVOIR, CO US","  256",",,H","  144",",,H","  156",",,H"
"USC00058590","2018-07-17","37.38333","-107.58333","2338.7","VALLECITO RESERVOIR, CO US","  267",",,H","  128",",,H","  133",",,H"
"USC00058590","2018-07-18","37.38333","-107.58333","2338.7","VALLECITO RESERVOIR, CO US","  250",",,H","  117",",,H","  117",",,H"
"USC00058590","2018-07-19","37.38333","-107.58333","2338.7","VALLECITO RESERVOIR, CO US","  294",",,H","  117",",,H","  133",",,H"
"USC00058590","2018-07-20","37.38333","-107.58333","2338.7","VALLECITO RESERVOIR, CO US","  306",",,H","  133",",,H","  161",",,H"
"USC00058590","2018-07-21","37.38333","-107.58333","2338.7","VALLECITO RESERVOIR, CO US","  289",",,H","  156",",,H","  167",",,H"
"USC00058590","2018-07-22","37.38333","-107.58333","2338.7","VALLECITO RESERVOIR, CO US","  300",",,H","  167",",,H","  167",",,H"
"USC00058590","2018-07-23","37.38333","-107.58333","2338.7","VALLECITO RESERVOIR, CO US","  300",",,H","  150",",,H","  150",",,H"
"USC00058590","2018-07-24","37.38333","-107.58333","2338.7","VALLECITO RESERVOIR, CO US","  311",",,H","  139",",,H","  150",",,H"
"USC00058590","2018-07-25","37.38333","-107.58333","2338.7","VALLECITO RESERVOIR, CO US","  283",",,H","  144",",,H","  150",",,H"
