"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","DATX","DATX_ATTRIBUTES","DWPR","DWPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MDTX","MDTX_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES"
"ASN00033119","2018-07-06","-21.1172","149.2169","30.3","MACKAY M.O, AS","    0",",,a","  236",",,a","  162",",,a",,,,,,,,,,,"  212","H,,S"
"ASN00033119","2018-07-07","-21.1172","149.2169","30.3","MACKAY M.O, AS","    0",",,a","  245",",,a","  193",",,a",,,,,,,,,,,"  209","H,,S"
"ASN00033119","2018-07-08","-21.1172","149.2169","30.3","MACKAY M.O, AS","    0",",,a","  197",",,a","  165",",,a",,,,,,,,,,,"  158","H,,S"
"ASN00033119","2018-07-09","-21.1172","149.2169","30.3","MACKAY M.O, AS","    0",",,a","  204",",,a","   98",",,a",,,,,,,,,,,"  139","H,,S"
"ASN00033119","2018-07-10","-21.1172","149.2169","30.3","MACKAY M.O, AS","    0",",,a","  212",",,a","   89",",,a",,,,,,,,,,,"  178","H,,S"
"ASN00033119","2018-07-11","-21.1172","149.2169","30.3","MACKAY M.O, AS","    0",",,a","  214",",,a","  148",",,a",,,,,,,,,,,"  169","H,,S"
"ASN00033119","2018-07-12","-21.1172","149.2169","30.3","MACKAY M.O, AS","    0",",,a","  215",",,a","  125",",,a",,,,,,,,,,,"  169","H,,S"
"ASN00033119","2018-07-13","-21.1172","149.2169","30.3","MACKAY M.O, AS","    0",",,a","  224",",,a","  121",",,a",,,,,,,,,,,"  161","H,,S"
"ASN00033119","2018-07-14","-21.1172","149.2169","30.3","MACKAY M.O, AS","    2",",,a","  207",",,a","  109",",,a",,,,,,,,,,,"  152","H,,S"
"ASN00033119","2018-07-15","-21.1172","149.2169","30.3","MACKAY M.O, AS","    0",",,a","  208",",,a","  105",",,a",,,,,,,,,,,"  147","H,,S"
"ASN00033119","2018-07-16","-21.1172","149.2169","30.3","MACKAY M.O, AS","    0",",,a","  243",",,a","  105",",,a",,,,,,,,,,,"  167","H,,S"
"ASN00033119","2018-07-17","-21.1172","149.2169","30.3","MACKAY M.O, AS","    0",",,a","  215",",,a","  106",",,a",,,,,,,,,,,"  171","H,,S"
"ASN00033119","2018-07-18","-21.1172","149.2169","30.3","MACKAY M.O, AS","    2",",,a","  229",",,a","  142",",,a",,,,,,,,,,,"  182","H,,S"
"ASN00033119","2018-07-19","-21.1172","149.2169","30.3","MACKAY M.O, AS","    2",",,a","  234",",,a","  148",",,a",,,,,,,,,,,"  189","H,,S"
"ASN00033119","2018-07-20","-21.1172","149.2169","30.3","MACKAY M.O, AS","    0",",,a","  275",",,a","  155",",,a",,,,,,,,,,,"  207","H,,S"
"ASN00033119","2018-07-21","-21.1172","149.2169","30.3","MACKAY M.O, AS","    0",",,a","  225",",,a","  161",",,a",,,,,,,,,,,"  174","H,,S"
"ASN00033119","2018-07-22","-21.1172","149.2169","30.3","MACKAY M.O, AS","    0",",,a","  222",",,a","  130",",,a",,,,,,,,,,,"  181","H,,S"
"ASN00033119","2018-07-23","-21.1172","149.2169","30.3","MACKAY M.O, AS","    0",",,a","  218",",,a","  141",",,a",,,,,,,,,,,"  171","H,,S"
"ASN00033119","2018-07-24","-21.1172","149.2169","30.3","MACKAY M.O, AS","    0",",,a","  223",",,a","  125",",,a",,,,,,,,,,,"  174","H,,S"
"ASN00033119","2018-07-25","-21.1172","149.2169","30.3","MACKAY M.O, AS","    0",",,a","  252",",,a","  128",",,a",,,,,,,,,,,"  184","H,,S"
"ASN00033119","2018-07-26","-21.1172","149.2169","30.3","MACKAY M.O, AS","    0",",,a","  237",",,a","  148",",,a",,,,,,,,,,,"  184","H,,S"
"ASN00033119","2018-07-27","-21.1172","149.2169","30.3","MACKAY M.O, AS","    2",",,a","  233",",,a","  147",",,a",,,,,,,,,,,"  186","H,,S"
"ASN00033119","2018-07-28","-21.1172","149.2169","30.3","MACKAY M.O, AS","    2",",,a","  229",",,a","  147",",,a",,,,,,,,,,,"  185","H,,S"
"ASN00033119","2018-07-29","-21.1172","149.2169","30.3","MACKAY M.O, AS","    2",",,a","  247",",,a","  148",",,a",,,,,,,,,,,"  195","H,,S"
"ASN00033119","2018-07-30","-21.1172","149.2169","30.3","MACKAY M.O, AS","    2",",,a","  239",",,a","  156",",,a",,,,,,,,,,,"  177","H,,S"
"ASN00033119","2018-07-31","-21.1172","149.2169","30.3","MACKAY M.O, AS",,,"  226",",,a","  116",",,a",,,,,,,,,,,"  167","H,,S"
"ASN00033119","2018-08-01","-21.1172","149.2169","30.3","MACKAY M.O, AS","    0",",,a","  227",",,a","  117",",,a",,,,,,,,,,,"  173","H,,S"
"ASN00033119","2018-08-02","-21.1172","149.2169","30.3","MACKAY M.O, AS","    0",",,a","  231",",,a","  125",",,a",,,,,,,,,,,"  198","H,,S"
"ASN00033119","2018-08-03","-21.1172","149.2169","30.3","MACKAY M.O, AS","    0",",,a","  235",",,a","  149",",,a",,,,,,,,,,,"  194","H,,S"
"ASN00033119","2018-08-04","-21.1172","149.2169","30.3","MACKAY M.O, AS",,,"  237",",,a","  160",",,a",,,,,,,,,,,"  190","H,,S"
"ASN00033119","2018-08-05","-21.1172","149.2169","30.3","MACKAY M.O, AS","    4",",,a","  237",",,a","  156",",,a",,,,,,,,,,,"  197","H,,S"
"ASN00033119","2018-08-06","-21.1172","149.2169","30.3","MACKAY M.O, AS","    0",",,a","  276",",,a","  165",",,a",,,,,,,,,,,"  227","H,,S"
"ASN00033119","2018-08-07","-21.1172","149.2169","30.3","MACKAY M.O, AS","    2",",,a","  231",",,a","  206",",,a",,,,,,,,,,,"  166","H,,S"
"ASN00033119","2018-08-08","-21.1172","149.2169","30.3","MACKAY M.O, AS","    0",",,a","  220",",,a","   94",",,a",,,,,,,,,,,"  163","H,,S"
"ASN00033119","2018-08-09","-21.1172","149.2169","30.3","MACKAY M.O, AS","    0",",,a","  221",",,a","  106",",,a",,,,,,,,,,,"  165","H,,S"
"ASN00033119","2018-08-10","-21.1172","149.2169","30.3","MACKAY M.O, AS","    0",",,a","  232",",,a","  109",",,a",,,,,,,,,,,"  188","H,,S"
"ASN00033119","2018-08-11","-21.1172","149.2169","30.3","MACKAY M.O, AS","    0",",,a","  249",",,a","  145",",,a",,,,,,,,,,,"  188","H,,S"
"ASN00033119","2018-08-12","-21.1172","149.2169","30.3","MACKAY M.O, AS","    0",",,a","  268",",,a","  141",",,a",,,,,,,,,,,"  201","H,,S"
"ASN00033119","2018-08-13","-21.1172","149.2169","30.3","MACKAY M.O, AS","    0",",,a","  205",",,a","  147",",,a",,,,,,,,,,,"  156","H,,S"
"ASN00033119","2018-08-14","-21.1172","149.2169","30.3","MACKAY M.O, AS","    0",",,a","  217",",,a","   96",",,a",,,,,,,,,,,"  178","H,,S"
"ASN00033119","2018-08-15","-21.1172","149.2169","30.3","MACKAY M.O, AS","    0",",,a","  230",",,a","  125",",,a",,,,,,,,,,,"  179","H,,S"
"ASN00033119","2018-08-16","-21.1172","149.2169","30.3","MACKAY M.O, AS","    0",",,a","  245",",,a","  140",",,a",,,,,,,,,,,"  187","H,,S"
"ASN00033119","2018-08-17","-21.1172","149.2169","30.3","MACKAY M.O, AS","    0",",,a","  276",",,a","  147",",,a",,,,,,,,,,,"  193","H,,S"
"ASN00033119","2018-08-18","-21.1172","149.2169","30.3","MACKAY M.O, AS","    0",",,a","  306",",,a","  145",",,a",,,,,,,,,,,"  204","H,,S"
"ASN00033119","2018-08-19","-21.1172","149.2169","30.3","MACKAY M.O, AS","    4",",,a","  252",",,a","  128",",,a",,,,,,,,,,,"  188","H,,S"
"ASN00033119","2018-08-20","-21.1172","149.2169","30.3","MACKAY M.O, AS","    0",",,a","  199",",,a","  139",",,a",,,,,,,,,,,"  140","H,,S"
"ASN00033119","2018-08-21","-21.1172","149.2169","30.3","MACKAY M.O, AS","    0",",,a","  207",",,a","   74",",,a",,,,,,,,,,,"  146","H,,S"
"ASN00033119","2018-08-22","-21.1172","149.2169","30.3","MACKAY M.O, AS","    0",",,a","  257",",,a","   99",",,a",,,,,,,,,,,"  176","H,,S"
"ASN00033119","2018-08-23","-21.1172","149.2169","30.3","MACKAY M.O, AS","    0",",,a","  272",",,a","  116",",,a",,,,,,,,,,,"  185","H,,S"
"ASN00033119","2018-08-24","-21.1172","149.2169","30.3","MACKAY M.O, AS","    0",",,a","  253",",,a","  127",",,a",,,,,,,,,,,"  201","H,,S"
"ASN00033119","2018-08-25","-21.1172","149.2169","30.3","MACKAY M.O, AS","    0",",,a","  245",",,a","  146",",,a",,,,,,,,,,,"  205","H,,S"
"ASN00033119","2018-08-26","-21.1172","149.2169","30.3","MACKAY M.O, AS","    0",",,a","  277",",,a","  170",",,a",,,,,,,,,,,"  199","H,,S"
"ASN00033119","2018-08-27","-21.1172","149.2169","30.3","MACKAY M.O, AS","    0",",,a","  229",",,a","  133",",,a",,,,,,,,,,,"  169","H,,S"
