"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","DAWM","DAWM_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MDWM","MDWM_ATTRIBUTES","MNPN","MNPN_ATTRIBUTES","MXPN","MXPN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00291153","2018-07-25","32.5158","-104.3828","979.3","BRANTLEY DAM, NM US","    0",",,7,0730","    0",",,7","    0",",,7","  350",",,7","  233",",,7",,,,,"  119",",,7,",,,,,,,,,"  244",",,7,0730",,
"USC00291153","2018-07-26","32.5158","-104.3828","979.3","BRANTLEY DAM, NM US","    0",",,7,0730","    0",",,7","    0",",,7","  378",",,7","  244",",,7",,,,,"  173",",,7,",,,,,,,,,"  244",",,7,0730",,
"USC00291153","2018-07-27","32.5158","-104.3828","979.3","BRANTLEY DAM, NM US","   86",",,7,0730","    0",",,7","    0",",,7","  294",",,7","  206",",,7",,,,,"   43",",,7,",,,,,,,,,"  211",",,7,0730",,
"USC00291153","2018-07-28","32.5158","-104.3828","979.3","BRANTLEY DAM, NM US","    0",",,7,0730","    0",",,7","    0",",,7","  339",",,7","  211",",,7",,,,,"   91",",,7,",,,,,,,,,"  228",",,7,0730",,
"USC00291153","2018-07-29","32.5158","-104.3828","979.3","BRANTLEY DAM, NM US","    0",",,7,0730","    0",",,7","    0",",,7","  356",",,7","  194",",,7",,,,,"   84",",,7,",,,,,,,,,"  222",",,7,0730",,
"USC00291153","2018-07-30","32.5158","-104.3828","979.3","BRANTLEY DAM, NM US","    0",",,7,0730","    0",",,7","    0",",,7","  383",",,7","  222",",,7",,,,,"  152",",,7,",,,,,,,,,"  222",",,7,0730",,
"USC00291153","2018-07-31","32.5158","-104.3828","979.3","BRANTLEY DAM, NM US","  305",",,7,0730","    0",",,7","    0",",,7","  378",",,7","  183",",,7",,,,,"  178",",,7,",,,,,,,,,"  183",",,7,0730",,
"USC00291153","2018-08-01","32.5158","-104.3828","979.3","BRANTLEY DAM, NM US","    0",",,7,0730","    0",",,7","    0",",,7","  289",",,7","  183",",,7",,,,,"   51",",,7,",,,,,,,,,"  206",",,7,0730",,
"USC00291153","2018-08-02","32.5158","-104.3828","979.3","BRANTLEY DAM, NM US","    0",",,7,0730","    0",",,7","    0",",,7","  344",",,7","  206",",,7",,,,,"  112",",,7,",,,,,,,,,"  233",",,7,0730",,
"USC00291153","2018-08-03","32.5158","-104.3828","979.3","BRANTLEY DAM, NM US","    0",",,7,0730","    0",",,7","    0",",,7","  372",",,7","  228",",,7",,,,,"  124",",,7,",,,,,,,,,"  244",",,7,0730",,
"USC00291153","2018-08-04","32.5158","-104.3828","979.3","BRANTLEY DAM, NM US","  140",",,7,0730","    0",",,7","    0",",,7","  372",",,7","  206",",,7",,,,,"   91",",,7,",,,,,,,,,"  222",",,7,0730",,
