"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT11","WT11_ATTRIBUTES","WT16","WT16_ATTRIBUTES","WT18","WT18_ATTRIBUTES"
"USC00316236","2018-06-10","35.66308","-82.34446","755.9","NORTH FORK 2, NC US","   30",",,7,2400","    0",",,7,2400","    0",",,7,2400","  300",",,7","  161",",,7",,,,,,,"   72",",,7",,,,,,,,,,,,,,,,
"USC00316236","2018-06-11","35.66308","-82.34446","755.9","NORTH FORK 2, NC US","   53",",,7,2400","    0",",,7,2400","    0",",,7,2400","  250",",,7","  172",",,7",,,,,,,"   54",",,7",,,,,,,,,,,,,,,,
"USC00316236","2018-06-12","35.66308","-82.34446","755.9","NORTH FORK 2, NC US","    0",",,7,2400","    0",",,7,2400","    0",",,7,2400","  233",",,7","  161",",,7",,,,,,,"   54",",,7",,,,,,,,,,,,,,,,
"USC00316236","2018-06-13","35.66308","-82.34446","755.9","NORTH FORK 2, NC US","   81",",,7,2400","    0",",,7,2400","    0",",,7,2400","  272",",,7","  161",",,7",,,,,,,"   67",",,7",,,,,,,,,,,,,,,,
"USC00316236","2018-06-14","35.66308","-82.34446","755.9","NORTH FORK 2, NC US","    0",",,7,2400","    0",",,7,2400","    0",",,7,2400","  300",",,7","  183",",,7",,,,,,,"   76",",,7",,,,,,,,,,,,,,,,
"USC00316236","2018-06-15","35.66308","-82.34446","755.9","NORTH FORK 2, NC US","    0",",,7,2400","    0",",,7,2400","    0",",,7,2400","  306",",,7","  156",",,7",,,,,,,"   49",",,7",,,,,,,,,,,,,,,,
"USC00316236","2018-06-16","35.66308","-82.34446","755.9","NORTH FORK 2, NC US","    0",",,7,2400","    0",",,7,2400","    0",",,7,2400","  289",",,7","  178",",,7",,,,,,,"   63",",,7",,,,,,,,,,,,,,,,
"USC00316236","2018-06-17","35.66308","-82.34446","755.9","NORTH FORK 2, NC US","  127",",,7,2400","    0",",,7,2400","    0",",,7,2400","  300",",,7","  172",",,7",,,,,,,"  112",",,7",,,"    1",",,7",,,,,,,,,,,,
"USC00316236","2018-06-18","35.66308","-82.34446","755.9","NORTH FORK 2, NC US","  137",",,7,2400","    0",",,7,2400","    0",",,7,2400","  300",",,7","  172",",,7",,,,,,,"   85",",,7",,,,,,,,,,,,,,,,
"USC00316236","2018-06-19","35.66308","-82.34446","755.9","NORTH FORK 2, NC US","   20",",,7,2400","    0",",,7,2400","    0",",,7,2400","  311",",,7","  189",",,7",,,,,,,"   89",",,7",,,,,,,,,,,,,,,,
"USC00316236","2018-06-20","35.66308","-82.34446","755.9","NORTH FORK 2, NC US","    0",",,7,2400","    0",",,7,2400","    0",",,7,2400","  300",",,7","  189",",,7",,,,,,,"   76",",,7",,,,,,,,,,,,,,,,
"USC00316236","2018-06-21","35.66308","-82.34446","755.9","NORTH FORK 2, NC US","   48",",,7,2400","    0",",,7,2400","    0",",,7,2400","  272",",,7","  194",",,7",,,,,,,"   72",",,7",,,,,,,,,,,,,,,,
