"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAEV","DAEV_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","DASF","DASF_ATTRIBUTES","DAWM","DAWM_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","MDEV","MDEV_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MDSF","MDSF_ATTRIBUTES","MDWM","MDWM_ATTRIBUTES","MNPN","MNPN_ATTRIBUTES","MXPN","MXPN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT07","WT07_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES","WT11","WT11_ATTRIBUTES","WT14","WT14_ATTRIBUTES","WT16","WT16_ATTRIBUTES","WT18","WT18_ATTRIBUTES"
"USC00292030","2018-06-28","35.4072","-104.1905","1293.6","CONCHAS DAM, NM US","    0",",,7,0730","    0",",,7","    0",",,7","  400",",,7","  244",",,7",,,,,,,,,"  152",",,7,0730",,,,,,,,,"  156",",,7","  378",",,7","  267",",,7,0730",,,,,,,,,,,,,,,,,,,,,,,,
"USC00292030","2018-06-29","35.4072","-104.1905","1293.6","CONCHAS DAM, NM US","    0",",,7,0730","    0",",,7","    0",",,7","  389",",,7","  250",",,7",,,,,,,,,"  145",",,7,0730",,,,,,,,,"  156",",,7","  378",",,7","  267",",,7,0730",,,,,,,,,,,,,,,,,,,,,,,,
"USC00292030","2018-06-30","35.4072","-104.1905","1293.6","CONCHAS DAM, NM US","    0",",,7,0730","    0",",,7","    0",",,7","  394",",,7","  233",",,7",,,,,,,,,"  470",",,7,0730",,,,,,,,,"  211",",,7","  394",",,7","  267",",,7,0730",,,,,,,,,,,,,,,,,,,,,,,,
"USC00292030","2018-07-01","35.4072","-104.1905","1293.6","CONCHAS DAM, NM US","    0",",,7,0730","    0",",,7","    0",",,7","  367",",,7","  183",",,7",,,,,,,,,"  127",",,7,0730",,,,,,,,,"  156",",,7","  378",",,7","  222",",,7,0730",,,,,,,,,,,,,,,,,,,,,,,,
"USC00292030","2018-07-02","35.4072","-104.1905","1293.6","CONCHAS DAM, NM US","    0",",,7,0730","    0",",,7","    0",",,7","  333",",,7","  211",",,7",,,,,,,,,"  102",",,7,0730",,,,,,,,,"  156",",,7","  378",",,7","  244",",,7,0730",,,,,,,,,,,,,,,,,,,,,,,,
"USC00292030","2018-07-03","35.4072","-104.1905","1293.6","CONCHAS DAM, NM US","   43",",,7,0730","    0",",,7","    0",",,7","  367",",,7","  183",",,7",,,,,,,,,"  107",",,7,0730",,,,,,,,,"  183",",,7","  367",",,7","  200",",,7,0730",,,,,,,,,,,,,,,,,,,,,,,,
"USC00292030","2018-07-04","35.4072","-104.1905","1293.6","CONCHAS DAM, NM US","    0",",,7,0730","    0",",,7","    0",",,7","  372",",,7","  200",",,7",,,,,,,,,"   91",",,7,0730",,,,,,,,,"  183",",,7","  367",",,7","  283",",,7,0730",,,,,,,,,,,,,,,,,,,,,,,,
"USC00292030","2018-07-05","35.4072","-104.1905","1293.6","CONCHAS DAM, NM US","    0",",,7,0730","    0",",,7","    0",",,7","  372",",,7","  217",",,7",,,,,,,,,"  142",",,7,0730",,,,,,,,,"  206",",,7","  372",",,7","  244",",,7,0730",,,,,,,,,,,,,,,,,,,,,,,,
"USC00292030","2018-07-06","35.4072","-104.1905","1293.6","CONCHAS DAM, NM US","    0",",,7,0730","    0",",,7","    0",",,7","  328",",,7","  194",",,7",,,,,,,,,"   64",",,7,0730",,,,,,,,,"  189",",,7","  372",",,7","  233",",,7,0730",,,,,,,,,,,,,,,,,,,,,,,,
"USC00292030","2018-07-07","35.4072","-104.1905","1293.6","CONCHAS DAM, NM US","    0",",,7,0730","    0",",,7","    0",",,7","  333",",,7","  200",",,7",,,,,,,,,"   99",",,7,0730",,,,,,,,,"  189",",,7","  372",",,7","  244",",,7,0730",,,,,,,,,,,,,,,,,,,,,,,,
