"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAEV","DAEV_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","DAWM","DAWM_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","MDEV","MDEV_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MDWM","MDWM_ATTRIBUTES","MNPN","MNPN_ATTRIBUTES","MXPN","MXPN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT11","WT11_ATTRIBUTES","WT16","WT16_ATTRIBUTES"
"USC00048135","2018-05-27","40.7141","-122.4161","327.7","SHASTA DAM, CA US","    0",",,7,0800","    0",",,7","    0",",,7","  244",",,7","  111",",,7",,,,,,,"   25",",,7,0800",,,,,,,"  167",",,7","  267",",,7","  167",",,7,0800","   72",",,7",,,,,,,,
"USC00048135","2018-05-28","40.7141","-122.4161","327.7","SHASTA DAM, CA US","    0",",,7,0800","    0",",,7","    0",",,7","  344",",,7","  167",",,7",,,,,,,"   41",",,7,0800",,,,,,,"  189",",,7","  289",",,7","  222",",,7,0800","   51",",,7",,,,,,,,
"USC00048135","2018-05-29","40.7141","-122.4161","327.7","SHASTA DAM, CA US","    0",",,7,0800","    0",",,7","    0",",,7","  344",",,7","  183",",,7",,,,,,,"   76",",,7,0800",,,,,,,"  189",",,7","  300",",,7","  211",",,7,0800","   40",",,7",,,,,,,,
"USC00048135","2018-05-30","40.7141","-122.4161","327.7","SHASTA DAM, CA US","    0",",,7,0800","    0",",,7","    0",",,7","  344",",,7","  183",",,7",,,,,,,"   89",",,7,0800",,,,,,,"  194",",,7","  339",",,7","  211",",,7,0800","   68",",,7",,,,,,,,
"USC00048135","2018-05-31","40.7141","-122.4161","327.7","SHASTA DAM, CA US","    0",",,7,0800","    0",",,7","    0",",,7","  300",",,7","  172",",,7",,,,,,,"   76",",,7,0800",,,,,,,"  156",",,7","  322",",,7","  211",",,7,0800","   80",",,7",,,,,,,,
"USC00048135","2018-06-01","40.7141","-122.4161","327.7","SHASTA DAM, CA US","    0",",,7,0800","    0",",,7","    0",",,7","  217",",,7","  128",",,7",,,,,,,"   51",",,7,0800",,,,,,,"  122",",,7","  322",",,7","  161",",,7,0800","   77",",,7",,,,,,,,
"USC00048135","2018-06-02","40.7141","-122.4161","327.7","SHASTA DAM, CA US","    0",",,7,0800","    0",",,7","    0",",,7","  294",",,7","  156",",,7",,,,,,,"   76",",,7,0800",,,,,,,"  128",",,7","  322",",,7","  217",",,7,0800","   48",",,7",,,,,,,,
"USC00048135","2018-06-03","40.7141","-122.4161","327.7","SHASTA DAM, CA US","    0",",,7,0800","    0",",,7","    0",",,7","  367",",,7","  206",",,7",,,,,,,"  102",",,7,0800",,,,,,,"  128",",,7","  350",",,7","  239",",,7,0800","   27",",,7",,,,,,,,
"USC00048135","2018-06-04","40.7141","-122.4161","327.7","SHASTA DAM, CA US","    0",",,7,0800","    0",",,7","    0",",,7","  350",",,7","  189",",,7",,,,,,,"   46",",,7,0800",,,,,,,"  183",",,7","  344",",,7","  217",",,7,0800","   55",",,7",,,,,,,,
"USC00048135","2018-06-05","40.7141","-122.4161","327.7","SHASTA DAM, CA US","    0",",,7,0800","    0",",,7","    0",",,7","  322",",,7","  172",",,7",,,,,,,"  114",",,7,0800",,,,,,,"  161",",,7","  339",",,7","  194",",,7,0800","   61",",,7",,,,,,,,
"USC00048135","2018-06-06","40.7141","-122.4161","327.7","SHASTA DAM, CA US","    0",",,7,0800","    0",",,7","    0",",,7","  294",",,7","  167",",,7",,,,,,,"  102",",,7,0800",,,,,,,"  161",",,7","  339",",,7","  194",",,7,0800","   40",",,7",,,,,,,,
"USC00048135","2018-06-07","40.7141","-122.4161","327.7","SHASTA DAM, CA US","    0",",,7,0800","    0",",,7","    0",",,7","  311",",,7","  144",",,7",,,,,,,"   97",",,7,0800",,,,,,,"  161",",,7","  461",",I,7","  156",",,7,0800","   45",",,7",,,,,,,,
"USC00048135","2018-06-08","40.7141","-122.4161","327.7","SHASTA DAM, CA US","    0",",,7,0800","    0",",,7","    0",",,7","  294",",,7","  156",",,7",,,,,,,"   89",",,7,0800",,,,,,,"  167",",,7","  333",",,7","  172",",,7,0800","   31",",,7",,,,,,,,
"USC00048135","2018-06-09","40.7141","-122.4161","327.7","SHASTA DAM, CA US","    0",",,7,0800","    0",",,7","    0",",,7","  306",",,7","  167",",,7",,,,,,,"   43",",,7,0800",,,,,,,"  172",",,7","  339",",,7","  172",",,7,0800","   87",",,7",,,,,,,,
"USC00048135","2018-06-10","40.7141","-122.4161","327.7","SHASTA DAM, CA US","    0",",,7,0800","    0",",,7","    0",",,7","  217",",,7","  128",",,7",,,,,,,"   89",",,7,0800",,,,,,,"  117",",,7","  283",",,7","  139",",,7,0800","  103",",,7",,,,,,,,
"USC00048135","2018-06-11","40.7141","-122.4161","327.7","SHASTA DAM, CA US","    0",",,7,0800","    0",",,7","    0",",,7","  256",",,7","  133",",,7",,,,,,,"   76",",,7,0800",,,,,,,"  156",",,7","  300",",,7","  178",",,7,0800","   64",",,7",,,,,,,,
"USC00048135","2018-06-12","40.7141","-122.4161","327.7","SHASTA DAM, CA US","    0",",,7,0800","    0",",,7","    0",",,7","  311",",,7","  172",",,7",,,,,,,"   84",",,7,0800",,,,,,,"  183",",,7","  328",",,7","  228",",,7,0800","   56",",,7",,,,,,,,
"USC00048135","2018-06-13","40.7141","-122.4161","327.7","SHASTA DAM, CA US","    0",",,7,0800","    0",",,7","    0",",,7","  350",",,7","  211",",,7",,,,,,,"   89",",,7,0800",,,,,,,"  183",",,7","  378",",,7","  239",",,7,0800","   43",",,7",,,,,,,,
"USC00048135","2018-06-14","40.7141","-122.4161","327.7","SHASTA DAM, CA US","    0",",,7,0800","    0",",,7","    0",",,7","  367",",,7","  211",",,7",,,,,,,"  102",",,7,0800",,,,,,,"  178",",,7","  372",",,7","  244",",,7,0800","   56",",,7",,,,,,,,
