"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","DATN","DATN_ATTRIBUTES","DATX","DATX_ATTRIBUTES","DWPR","DWPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MDTN","MDTN_ATTRIBUTES","MDTX","MDTX_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES"
"ASN00036031","2018-07-04","-23.4372","144.2769","192.2","LONGREACH AERO, AS",,,"  269",",,a","  101",",,a",,,,,,,,,,,,,,,"  176","H,,S"
"ASN00036031","2018-07-05","-23.4372","144.2769","192.2","LONGREACH AERO, AS","    0",",,a","  270",",,a","   88",",,a",,,,,,,,,,,,,,,"  188","H,,S"
"ASN00036031","2018-07-06","-23.4372","144.2769","192.2","LONGREACH AERO, AS","    0",",,a","  275",",,a","  102",",,a",,,,,,,,,,,,,,,"  188","H,,S"
"ASN00036031","2018-07-07","-23.4372","144.2769","192.2","LONGREACH AERO, AS","    0",",,a","  245",",,a","  102",",,a",,,,,,,,,,,,,,,"  152","H,,S"
"ASN00036031","2018-07-08","-23.4372","144.2769","192.2","LONGREACH AERO, AS","    0",",,a","  203",",,a","   50",",,a",,,,,,,,,,,,,,,"  133","H,,S"
"ASN00036031","2018-07-09","-23.4372","144.2769","192.2","LONGREACH AERO, AS",,,"  221",",,a","   22",",,a",,,,,,,,,,,,,,,"  136","H,,S"
"ASN00036031","2018-07-10","-23.4372","144.2769","192.2","LONGREACH AERO, AS","    0",",,a","  219",",,a","   62",",,a",,,,,,,,,,,,,,,"  125","H,,S"
"ASN00036031","2018-07-11","-23.4372","144.2769","192.2","LONGREACH AERO, AS","    0",",,a","  232",",,a","   34",",,a",,,,,,,,,,,,,,,"  128","H,,S"
"ASN00036031","2018-07-12","-23.4372","144.2769","192.2","LONGREACH AERO, AS","    0",",,a","  233",",,a","   11",",,a",,,,,,,,,,,,,,,"  144","H,,S"
"ASN00036031","2018-07-13","-23.4372","144.2769","192.2","LONGREACH AERO, AS","    0",",,a","  229",",,a","   54",",,a",,,,,,,,,,,,,,,"  136","H,,S"
"ASN00036031","2018-07-14","-23.4372","144.2769","192.2","LONGREACH AERO, AS","    0",",,a","  238",",,a","   38",",,a",,,,,,,,,,,,,,,"  136","H,,S"
