"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES","WT11","WT11_ATTRIBUTES","WT14","WT14_ATTRIBUTES","WT16","WT16_ATTRIBUTES","WT18","WT18_ATTRIBUTES"
"USW00014814","2018-05-03","45.0605","-83.428","179.8","ALPENA WASTEWATER PLANT, MI US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  239",",,7","   61",",,7",,,,,"   61",",,7,0800",,,,,,,,,,,,,,,,,,,,,,
"USW00014814","2018-05-04","45.0605","-83.428","179.8","ALPENA WASTEWATER PLANT, MI US","  132",",,7,0800","    0",",,7,0800","    0",",,7,0800","  144",",,7","   33",",,7",,,,,"   44",",,7,0800",,,,,,,,,,,,,,,,,,,,,,
"USW00014814","2018-05-05","45.0605","-83.428","179.8","ALPENA WASTEWATER PLANT, MI US","   48",",,7,0800","    0",",,7,0800","    0",",,7,0800","  133",",,7","   44",",,7",,,,,"  122",",,7,0800",,,,,,,,,,,,,,,,,,,,,,
"USW00014814","2018-05-06","45.0605","-83.428","179.8","ALPENA WASTEWATER PLANT, MI US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  233",",,7","   67",",,7",,,,,"   94",",,7,0800",,,,,,,,,,,,,,,,,,,,,,
"USW00014814","2018-05-07","45.0605","-83.428","179.8","ALPENA WASTEWATER PLANT, MI US","    3",",,7,0800","    0",",,7,0800","    0",",,7,0800","  128",",,7","   33",",,7",,,,,"   44",",,7,0800",,,,,,,,,,,,,,,,,,,,,,
"USW00014814","2018-05-08","45.0605","-83.428","179.8","ALPENA WASTEWATER PLANT, MI US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  133",",,7","   44",",,7",,,,,"  111",",,7,0800",,,,,,,,,,,,,,,,,,,,,,
"USW00014814","2018-05-09","45.0605","-83.428","179.8","ALPENA WASTEWATER PLANT, MI US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  228",",,7","   78",",,7",,,,,"   94",",,7,0800",,,,,,,,,,,,,,,,,,,,,,
"USW00014814","2018-05-10","45.0605","-83.428","179.8","ALPENA WASTEWATER PLANT, MI US","  203",",,7,0800","    0",",,7,0800","    0",",,7,0800","  161",",,7","   94",",,7",,,,,"  111",",,7,0800",,,,,,,,,,,,,,,,,,,,,,
"USW00014814","2018-05-11","45.0605","-83.428","179.8","ALPENA WASTEWATER PLANT, MI US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  150",",,7","    6",",,7",,,,,"   22",",,7,0800",,,,,,,,,,,,,,,,,,,,,,
"USW00014814","2018-05-12","45.0605","-83.428","179.8","ALPENA WASTEWATER PLANT, MI US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","   67",",,7","   11",",,7",,,,,"   33",",,7,0800",,,,,,,,,,,,,,,,,,,,,,
