"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","DATN","DATN_ATTRIBUTES","DATX","DATX_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MDTN","MDTN_ATTRIBUTES","MDTX","MDTX_ATTRIBUTES"
"ASN00058214","2018-06-12","-28.8343","153.2616","8.7","LISMORE AIRPORT AWS, AS","    0",",,a","  230",",,a","   50",",,a",,,,,,,,,,,,
"ASN00058214","2018-06-13","-28.8343","153.2616","8.7","LISMORE AIRPORT AWS, AS","    0",",,a","  238",",,a","   45",",,a",,,,,,,,,,,,
"ASN00058214","2018-06-14","-28.8343","153.2616","8.7","LISMORE AIRPORT AWS, AS","    0",",,a","  245",",,a","  100",",,a",,,,,,,,,,,,
"ASN00058214","2018-06-15","-28.8343","153.2616","8.7","LISMORE AIRPORT AWS, AS","    0",",,a","  226",",,a","   23",",,a",,,,,,,,,,,,
"ASN00058214","2018-06-16","-28.8343","153.2616","8.7","LISMORE AIRPORT AWS, AS","    2",",,a","  222",",,a","   30",",,a",,,,,,,,,,,,
"ASN00058214","2018-06-17","-28.8343","153.2616","8.7","LISMORE AIRPORT AWS, AS","    0",",,a","  195",",,a","   12",",,a",,,,,,,,,,,,
"ASN00058214","2018-06-18","-28.8343","153.2616","8.7","LISMORE AIRPORT AWS, AS","    0",",,a","  179",",,a","   28",",,a",,,,,,,,,,,,
"ASN00058214","2018-06-19","-28.8343","153.2616","8.7","LISMORE AIRPORT AWS, AS","    0",",,a","  191",",,a","   59",",,a",,,,,,,,,,,,
"ASN00058214","2018-06-20","-28.8343","153.2616","8.7","LISMORE AIRPORT AWS, AS","    0",",,a","  213",",,a","   26",",,a",,,,,,,,,,,,
"ASN00058214","2018-06-21","-28.8343","153.2616","8.7","LISMORE AIRPORT AWS, AS","    0",",,a","  208",",,a","   38",",,a",,,,,,,,,,,,
"ASN00058214","2018-06-22","-28.8343","153.2616","8.7","LISMORE AIRPORT AWS, AS","    0",",,a","  207",",,a","   31",",,a",,,,,,,,,,,,
