"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","AWND","AWND_ATTRIBUTES","FMTM","FMTM_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WESD","WESD_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT07","WT07_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES","WT11","WT11_ATTRIBUTES","WT14","WT14_ATTRIBUTES","WT16","WT16_ATTRIBUTES","WT18","WT18_ATTRIBUTES"
"USW00014763","2018-07-05","42.42685","-73.28907","363.9","PITTSFIELD MUNICIPAL AIRPORT, MA US","    0",",,W,",,,,,"  317",",,W","  200",",,W","   26",",,W",,,,,,,,,,,"  190",",,W","  200",",,W",,,"   63",",,W","   81",",,W",,,"    1",",,W","    1",",,W",,,,,,,,,,,"    1",",,W",,,,,,,,,,
"USW00014763","2018-07-06","42.42685","-73.28907","363.9","PITTSFIELD MUNICIPAL AIRPORT, MA US","   48",",,W,",,,,,"  267",",,W","  128",",,W","   49",",,W",,,,,,,,,,,"  290",",,W","  290",",,W",,,"   98",",,W","  143",",,W",,,"    1",",,W",,,"    1",",,W",,,,,,,,,"    1",",,W",,,,,,,,,,
"USW00014763","2018-07-07","42.42685","-73.28907","363.9","PITTSFIELD MUNICIPAL AIRPORT, MA US","    0",",,W,",,,,,"  244",",,W","   78",",,W","   12",",,W",,,,,,,,,,,"   30",",,W","   10",",,W",,,"   54",",,W","   89",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014763","2018-07-08","42.42685","-73.28907","363.9","PITTSFIELD MUNICIPAL AIRPORT, MA US","    0",",,W,",,,,,"  278",",,W","   94",",,W","   10",",,W",,,,,,,,,,,"  290",",,W","  340",",,W",,,"   40",",,W","   54",",,W",,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,
"USW00014763","2018-07-09","42.42685","-73.28907","363.9","PITTSFIELD MUNICIPAL AIRPORT, MA US","    0",",,W,",,,,,"  300",",,W","  117",",,W","   18",",,W",,,,,,,,,,,"  260",",,W",,,,,"   45",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014763","2018-07-10","42.42685","-73.28907","363.9","PITTSFIELD MUNICIPAL AIRPORT, MA US","    0",",,W,",,,,,"  311",",,W","  133",",,W","   21",",,W",,,,,,,,,,,"  310",",,W","  310",",,W",,,"   89",",,W","  121",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014763","2018-07-11","42.42685","-73.28907","363.9","PITTSFIELD MUNICIPAL AIRPORT, MA US","    0",",,W,","    0",",,H","    0",",,H","  267",",,W","  128",",,W","   17",",,W",,,,,,,,,,,"  310",",,W","  310",",,W",,,"   67",",,W","   85",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014763","2018-07-12","42.42685","-73.28907","363.9","PITTSFIELD MUNICIPAL AIRPORT, MA US","    0",",,W,",,,,,"  283",",,W","   94",",,W","   11",",,W",,,,,,,,,,,"  290",",,W","  360",",,W",,,"   54",",,W","   67",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014763","2018-07-13","42.42685","-73.28907","363.9","PITTSFIELD MUNICIPAL AIRPORT, MA US","    0",",,W,",,,,,"  300",",,W","  122",",,W","   10",",,W",,,,,,,,,,,"  250",",,W","  280",",,W",,,"   63",",,W","   76",",,W",,,,,,,,,,,,,,,,,"    1",",,W",,,,,,,,,,
"USW00014763","2018-07-14","42.42685","-73.28907","363.9","PITTSFIELD MUNICIPAL AIRPORT, MA US","   36",",,W,",,,,,"  294",",,W","  144",",,W","   11",",,W",,,,,,,,,,,"  240",",,W","  230",",,W",,,"   81",",,W","   98",",,W",,,"    1",",,W",,,"    1",",,W",,,,,,,,,,,,,,,,,,,,
"USW00014763","2018-07-15","42.42685","-73.28907","363.9","PITTSFIELD MUNICIPAL AIRPORT, MA US","    8",",,W,",,,,,"  311",",,W","  200",",,W","   19",",,W",,,,,,,,,,,"  260",",,W","  270",",,W",,,"   54",",,W","   76",",,W",,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,
"USW00014763","2018-07-16","42.42685","-73.28907","363.9","PITTSFIELD MUNICIPAL AIRPORT, MA US","    3",",,W,",,,,,"  333",",,W","  194",",,W","   19",",,W",,,,,,,,,,,"  170",",,W","  160",",,W",,,"   67",",,W","   85",",,W",,,"    1",",,W","    1",",,W",,,,,,,,,,,"    1",",,W",,,,,,,,,,
"USW00014763","2018-07-17","42.42685","-73.28907","363.9","PITTSFIELD MUNICIPAL AIRPORT, MA US","    0",",,W,","    0",",,H","    0",",,H","  233",",,W","  217",",,W","    3",",,W",,,,,,,,,,,"  360",",,W",,,,,"   18",",,W",,,,,"    1",",,W",,,"    1",",,W",,,,,,,,,,,,,,,,,,,,
"USW00014763","2018-07-19","42.42685","-73.28907","363.9","PITTSFIELD MUNICIPAL AIRPORT, MA US",,,,,,,,,,,"    3",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014763","2018-07-20","42.42685","-73.28907","363.9","PITTSFIELD MUNICIPAL AIRPORT, MA US","    0",",,W,",,,,,"  283",",,W","  100",",,W","   15",",,W",,,,,,,,,,,"  160",",,W","  200",",,W",,,"   54",",,W","   76",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014763","2018-07-21","42.42685","-73.28907","363.9","PITTSFIELD MUNICIPAL AIRPORT, MA US","    0",",,W,",,,,,"  256",",,W","  117",",,W","   27",",,W",,,,,,,,,,,"  140",",,W","  130",",,W",,,"   72",",,W","   89",",,W",,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,
"USW00014763","2018-07-22","42.42685","-73.28907","363.9","PITTSFIELD MUNICIPAL AIRPORT, MA US","   56",",,W,",,,,,"  283",",,W","  156",",,W","   47",",,W",,,,,,,,,,,"  150",",,W","  140",",,W",,,"  112",",,W","  174",",,W",,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,
"USW00014763","2018-07-23","42.42685","-73.28907","363.9","PITTSFIELD MUNICIPAL AIRPORT, MA US","  124",",,W,",,,,,"  267",",,W","  217",",,W","   33",",,W",,,,,,,,,,,"  140",",,W","  130",",,W",,,"   89",",,W","  134",",,W",,,"    1",",,W",,,,,,,,,,,,,"    1",",,W",,,,,,,,,,
"USW00014763","2018-07-24","42.42685","-73.28907","363.9","PITTSFIELD MUNICIPAL AIRPORT, MA US","    0",",,W,",,,,,"  289",",,W","  217",",,W","   42",",,W",,,,,,,,,,,"  140",",,W","  130",",,W",,,"   98",",,W","  152",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014763","2018-07-25","42.42685","-73.28907","363.9","PITTSFIELD MUNICIPAL AIRPORT, MA US","  302",",,W,",,,,,"  261",",,W","  200",",,W","   38",",,W",,,,,,,,,,,"  190",",,W","  170",",,W",,,"   72",",,W","  116",",,W",,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,
"USW00014763","2018-07-26","42.42685","-73.28907","363.9","PITTSFIELD MUNICIPAL AIRPORT, MA US","   38",",,W,",,,,,"  272",",,W","  183",",,W","   15",",,W",,,,,,,,,,,"  280",",,W","  280",",,W",,,"   76",",,W","  112",",,W",,,"    1",",,W","    1",",,W",,,,,,,,,,,,,,,,,,,,,,
"USW00014763","2018-07-27","42.42685","-73.28907","363.9","PITTSFIELD MUNICIPAL AIRPORT, MA US","  102",",,W,",,,,,"  300",",,W","  172",",,W","   15",",,W",,,,,,,,,,,"  240",",,W","  230",",,W",,,"   67",",,W","   98",",,W",,,"    1",",,W","    1",",,W","    1",",,W",,,,,,,,,,,,,,,,,,,,
"USW00014763","2018-07-28","42.42685","-73.28907","363.9","PITTSFIELD MUNICIPAL AIRPORT, MA US","    3",",,W,",,,,,"  283",",,W","  167",",,W","   15",",,W",,,,,,,,,,,"  220",",,W","  230",",,W",,,"   58",",,W","   76",",,W",,,"    1",",,W","    1",",,W","    1",",,W",,,,,,,,,,,,,,,,,,,,
"USW00014763","2018-07-29","42.42685","-73.28907","363.9","PITTSFIELD MUNICIPAL AIRPORT, MA US","    0",",,W,",,,,,"  256",",,W","  144",",,W","   27",",,W",,,,,,,,,,,"  270",",,W","  320",",,W",,,"   63",",,W","   85",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014763","2018-07-30","42.42685","-73.28907","363.9","PITTSFIELD MUNICIPAL AIRPORT, MA US","    0",",,W,",,,,,"  261",",,W","  122",",,W","    8",",,W",,,,,,,,,,,"  230",",,W","  210",",,W",,,"   36",",,W","   58",",,W",,,"    1",",,W","    1",",,W",,,,,,,,,,,,,,,,,,,,,,
"USW00014763","2018-07-31","42.42685","-73.28907","363.9","PITTSFIELD MUNICIPAL AIRPORT, MA US","    0",",,W,",,,,,"  278",",,W","  144",",,W","   16",",,W",,,,,,,,,,,"  220",",,W","  220",",,W",,,"   54",",,W","   72",",,W",,,"    1",",,W","    1",",,W",,,,,,,,,,,,,,,,,,,,,,
"USW00014763","2018-08-01","42.42685","-73.28907","363.9","PITTSFIELD MUNICIPAL AIRPORT, MA US","  351",",,W,",,,,,"  256",",,W","  161",",,W","   22",",,W",,,,,,,,,,,"  220",",,W","  210",",,W",,,"   67",",,W","  103",",,W",,,"    1",",,W","    1",",,W",,,,,,,,,,,,,,,,,,,,,,
"USW00014763","2018-08-02","42.42685","-73.28907","363.9","PITTSFIELD MUNICIPAL AIRPORT, MA US","   13",",,W,",,,,,"  294",",,W","  200",",,W","   24",",,W",,,,,,,,,,,"  290",",,W","  300",",,W",,,"   72",",,W","  103",",,W",,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,
"USW00014763","2018-08-03","42.42685","-73.28907","363.9","PITTSFIELD MUNICIPAL AIRPORT, MA US","  135",",,W,",,,,,"  294",",,W","  206",",,W","   18",",,W",,,,,,,,,,,"  280",",,W","  270",",,W",,,"  103",",,W","  134",",,W",,,"    1",",,W",,,"    1",",,W",,,,,,,,,,,,,,,,,,,,
"USW00014763","2018-08-04","42.42685","-73.28907","363.9","PITTSFIELD MUNICIPAL AIRPORT, MA US","   48",",,W,",,,,,"  278",",,W","  178",",,W","   23",",,W",,,,,,,,,,,"  290",",,W","  190",",,W",,,"   63",",,W","   81",",,W",,,"    1",",,W",,,,,,,,,,,,,"    1",",,W",,,,,,,,,,
"USW00014763","2018-08-05","42.42685","-73.28907","363.9","PITTSFIELD MUNICIPAL AIRPORT, MA US","    0",",,W,",,,,,"  300",",,W","  161",",,W","   12",",,W",,,,,,,,,,,"  280",",,W","  270",",,W",,,"   63",",,W","   76",",,W",,,"    1",",,W","    1",",,W",,,,,,,,,,,,,,,,,,,,,,
"USW00014763","2018-08-06","42.42685","-73.28907","363.9","PITTSFIELD MUNICIPAL AIRPORT, MA US","    0",",,W,",,,,,"  322",",,W","  178",",,W","   14",",,W",,,,,,,,,,,"  280",",,W","  280",",,W",,,"   58",",,W","   72",",,W",,,"    1",",,W","    1",",,W",,,,,,,,,,,"    1",",,W",,,,,,,,,,
"USW00014763","2018-08-07","42.42685","-73.28907","363.9","PITTSFIELD MUNICIPAL AIRPORT, MA US","  216",",,W,",,,,,"  317",",,W","  194",",,W","   14",",,W",,,,,,,,,,,"  200",",,W","  220",",,W",,,"  103",",,W","  148",",,W",,,"    1",",,W","    1",",,W","    1",",,W",,,,,,,,,"    1",",,W",,,,,,,,,,
