"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","DATN","DATN_ATTRIBUTES","DWPR","DWPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MDTN","MDTN_ATTRIBUTES"
"ASN00009542","2018-06-12","-33.6825","121.8275","142.0","ESPERANCE AERO, AS","   14",",,a","  177",",,a","   89",",,a",,,,,,,,,,
"ASN00009542","2018-06-13","-33.6825","121.8275","142.0","ESPERANCE AERO, AS","   26",",,a","  152",",,a","   99",",,a",,,,,,,,,,
"ASN00009542","2018-06-14","-33.6825","121.8275","142.0","ESPERANCE AERO, AS","   38",",,a","  166",",,a","   97",",,a",,,,,,,,,,
"ASN00009542","2018-06-15","-33.6825","121.8275","142.0","ESPERANCE AERO, AS","   38",",,a","  186",",,a","   93",",,a",,,,,,,,,,
"ASN00009542","2018-06-16","-33.6825","121.8275","142.0","ESPERANCE AERO, AS","    4",",,a","  193",",,a","   73",",,a",,,,,,,,,,
"ASN00009542","2018-06-17","-33.6825","121.8275","142.0","ESPERANCE AERO, AS","    0",",,a","  204",",,a","   87",",,a",,,,,,,,,,
"ASN00009542","2018-06-18","-33.6825","121.8275","142.0","ESPERANCE AERO, AS","    0",",,a","  180",",,a","  117",",,a",,,,,,,,,,
"ASN00009542","2018-06-19","-33.6825","121.8275","142.0","ESPERANCE AERO, AS","   78",",,a","  170",",,a","   63",",,a",,,,,,,,,,
"ASN00009542","2018-06-20","-33.6825","121.8275","142.0","ESPERANCE AERO, AS","    0",",,a","  188",",,a","   90",",,a",,,,,,,,,,
"ASN00009542","2018-06-21","-33.6825","121.8275","142.0","ESPERANCE AERO, AS","    0",",,a","  198",",,a","   87",",,a",,,,,,,,,,
"ASN00009542","2018-06-22","-33.6825","121.8275","142.0","ESPERANCE AERO, AS","    0",",,a","  183",",,a","   77",",,a",,,,,,,,,,
"ASN00009542","2018-06-23","-33.6825","121.8275","142.0","ESPERANCE AERO, AS","    2",",,a","  183",",,a","   91",",,a",,,,,,,,,,
"ASN00009542","2018-06-24","-33.6825","121.8275","142.0","ESPERANCE AERO, AS","    4",",,a","  165",",,a","   65",",,a",,,,,,,,,,
"ASN00009542","2018-06-25","-33.6825","121.8275","142.0","ESPERANCE AERO, AS","    0",",,a","  168",",,a","   46",",,a",,,,,,,,,,
"ASN00009542","2018-06-26","-33.6825","121.8275","142.0","ESPERANCE AERO, AS","    0",",,a","  181",",,a","   62",",,a",,,,,,,,,,
"ASN00009542","2018-06-27","-33.6825","121.8275","142.0","ESPERANCE AERO, AS","    0",",,a","  178",",,a","   93",",,a",,,,,,,,,,
"ASN00009542","2018-06-28","-33.6825","121.8275","142.0","ESPERANCE AERO, AS","   50",",,a","  137",",,a","  103",",,a",,,,,,,,,,
"ASN00009542","2018-06-29","-33.6825","121.8275","142.0","ESPERANCE AERO, AS","  106",",,a","  139",",,a","   65",",,a",,,,,,,,,,
