"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MDSF","MDSF_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES","WT11","WT11_ATTRIBUTES","WT14","WT14_ATTRIBUTES","WT16","WT16_ATTRIBUTES"
"USC00402589","2017-11-22","36.48194","-87.86278","144.8","DOVER 1 W, TN US","    0",",,7,0800",,,,,"  144",",,7","  -11",",,7",,,,,,,"    0",",,7,0800",,,,,,,,,,,,,,,,,,,,
"USC00402589","2017-11-24","36.48194","-87.86278","144.8","DOVER 1 W, TN US","    0",",,7,0800",,,,,"  111",",,7","  -39",",,7",,,,,,,"   28",",,7,0800",,,,,,,,,,,,,,,,,,,,
"USC00402589","2017-11-26","36.48194","-87.86278","144.8","DOVER 1 W, TN US","    0",",,7,0800",,,,,"  178",",,7","   -6",",,7",,,,,,,"   39",",,7,0800",,,,,,,,,,,,,,,,,,,,
"USC00402589","2017-11-28","36.48194","-87.86278","144.8","DOVER 1 W, TN US","    0",",,7,0800",,,,,"  189",",,7","   -6",",,7",,,,,,,"   72",",,7,0800",,,,,,,,,,,,,,,,,,,,
"USC00402589","2017-11-30","36.48194","-87.86278","144.8","DOVER 1 W, TN US","    8",",,7,0800",,,,,"  206",",,7","   11",",,7",,,,,,,"  133",",,7,0800",,,,,,,,,,,,,,,,,,,,
"USC00402589","2017-12-01","36.48194","-87.86278","144.8","DOVER 1 W, TN US","    0",",,7,0800",,,,,"  172",",,7","  -11",",,7",,,,,,,"   17",",,7,0800",,,,,,,,,,,,,,,,,,,,
"USC00402589","2017-12-02","36.48194","-87.86278","144.8","DOVER 1 W, TN US","    0",",,7,0800",,,,,"  144",",,7","   17",",,7",,,,,,,"   61",",,7,0800",,,,,,,,,,,,,,,,,,,,
"USC00402589","2017-12-03","36.48194","-87.86278","144.8","DOVER 1 W, TN US","    0",",,7,0800",,,,,"  178",",,7","   11",",,7",,,,,,,"   61",",,7,0800",,,,,,,,,,,,,,,,,,,,
"USC00402589","2017-12-04","36.48194","-87.86278","144.8","DOVER 1 W, TN US","    0",",,7,0800",,,,,"  189",",,7","   61",",,7",,,,,,,"  144",",,7,0800",,,,,,,,,,,,,,,,,,,,
"USC00402589","2017-12-06","36.48194","-87.86278","144.8","DOVER 1 W, TN US",,,,,,,"  217",",,7","  -17",",,7","    2",",,7","    0",",,7",,,"   72",",,7,0800",,,,,,,,,,,,,,,,,,,,
"USC00402589","2017-12-07","36.48194","-87.86278","144.8","DOVER 1 W, TN US","    0",",,7,0800",,,,,"   72",",,7","  -33",",,7",,,,,,,"    0",",,7,0800",,,,,,,,,,,,,,,,,,,,
"USC00402589","2017-12-08","36.48194","-87.86278","144.8","DOVER 1 W, TN US","    0",",,7,0800",,,,,"   44",",,7","  -39",",,7",,,,,,,"   -6",",,7,0800",,,,,,,,,,,,,,,,,,,,
"USC00402589","2017-12-09","36.48194","-87.86278","144.8","DOVER 1 W, TN US","    0",",,7,0800",,,,,"   44",",,7","  -67",",,7",,,,,,,"  -17",",,7,0800",,,,,,,,,,,,,,,,,,,,
"USC00402589","2017-12-10","36.48194","-87.86278","144.8","DOVER 1 W, TN US","    0",",,7,0800",,,,,,,,,,,,,,,"  -11",",,7,0800",,,,,,,,,,,,,,,,,,,,
"USC00402589","2017-12-13","36.48194","-87.86278","144.8","DOVER 1 W, TN US",,,,,,,"  161",",,7","  -67",",,7","    3",",,7","  208",",,7",,,"   -6",",,7,0800",,,,,,,,,,,,,,,,,,,,
"USC00402589","2017-12-14","36.48194","-87.86278","144.8","DOVER 1 W, TN US","    0",",,7,0800",,,,,"  111",",,7","  -11",",,7",,,,,,,"   17",",,7,0800",,,,,,,,,,,,,,,,,,,,
"USC00402589","2017-12-15","36.48194","-87.86278","144.8","DOVER 1 W, TN US","    0",",,7,0800",,,,,"   17",",,7","   -6",",,7",,,,,,,"    0",",,7,0800",,,,,,,,,,,,,,,,,,,,
"USC00402589","2017-12-16","36.48194","-87.86278","144.8","DOVER 1 W, TN US","    0",",,7,0800",,,,,"   67",",,7","    0",",,7",,,,,,,"   28",",,7,0800",,,,,,,,,,,,,,,,,,,,
"USC00402589","2017-12-17","36.48194","-87.86278","144.8","DOVER 1 W, TN US","    0",",,7,0800",,,,,"   61",",,7","    6",",,7",,,,,,,"   33",",,7,0800",,,,,,,,,,,,,,,,,,,,
"USC00402589","2017-12-19","36.48194","-87.86278","144.8","DOVER 1 W, TN US","   28",",,7,0800",,,,,"  117",",,7","    0",",,7",,,,,,,"   67",",,7,0800",,,,,,,,,,,,,,,,,,,,
