"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","DASF","DASF_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MDSF","MDSF_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT07","WT07_ATTRIBUTES","WT11","WT11_ATTRIBUTES","WT14","WT14_ATTRIBUTES"
"USC00414081","2018-05-02","32.1809","-94.7963","128.0","HENDERSON, TX US","    0",",,7,0700",,,,,"  283",",,7","  183",",,7",,,,,,,,,"  217",",,7,0700",,,,,,,,,,,,,,,,
"USC00414081","2018-05-03","32.1809","-94.7963","128.0","HENDERSON, TX US","    0",",,7,0700",,,,,"  289",",,7","  217",",,7",,,,,,,,,"  217",",,7,0700",,,,,,,,,,,,,,,,
"USC00414081","2018-05-04","32.1809","-94.7963","128.0","HENDERSON, TX US","    0",",,7,0700",,,,,"  283",",,7","  211",",,7",,,,,,,,,"  211",",,7,0700",,,,,,,,,,,,,,,,
"USC00414081","2018-05-05","32.1809","-94.7963","128.0","HENDERSON, TX US","  231",",,7,0700",,,,,"  250",",,7","  144",",,7",,,,,,,,,"  144",",,7,0700",,,,,,,,,,,,,,,,
"USC00414081","2018-05-06","32.1809","-94.7963","128.0","HENDERSON, TX US","    0",",,7,0700",,,,,"  278",",,7","  133",",,7",,,,,,,,,"  139",",,7,0700",,,,,,,,,,,,,,,,
"USC00414081","2018-05-07","32.1809","-94.7963","128.0","HENDERSON, TX US","    0",",,7,0700",,,,,"  311",",,7","  139",",,7",,,,,,,,,"  161",",,7,0700",,,,,,,,,,,,,,,,
"USC00414081","2018-05-08","32.1809","-94.7963","128.0","HENDERSON, TX US","    0",",,7,0700",,,,,"  311",",,7","  139",",,7",,,,,,,,,"  178",",,7,0700",,,,,,,,,,,,,,,,
"USC00414081","2018-05-09","32.1809","-94.7963","128.0","HENDERSON, TX US","    0",",,7,0700",,,,,"  306",",,7","  178",",,7",,,,,,,,,"  178",",,7,0700",,,,,,,,,,,,,,,,
"USC00414081","2018-05-10","32.1809","-94.7963","128.0","HENDERSON, TX US","    0",",,7,0700",,,,,"  306",",,7","  161",",,7",,,,,,,,,"  167",",,7,0700",,,,,,,,,,,,,,,,
"USC00414081","2018-05-11","32.1809","-94.7963","128.0","HENDERSON, TX US","    0",",,7,0700",,,,,"  300",",,7","  167",",,7",,,,,,,,,"  183",",,7,0700",,,,,,,,,,,,,,,,
